fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
58.6207,40.6609,17.9598,0,0,5936,0.3228,0.0902
68.5345,53.3046,15.2299,0,0,5513,-0.2426,-0.2701
63.7931,63.6494,0.1437,0,0,1811,-0.2106,-0.0901
68.7225,67.0167,1.7058,0,0,1751,-0.2427,-0.2882
65.7534,66.0897,-0.3362,0,0,1943,0,-0.0723
75.8427,70.1062,5.7365,0,0,1307,0.1298,0.0553
83.8509,75.149,8.7019,0,0,884,-0.0162,-0.1118
83.0882,80.9273,2.1609,1,0,1124,-0.0651,-0.0564
81.6794,82.8729,-1.1935,1,0,576,-0.0818,0.2263
77.686,80.8179,-3.1319,0,0,504,-0.0818,0.6217
77.5,78.9551,-1.4551,0,0,422,0.0164,0.5848
73.8739,76.3533,-2.4794,0,0,269,0.2782,0.6659
69.5238,73.6326,-4.1088,0,0,365,0.6311,0.7843
75.2381,72.8786,2.3595,0,0,274,0.5041,0.6347
88.5714,77.7778,10.7937,0,0,639,0.3017,0.4828
97.3684,87.0593,10.3091,1,0,1595,0.0652,0.3106
95.614,93.8513,1.7627,1,0,533,0.0849,0.3888
97.0588,96.6804,0.3784,1,0,422,0.2632,0.331
88.4615,93.7115,-5.2499,1,0,534,0.5215,0.2923
83.3333,89.6179,-6.2846,1,0,241,0.6818,0.1949
95.8333,89.2094,6.6239,1,0,385,0.4018,-0.039
91.6667,90.2778,1.3889,1,0,1014,0.0808,-0.1368
91.9355,93.1452,-1.2097,1,0,984,-0.287,-0.3144
90.3226,91.3082,-0.9857,1,0,327,-0.4876,-0.118
90.4762,90.9114,-0.4352,1,0,1494,-0.3686,-0.0394
79.3651,86.7213,-7.3562,0,0,1058,-0.3776,0.3548
69.8413,79.8942,-10.0529,0,0,495,0.2559,0.5509
76.1905,75.1323,1.0582,0,0,442,0.3041,0.5343
65.0794,70.3704,-5.291,0,0,759,1.4973,0.6755
79.3651,73.545,5.8201,0,0,514,1.6082,0.4968
87.0968,77.1804,9.9164,0,0,658,1.4619,0.5375
98.4375,88.2998,10.1377,1,0,959,0.5316,0.0601
100,95.1781,4.8219,1,0,608,0.236,0
97.6744,98.704,-1.0296,1,0,743,0.5799,-0.2016
93.0233,96.8992,-3.876,1,0,802,-0.3286,-0.1813
90.6977,93.7984,-3.1008,1,0,566,-0.2439,-0.1007
95.8333,93.1848,2.6486,1,0,664,-1.3123,-0.4021
72.9167,86.4826,-13.5659,0,0,692,-0.3854,0.0402
75,81.25,-6.25,0,0,389,-0.155,-0.0809
60.4167,69.4444,-9.0278,0,0,569,-0.2336,0.2053
62.5,65.9722,-3.4722,0,0,530,0.5466,0.0826
70.8333,64.5833,6.25,0,0,506,-0.157,0.0826
54.1667,62.5,-8.3333,0,0,888,1.147,0.3355
