FT,FullK,diffKD,OB,OS,vol,s15,s30,s60,ToD,Inertias,percBB,spreadRSI,ADX,RSI,Wpercent,acc,CLASS
1636671600000,78.5714,7.1429,0,0,729,0.75,2.5,1.75,1080,3295.5145,139.1133,-4.0243,10.8458,56.026,-6.6667,1.75,_3upR
1636671900000,67.8571,-2.381,0,0,187,-0.25,0.5,2,1085,901.3095,87.7415,-5.6709,11.0591,51.9896,-26.6667,2.25,_4up
1636672200000,67.8571,-3.5714,0,0,306,-0.25,0.75,1.75,1090,1560.8688,81.2218,-3.6205,10.5554,51.9896,-33.3333,2.25,_4up
1636672500000,92,16.0952,0,0,311,0.5,1,2.25,1095,1839.5231,131.4275,0.9173,11.1939,56.9151,-14.2857,0.75,_4up
1636672800000,100,13.381,1,0,451,1.5,1.5,2,1100,2400.5046,146.5795,-4.5876,12.0282,60.2515,-0,-0.75,_3upR
1636673100000,92.8571,-2.0952,1,0,367,2.25,1.75,3.25,1105,2177.3344,138.7386,-2.9375,13.4942,61.3402,-11.1111,-0.25,_3upR
1636673400000,95.2381,-0.7937,1,0,254,1.25,1.75,4,1110,1889.0779,137.6261,-4.1133,14.838,62.4617,-5.8824,2.5,_3upR
1636673700000,91.3043,-1.8288,1,0,367,0.75,2.25,3,1115,2490.8766,131.7389,-3.7361,16.5278,63.6133,-12.5,1.25,_3upR
1636674000000,85,-5.5141,1,0,425,0,2.5,3,1120,2726.5015,110.1561,-3.6847,17.6168,61.5533,-20,1.25,_4up
1636674300000,90.9091,1.8379,1,0,585,0.75,2,3,1125,3332.8027,128.7879,5.2108,19.307,65.2375,-12.5,1,_4up
1636674600000,79.1667,-5.8586,0,0,536,0.25,1,2.5,1130,2950.6745,106.6139,1.2523,21.2653,63.0408,-27.7778,0.5,_4up
1636674900000,96.1538,7.4106,1,0,547,1.75,2,4,1135,2812.0417,148.5104,3.5504,23.4386,69.7155,-5,1,_4up
1636675200000,92.1053,2.9633,1,0,2237,4,4.75,6.5,1140,6648.6465,177.3992,8.1279,27.0107,77.7515,-9.0909,2.25,_3upR
1636675500000,81.5789,-8.3671,1,0,2225,4,4.25,6.5,1145,4740.3365,144.2007,2.4984,30.5185,75.7579,-19.4444,3.5,_3upR
1636675800000,86.4865,-0.2371,1,0,607,3,4.75,7.5,1150,1258.7721,137.0034,-4.6704,33.734,77.0422,-14.2857,4.25,_3upR
1636676100000,88.8889,3.2374,1,0,903,0.75,4.5,6.5,1155,1788.5318,126.3753,-5.1048,36.7637,77.687,-13.3333,3.5,_3upR
1636676400000,88.8889,0.8008,1,0,721,0.75,4.75,5.75,1160,1391.4889,113.8797,-1.915,39.541,77.687,-14.2857,3.25,_4up
1636676700000,94.4444,3.7037,1,0,515,0.5,3.75,5.75,1165,998.2766,112.8821,-3.7905,42.0868,79.0852,-7.1429,1.5,_4up
1636677000000,97.2222,3.7037,1,0,681,1,1.5,6,1170,1683.2129,107.9429,-0.4217,44.4204,79.7764,-3.5714,-0.25,_4up
1636677300000,97.6744,1.2274,1,0,1131,2.25,3.25,7.5,1175,3466.683,129.1454,2.0921,47.1587,83.8519,-2.8571,0.75,_1dn
1636677600000,95.7447,-1.1358,1,0,1181,3.25,3.5,8.5,1180,3215.8972,134.2429,1.6591,49.9675,85.654,-5,1.5,_1dn
