Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,806.75;10/6/24, 6:05 PM;$362.50;$12.50;-50.0;
2;_calendar_(1,728,252,000,000|1,080|1|0|up|nm);Buy to Open;1;50.0;$5,799.50;10/6/24, 6:05 PM;;$362.50;0.0;
3;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:10 PM;$137.50;$362.50;-50.0;
4;_calendar_(1,728,252,300,000|1,085|1|0|up|nm);Buy to Open;1;50.0;$5,804.75;10/6/24, 6:10 PM;;$500.00;0.0;
5;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:15 PM;$125.00;$512.50;-50.0;
6;_calendar_(1,728,252,600,000|1,090|1|0|up|nm);Buy to Open;1;50.0;$5,805.00;10/6/24, 6:15 PM;;$625.00;0.0;
7;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:20 PM;$87.50;$737.50;-50.0;
8;_calendar_(1,728,252,900,000|1,095|1|0|dn|mv);Buy to Open;1;50.0;$5,805.75;10/6/24, 6:20 PM;;$712.50;0.0;
9;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 6:25 PM;$125.00;$725.00;-50.0;
10;_calendar_(1,728,253,200,000|1,100|1|0|dn|nm);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:25 PM;;$837.50;0.0;
11;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:30 PM;$112.50;$1,050.00;-50.0;
12;_calendar_(1,728,253,500,000|1,105|1|0|up|nm);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:30 PM;;$950.00;0.0;
13;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,808.00;10/6/24, 6:35 PM;$237.50;$1,112.50;-50.0;
14;_calendar_(1,728,253,800,000|1,110|1|0|dn|nm);Buy to Open;1;50.0;$5,803.25;10/6/24, 6:35 PM;;$1,187.50;0.0;
15;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.50;10/6/24, 6:40 PM;$150.00;$1,212.50;-50.0;
16;_calendar_(1,728,254,100,000|1,115|1|0|up|nm);Buy to Open;1;50.0;$5,802.50;10/6/24, 6:40 PM;;$1,337.50;0.0;
17;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.75;10/6/24, 6:45 PM;$62.50;$1,412.50;-50.0;
18;_calendar_(1,728,254,400,000|1,120|1|0|up|nm);Buy to Open;1;50.0;$5,804.50;10/6/24, 6:45 PM;;$1,400.00;0.0;
19;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.25;10/6/24, 6:50 PM;$62.50;$1,487.50;-50.0;
20;_calendar_(1,728,254,700,000|1,125|1|0|dn|mv);Buy to Open;1;50.0;$5,804.00;10/6/24, 6:50 PM;;$1,462.50;0.0;
21;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 6:55 PM;$87.50;$1,450.00;-50.0;
22;_calendar_(1,728,255,000,000|1,130|1|0|dn|mv);Buy to Open;1;50.0;$5,802.75;10/6/24, 6:55 PM;;$1,550.00;0.0;
23;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.00;10/6/24, 7:00 PM;$87.50;$1,425.00;-50.0;
24;_calendar_(1,728,255,300,000|1,135|1|0|up|nm);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:00 PM;;$1,637.50;0.0;
25;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:05 PM;$150.00;$1,700.00;-50.0;
26;_calendar_(1,728,255,600,000|1,140|1|0|up|nm);Buy to Open;1;50.0;$5,804.75;10/6/24, 7:05 PM;;$1,787.50;0.0;
27;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:10 PM;$75.00;$1,825.00;-50.0;
28;_calendar_(1,728,255,900,000|1,145|1|0|dn|mv);Buy to Open;1;50.0;$5,806.25;10/6/24, 7:10 PM;;$1,862.50;0.0;
