Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/20/24, 10:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,806.75;10/6/24, 6:05 PM;$362.50;$12.50;-50.0;
2;_calendar_(1,728,252,000,000|1,080|1|0|up|up|1.75|2.5|nm|nm|0.4739|0.7543);Buy to Open;1;50.0;$5,799.50;10/6/24, 6:05 PM;;$362.50;0.0;
3;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:10 PM;$137.50;$362.50;-50.0;
4;_calendar_(1,728,252,300,000|1,085|1|0|up|dn|1|-1.25|nm|nm|0.2733|0.3196);Buy to Open;1;50.0;$5,804.75;10/6/24, 6:10 PM;;$500.00;0.0;
5;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:15 PM;$125.00;$512.50;-50.0;
6;_calendar_(1,728,252,600,000|1,090|1|0|dn|dn|-0.25|0|nm|nm|0.0728|0);Buy to Open;1;50.0;$5,805.00;10/6/24, 6:15 PM;;$625.00;0.0;
7;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:20 PM;$87.50;$737.50;-50.0;
8;_calendar_(1,728,252,900,000|1,095|1|0|dn|dn|-2|-4|mv|mv|0.6062|0.9081);Buy to Open;1;50.0;$5,805.75;10/6/24, 6:20 PM;;$712.50;0.0;
9;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 6:25 PM;$125.00;$725.00;-50.0;
10;_calendar_(1,728,253,200,000|1,100|1|0|up|dn|2.25|-0.5|mv|nm|0.6212|0.1126);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:25 PM;;$837.50;0.0;
11;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:30 PM;$112.50;$1,050.00;-50.0;
12;_calendar_(1,728,253,500,000|1,105|1|0|dn|dn|-4.25|-2.5|mv|nm|1.2041|0.5615);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:30 PM;;$950.00;0.0;
