Strategy report
Symbol: /ES:XCME
Work Time: 10/17/24, 6:05 PM - 10/22/24, 8:50 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,889.25;10/17/24, 6:05 PM;$150.00;$62.50;-50.0;
2;_calendar_(1,729,202,400,000|1,080|5|0|up|up|1|2.75|nm|mv|1.2649|1.2776);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:05 PM;;$150.00;0.0;
3;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,888.25;10/17/24, 6:10 PM;$100.00;$137.50;-50.0;
4;_calendar_(1,729,202,700,000|1,085|5|0|up|up|0.5|2|nm|nm|0.574|1.1274);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:10 PM;;$250.00;0.0;
5;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,889.00;10/17/24, 6:15 PM;$62.50;$212.50;-50.0;
6;_calendar_(1,729,203,000,000|1,090|5|0|up|up|1.25|2.5|nm|mv|1.4095|1.403);Buy to Open;1;50.0;$5,887.75;10/17/24, 6:15 PM;;$312.50;0.0;
7;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,890.00;10/17/24, 6:20 PM;$87.50;$312.50;-50.0;
8;_calendar_(1,729,203,300,000|1,095|5|0|up|up|0.25|2.5|nm|nm|0.2683|1.3733);Buy to Open;1;50.0;$5,888.25;10/17/24, 6:20 PM;;$400.00;0.0;
9;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,890.75;10/17/24, 6:25 PM;$87.50;$387.50;-50.0;
10;_calendar_(1,729,203,600,000|1,100|5|0|up|up|1|3|nm|mv|1.0733|1.6479);Buy to Open;1;50.0;$5,889.00;10/17/24, 6:25 PM;;$487.50;0.0;
11;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,891.75;10/17/24, 6:30 PM;$75.00;$462.50;-50.0;
12;_calendar_(1,729,203,900,000|1,105|5|0|up|up|1.25|1.75|nm|nm|2.1213|1.0305);Buy to Open;1;50.0;$5,890.25;10/17/24, 6:30 PM;;$562.50;0.0;
13;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:35 PM;$125.00;$575.00;-50.0;
14;_calendar_(1,729,204,200,000|1,110|5|0|up|up|0.75|0.75|nm|nm|2|0.4258);Buy to Open;1;50.0;$5,890.75;10/17/24, 6:35 PM;;$687.50;0.0;
15;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:40 PM;$50.00;$712.50;-50.0;
16;_calendar_(1,729,204,500,000|1,115|5|0|dn|dn|-0.25|-0.25|nm|nm|0.6708|0.1366);Buy to Open;1;50.0;$5,892.25;10/17/24, 6:40 PM;;$737.50;0.0;
17;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,893.00;10/17/24, 6:45 PM;$25.00;$737.50;-50.0;
18;_calendar_(1,729,204,800,000|1,120|5|0|up|dn|0.25|-0.75|nm|nm|0.4562|0.4098);Buy to Open;1;50.0;$5,892.50;10/17/24, 6:45 PM;;$762.50;0.0;
19;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:50 PM;$25.00;$787.50;-50.0;
20;_calendar_(1,729,205,100,000|1,125|5|0|dn|dn|-0.25|-1.5|nm|nm|0.4915|0.8731);Buy to Open;1;50.0;$5,892.75;10/17/24, 6:50 PM;;$787.50;0.0;
21;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,893.75;10/17/24, 6:55 PM;$62.50;$875.00;-50.0;
22;_calendar_(1,729,205,400,000|1,130|5|0|dn|dn|-0.75|-2.25|nm|nm|1.2824|1.3097);Buy to Open;1;50.0;$5,892.50;10/17/24, 6:55 PM;;$850.00;0.0;
