FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1717365600000,1080,1,0,dn,up,-0.5,6.75,nm,mv,0.155,0.4941
1717365900000,1085,1,0,up,up,2.5,7.5,nm,mv,0.8248,0.5321
1717366200000,1090,1,0,up,up,4.75,4,mv,nm,1.6319,0.2806
1717366500000,1095,1,0,up,dn,0.25,-1.25,nm,nm,0.0703,0.0907
1717366800000,1100,1,0,dn,dn,-1,-2.75,nm,nm,0.2808,0.2265
1717367100000,1105,1,0,dn,dn,-0.5,-3,nm,nm,0.1409,0.3187
1717367400000,1110,1,0,dn,dn,-1.25,-1.5,nm,nm,0.6083,0.2707
1717367700000,1115,1,0,dn,dn,-1.25,-0.75,nm,nm,0.5794,0.161
1717368000000,1120,1,0,up,up,1,1.25,nm,nm,0.4729,0.2659
1717368300000,1125,1,0,dn,up,-0.5,1.5,nm,nm,0.5993,0.3304
1717368600000,1130,1,0,up,up,0.75,1.5,nm,nm,0.9705,0.3417
1717368900000,1135,1,0,up,up,1.25,1,nm,nm,1.4158,0.2302
1717369200000,1140,1,0,dn,dn,-0.5,-0.5,nm,nm,0.4804,0.1153
1717369500000,1145,1,0,up,up,0.25,3,nm,nm,0.2713,0.6928
1717369800000,1150,1,0,dn,up,-0.25,3.25,nm,nm,0.3631,0.7691
1717370100000,1155,1,0,up,up,3,3.25,mv,nm,4.572,0.7724
1717370400000,1160,1,0,up,up,0.5,0.5,nm,nm,0.4297,0.1165
1717370700000,1165,1,0,dn,dn,-0.25,-0.75,nm,nm,0.2141,0.1767
1717371000000,1170,1,0,up,dn,0.25,-1,nm,nm,0.2109,0.2604
1717371300000,1175,1,0,dn,up,-0.75,0.25,nm,nm,0.6727,0.0793
1717371600000,1180,1,0,dn,up,-0.5,2,nm,nm,0.4092,0.6984
1717371900000,1185,1,0,up,up,1.5,5,nm,nm,1.202,1.9404
1717372200000,1190,1,0,up,up,1,4.25,nm,nm,1.3395,2.1148
1717372500000,1195,1,0,up,up,2.5,6.25,mv,mv,3.0902,3.3608
1717372800000,1200,1,0,up,up,0.75,3.5,nm,nm,0.6617,1.667
1717373100000,1205,1,0,up,up,3,3.75,mv,nm,2.6833,1.8061
1717373400000,1210,1,0,dn,up,-0.25,2.25,nm,nm,0.2169,1.047
1717373700000,1215,1,0,up,up,1,1.75,nm,nm,0.9204,0.8522
1717374000000,1220,1,0,up,dn,1.5,-0.5,nm,nm,1.3685,0.2508
1717374300000,1225,1,0,dn,dn,-0.75,-3.5,nm,nm,0.6903,1.7654
1717374600000,1230,1,0,dn,dn,-1.25,-2.75,nm,nm,1.0296,1.3898
1717374900000,1235,1,0,dn,dn,-1.5,-0.5,nm,nm,1.0319,0.2418
1717375200000,1240,1,0,dn,dn,0,0,nm,nm,0,0
1717375500000,1245,1,0,up,up,1,1.25,nm,nm,0.8969,0.4822
1717375800000,1250,1,0,dn,dn,-1,-0.75,nm,nm,0.8969,0.2865
1717376100000,1255,1,0,up,dn,1.25,-1,nm,nm,1.4709,0.3841
1717376400000,1260,1,0,dn,dn,-1,-2,nm,nm,0.9258,0.781
1717376700000,1265,1,0,dn,dn,-1.25,-3.5,mv,mv,1.1962,1.3484
1717377000000,1270,1,0,up,dn,0.25,-1.75,nm,nm,0.2509,0.6714
1717377300000,1275,1,0,dn,dn,-2.5,-3.25,mv,mv,2.4807,1.2213
1717377600000,1280,1,0,up,up,0.5,0.5,nm,nm,0.4219,0.175
1717377900000,1285,1,0,dn,up,-1.25,1.5,mv,nm,0.9972,0.5168
1717378200000,1290,1,0,up,up,1.25,2,mv,mv,1.2403,0.7066
1717378500000,1295,1,0,up,up,1.5,0.25,mv,nm,1.1767,0.0941
1717378800000,1300,1,0,dn,dn,-0.75,-1.25,nm,nm,0.5319,0.5626
1717379100000,1305,1,0,dn,up,-0.5,0.75,nm,nm,0.351,0.3565
1717379400000,1310,1,0,dn,up,0,2,nm,mv,0,1.0738
1717379700000,1315,1,0,up,up,1.25,3.25,mv,mv,1.232,1.8699
1717380000000,1320,1,0,up,up,0.75,1.5,nm,nm,0.8276,0.8971
1717380300000,1325,1,0,up,up,1.25,1,mv,nm,1.4691,0.5583
1717380600000,1330,1,0,dn,dn,-0.5,-0.25,nm,nm,0.6255,0.1341
1717380900000,1335,1,0,up,dn,0.25,-0.25,nm,nm,0.3349,0.1384
1717381200000,1340,1,0,dn,dn,0,0,nm,nm,0,0
1717381500000,1345,1,0,dn,up,-0.5,0.25,nm,nm,0.7746,0.1374
1717381800000,1350,1,0,up,up,0.5,0.75,nm,nm,0.7861,0.4179
1717382100000,1355,1,0,up,up,0.25,0.75,nm,nm,0.4121,0.4197
1717382400000,1360,1,0,dn,up,0,0.25,nm,nm,0,0.1411
1717382700000,1365,1,0,up,up,0.5,0.5,nm,nm,1.6036,0.2929
1717383000000,1370,1,0,dn,up,-0.25,0.75,nm,nm,0.7223,0.5155
1717383300000,1375,1,0,up,up,0.25,1.25,nm,mv,0.6708,0.921
1717383600000,1380,1,0,up,dn,0.75,-0.5,mv,nm,2.8111,0.5
1717383900000,1385,1,0,up,dn,0.25,-1.5,nm,mv,0.7746,1.5028
1717384200000,1390,1,0,dn,dn,-1.5,-2.25,mv,mv,4.6476,2.2738
1717384500000,1395,1,0,dn,dn,-0.25,-1.5,nm,mv,0.3397,1.531
1717384800000,1400,1,0,dn,dn,-0.5,-0.25,nm,nm,0.7108,0.2291
1717385100000,1405,1,0,dn,dn,-0.75,0,mv,nm,1.0462,0
1717385400000,1410,1,0,up,up,1,0.75,mv,nm,1.395,0.5871
1717385700000,1415,1,0,dn,dn,-0.25,-0.5,nm,nm,0.3193,0.4109
1717386000000,1420,1,0,dn,up,0,0.5,nm,nm,0,0.5166
1717386300000,1425,1,0,dn,up,-0.25,1,nm,nm,0.451,1.0888
1717386600000,1430,1,0,up,up,0.75,1.25,mv,mv,1.353,1.404
1717386900000,1435,1,0,up,up,0.5,0.25,nm,nm,0.8242,0.2779
1717387200000,0,1,0,dn,dn,0,-0.5,nm,nm,0,0.5378
1717387500000,5,1,0,dn,up,-0.25,0.5,nm,nm,0.6667,0.5145
1717387800000,10,1,0,dn,up,-0.25,1,nm,mv,0.6667,1.029
1717388100000,15,1,0,up,up,1,2,mv,mv,2.5022,2.0696
1717388400000,20,1,0,up,up,0.25,1.25,nm,mv,0.5126,1.3056
1717388700000,25,1,0,up,up,0.75,0.75,mv,nm,1.6933,0.7627
1717389000000,30,1,0,up,up,0.25,0.75,nm,nm,0.5222,0.6959
1717389300000,35,1,0,dn,dn,-0.25,0,nm,nm,0.5367,0
1717389600000,40,1,0,up,dn,0.75,-0.25,mv,nm,1.61,0.232
1717389900000,45,1,0,dn,dn,-0.5,-1.5,mv,mv,1.194,1.3947
1717390200000,50,1,0,dn,dn,-0.5,-1,mv,mv,1.0733,1.0039
1717390500000,55,1,0,dn,dn,-0.5,-0.25,mv,nm,0.937,0.3124
1717390800000,60,1,0,dn,up,0,1,nm,mv,0,1.2496
1717391100000,65,1,0,up,up,0.25,0.5,nm,nm,0.5571,0.588
1717391400000,70,1,0,up,dn,0.75,-1.25,mv,mv,1.591,1.4569
1717391700000,75,1,0,dn,dn,-0.5,-1.25,mv,mv,1.0607,1.4424
1717392000000,80,1,0,dn,dn,-1.5,-1.5,mv,mv,3.182,1.7811
1717392300000,85,1,0,up,dn,0.75,-0.5,mv,nm,1.0607,0.542
1717392600000,90,1,0,dn,dn,-0.75,-1.25,mv,mv,0.958,1.2872
1717392900000,95,1,0,dn,dn,-0.5,0,mv,nm,0.6061,0
1717393200000,100,1,0,dn,up,0,0.5,nm,nm,0,0.4941
1717393500000,105,1,0,up,up,0.5,1.25,mv,mv,0.7276,1.195
1717393800000,110,1,0,dn,dn,0,0,nm,nm,0,0
1717394100000,115,1,0,up,dn,0.75,-1.25,mv,mv,1.4412,1.2321
1717394400000,120,1,0,dn,dn,-0.75,-2.5,mv,mv,1.4412,2.6606
1717394700000,125,1,0,dn,dn,-1.25,-0.25,mv,nm,2.4019,0.2849
1717395000000,130,1,0,dn,up,-0.5,0.25,mv,nm,0.7263,0.286
1717395300000,135,1,0,up,up,1.5,1.75,mv,mv,2.1476,1.8177
1717395600000,140,1,0,dn,up,-0.75,4.75,mv,mv,0.8074,4.9633
1717395900000,145,1,0,up,up,1,1.75,mv,mv,1.0366,1.8007
1717396200000,150,1,0,up,up,4.5,3.25,mv,mv,4.4653,3.0472
1717396500000,155,1,0,dn,dn,-3.75,-3.25,mv,mv,1.9365,2.0817
1717396800000,160,1,0,up,up,2.5,0.75,mv,mv,0.9972,0.4659
1717397100000,165,1,0,dn,dn,-2,-1.75,mv,mv,0.7726,0.9972
1717397400000,170,1,0,up,up,0.25,0.25,nm,nm,0.0905,0.1298
1717397700000,175,1,0,dn,dn,0,-2.75,nm,mv,0,1.4427
1717398000000,180,1,0,dn,dn,0,-5.5,nm,mv,0,2.8502
1717398300000,185,1,0,dn,dn,-2.75,-7.75,mv,mv,1.4084,4.1011
1717398600000,190,1,0,dn,dn,-2.75,-4.75,mv,mv,1.6238,2.3709
1717398900000,195,1,0,dn,dn,-2.25,-5,mv,mv,1.7068,2.1145
1717399200000,200,1,0,up,dn,0.25,-0.5,nm,nm,0.1857,0.1704
1717399500000,205,1,0,dn,dn,-3,-2.25,mv,mv,2.2283,0.7329
1717399800000,210,1,0,up,up,2.25,2.5,mv,mv,1.6713,0.7906
1717400100000,215,1,0,dn,dn,-1.5,-3.75,mv,mv,0.7667,1.1892
1717400400000,220,1,0,up,dn,1.75,-1.5,mv,mv,0.9391,0.4744
1717400700000,225,1,0,dn,dn,-4,-2.25,mv,mv,2.023,0.6896
1717401000000,230,1,0,up,up,0.75,2,nm,mv,0.3226,0.6034
1717401300000,235,1,0,up,up,1,4.5,mv,mv,0.4226,1.3655
1717401600000,240,1,0,up,up,0.25,2.5,nm,mv,0.1159,0.7776
1717401900000,245,1,0,up,up,3.25,4.25,mv,mv,1.681,1.4319
1717402200000,250,1,0,dn,up,-1,1.75,mv,mv,0.4491,0.5464
1717402500000,255,1,0,up,up,2,4.5,mv,mv,0.907,1.431
1717402800000,260,1,0,up,up,0.75,1.5,nm,mv,0.5622,0.4433
1717403100000,265,1,0,up,dn,1.75,-1.5,mv,mv,1.3119,0.4382
1717403400000,270,1,0,dn,up,-1,0.25,mv,nm,0.7358,0.0685
1717403700000,275,1,0,dn,up,-2.25,2,mv,mv,1.4386,0.5434
1717404000000,280,1,0,up,up,3.5,2.5,mv,mv,2.2378,0.6844
1717404300000,285,1,0,up,dn,0.75,-1.75,nm,mv,0.3901,0.506
1717404600000,290,1,0,dn,dn,-1.75,-1.25,mv,nm,0.9477,0.4193
1717404900000,295,1,0,dn,dn,-0.75,-1.25,nm,nm,0.3687,0.4526
1717405200000,300,1,0,up,dn,1.25,-1.5,mv,nm,0.6509,0.6051
1717405500000,305,1,0,dn,dn,-1.75,-2.75,mv,mv,0.8944,1.097
1717405800000,310,1,0,dn,dn,-1,0,nm,nm,0.5371,0
1717406100000,315,1,0,dn,up,0,1.75,nm,mv,0,0.7086
1717406400000,320,1,0,up,dn,1,-0.25,nm,nm,0.9547,0.105
1717406700000,325,1,0,up,dn,0.75,-2,nm,mv,0.698,0.8588
1717407000000,330,1,0,dn,dn,-2,-4.25,mv,mv,1.8287,1.9141
1717407300000,335,1,0,dn,up,-0.75,0.5,nm,nm,0.6445,0.225
1717407600000,340,1,0,dn,up,-1.5,0.5,mv,nm,1.4458,0.2353
1717407900000,345,1,0,up,up,2.75,2,mv,mv,2.4875,0.8609
1717408200000,350,1,0,dn,dn,-0.75,-0.75,nm,nm,0.4603,0.3571
1717408500000,355,1,0,dn,up,0,0.25,nm,nm,0,0.1215
1717408800000,360,1,0,dn,dn,0,-0.25,nm,nm,0,0.1383
1717409100000,365,1,0,up,dn,0.25,-0.25,nm,nm,0.1853,0.1424
1717409400000,370,1,0,dn,dn,-0.5,0,nm,nm,0.3808,0
1717409700000,375,1,0,dn,up,0,1.25,nm,nm,0,0.7198
1717410000000,380,1,0,up,up,0.5,0.75,nm,nm,1.4552,0.4572
1717410300000,385,1,0,up,dn,0.75,-0.75,nm,nm,2.4725,0.5069
1717410600000,390,1,0,dn,dn,-0.5,-2.5,nm,mv,1.2511,1.6533
1717410900000,395,1,0,dn,dn,-1,-2,nm,mv,2.1213,1.3129
1717411200000,400,1,0,dn,dn,-1,-0.25,mv,nm,1.6445,0.1654
1717411500000,405,1,0,dn,up,0,2.75,nm,mv,0,1.7508
1717411800000,410,1,0,up,up,0.75,4,nm,mv,1.0975,2.6383
1717412100000,415,1,0,up,up,2,3.75,mv,mv,2.7351,2.4766
1717412400000,420,1,0,up,up,1.25,2.5,mv,mv,1.174,1.557
1717412700000,425,1,0,up,dn,0.5,-1.5,nm,nm,0.4485,0.7966
1717413000000,430,1,0,up,dn,0.75,-3.25,nm,mv,0.7955,1.6173
1717413300000,435,1,0,dn,dn,-2.75,-2.5,mv,mv,4.4,1.4331
1717413600000,440,1,0,dn,up,-1.25,1,mv,nm,0.8346,0.5518
1717413900000,445,1,0,up,up,1.5,4.25,mv,mv,0.9345,2.1162
1717414200000,450,1,0,up,up,0.75,4.25,nm,mv,0.4954,2.0602
1717414500000,455,1,0,up,up,2,3,mv,mv,1.3742,1.454
1717414800000,460,1,0,up,up,1.5,1.25,mv,nm,0.9091,0.5517
1717415100000,465,1,0,dn,dn,-0.5,-1.25,nm,nm,0.2913,0.5156
1717415400000,470,1,0,up,dn,0.25,-0.75,nm,nm,0.2137,0.3034
1717415700000,475,1,0,dn,up,-1,0.75,mv,nm,1.1767,0.3042
1717416000000,480,1,0,dn,up,0,0.25,nm,nm,0,0.0996
1717416300000,485,1,0,up,up,1.75,1.75,mv,mv,1.6537,0.6905
1717416600000,490,1,0,dn,dn,-1.5,-0.25,mv,nm,1.5052,0.0996
1717416900000,495,1,0,up,dn,1.5,-1.75,mv,mv,1.4458,0.7324
1717417200000,500,1,0,dn,dn,-0.25,-1.25,nm,mv,0.2106,0.5462
1717417500000,505,1,0,dn,dn,-3,-0.25,mv,nm,2.5082,0.1092
1717417800000,510,1,0,up,up,2,1.75,mv,mv,1.2153,0.7475
1717418100000,515,1,0,up,dn,0.75,-1.25,nm,mv,0.4049,0.5537
1717418400000,520,1,0,dn,dn,-1,-2.25,mv,mv,0.576,1.0581
1717418700000,525,1,1,dn,up,-1,1.25,mv,mv,0.5963,0.5978
