FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728252000000,1080,1,0,up,up,1.75,2.5,nm,nm,0.4739,0.7543
1728252300000,1085,1,0,up,dn,1,-1.25,nm,nm,0.2733,0.3196
1728252600000,1090,1,0,dn,dn,-0.25,0,nm,nm,0.0728,0
1728252900000,1095,1,0,dn,dn,-2,-4,mv,mv,0.6062,0.9081
1728253200000,1100,1,0,up,dn,2.25,-0.5,mv,nm,0.6212,0.1126
1728253500000,1105,1,0,dn,dn,-4.25,-2.5,mv,nm,1.2041,0.5615
1728253800000,1110,1,0,up,up,1.5,1,nm,nm,0.6612,0.2165
1728254100000,1115,1,0,up,dn,0.25,-1.25,nm,nm,0.1119,0.2698
1728254400000,1120,1,0,dn,dn,-0.75,-0.25,nm,nm,0.3444,0.0532
1728254700000,1125,1,0,dn,up,-0.75,3.25,nm,mv,0.3441,0.6918
1728255000000,1130,1,0,up,up,1.25,3,nm,mv,0.5999,0.6378
1728255300000,1135,1,0,up,up,2.75,2.25,mv,nm,1.4426,0.4797
1728255600000,1140,1,0,dn,dn,-1,-1.25,nm,nm,0.7925,0.2661
1728255900000,1145,1,0,up,dn,0.5,-2.75,nm,mv,0.3726,0.5877
1728256200000,1150,1,0,dn,dn,-0.75,-2.75,nm,mv,0.5582,0.6011
1728256500000,1155,1,0,dn,dn,-2.5,-1.75,mv,nm,1.8605,0.3882
1728256800000,1160,1,0,up,up,0.5,0.5,nm,nm,0.2955,0.11
1728257100000,1165,1,0,up,dn,0.25,-0.75,nm,nm,0.1539,0.1621
1728257400000,1170,1,0,dn,dn,-0.25,-2.25,nm,mv,0.2335,0.5322
1728257700000,1175,1,0,dn,dn,-0.75,-1.5,nm,nm,0.7154,0.4297
1728258000000,1180,1,0,dn,dn,-1.25,-1.5,nm,nm,1.2815,0.7311
1728258300000,1185,1,0,up,dn,0.5,-2,nm,nm,0.4966,1.0149
1728258600000,1190,1,0,dn,dn,-0.75,-5,nm,mv,1.143,2.5304
1728258900000,1195,1,0,dn,dn,-1.75,-5.5,mv,mv,2.8778,2.7794
1728259200000,1200,1,0,dn,dn,-2.5,-3.5,mv,mv,3.5052,1.8989
1728259500000,1205,1,0,dn,dn,-1.25,-1.75,nm,nm,1.3416,0.8339
1728259800000,1210,1,0,up,dn,0.25,-0.5,nm,nm,0.2716,0.2147
1728260100000,1215,1,0,dn,dn,-0.75,-0.75,nm,nm,0.7093,0.3206
1728260400000,1220,1,0,dn,up,0,0.75,nm,nm,0,0.3203
1728260700000,1225,1,0,dn,up,0,1.75,nm,nm,0,0.7491
1728261000000,1230,1,0,up,dn,0.75,-0.25,nm,nm,0.7886,0.121
1728261300000,1235,1,0,up,dn,1,0,nm,nm,1.524,0
1728261600000,1240,1,0,dn,dn,-2,-0.25,mv,nm,3.529,0.1399
1728261900000,1245,1,0,up,up,1,3.75,nm,mv,1.0035,2.0664
1728262200000,1250,1,0,up,up,0.75,2,nm,mv,0.7223,1.0926
1728262500000,1255,1,0,up,up,2,2.75,mv,mv,1.8856,1.5076
1728262800000,1260,1,0,dn,up,-0.75,2.5,nm,mv,0.6096,1.1571
1728263100000,1265,1,0,up,up,1.5,3.75,mv,mv,1.1361,1.6698
1728263400000,1270,1,0,up,up,1.75,0.5,mv,nm,1.2733,0.2082
1728263700000,1275,1,0,up,up,0.5,1.75,nm,nm,0.5518,0.7047
1728264000000,1280,1,0,dn,up,-1.75,2.25,mv,mv,1.884,0.8486
1728264300000,1285,1,0,up,up,3,2.75,mv,mv,2.1738,1.043
1728264600000,1290,1,0,up,dn,1,-5.25,nm,mv,0.6288,1.999
1728264900000,1295,1,0,dn,dn,-1.25,-7.25,mv,mv,0.8617,3.0808
1728265200000,1300,1,0,dn,dn,-5,-5.75,mv,mv,3.0451,3.032
1728265500000,1305,1,0,dn,up,-1,1.25,nm,nm,0.3982,0.5811
1728265800000,1310,1,0,up,up,0.25,3,nm,mv,0.1014,1.0729
1728266100000,1315,1,0,up,dn,2,0,mv,nm,0.8151,0
1728266400000,1320,1,0,up,dn,0.75,-1.25,nm,nm,0.3356,0.3979
1728266700000,1325,1,0,dn,dn,-2.75,-3,mv,mv,1.2471,0.9382
1728267000000,1330,1,0,up,dn,0.75,-1,nm,nm,0.3214,0.3139
1728267300000,1335,1,0,dn,up,-1,0.25,mv,nm,0.6606,0.078
1728267600000,1340,1,0,dn,dn,-0.75,-0.25,nm,nm,0.4954,0.0758
1728267900000,1345,1,0,up,dn,2,-0.25,mv,nm,1.3054,0.0756
1728268200000,1350,1,0,dn,dn,-1.5,-1,mv,nm,0.9791,0.3135
1728268500000,1355,1,0,dn,dn,-0.75,-0.25,nm,nm,0.4879,0.0793
1728268800000,1360,1,0,up,dn,1.25,0,mv,nm,1.0394,0
1728269100000,1365,1,0,dn,dn,-0.75,0,nm,nm,0.5855,0
1728269400000,1370,1,0,dn,dn,-0.5,-0.5,nm,nm,0.3982,0.1778
1728269700000,1375,1,0,up,up,1.25,0.75,mv,nm,1.0107,0.2676
1728270000000,1380,1,0,dn,dn,-1.25,-1.5,mv,mv,1.1933,0.5469
1728270300000,1385,1,0,up,dn,0.75,-1.75,nm,mv,0.752,0.6631
1728270600000,1390,1,0,dn,dn,-1,-2.25,mv,mv,1.0026,0.894
1728270900000,1395,1,0,dn,dn,-1.5,-1.75,mv,mv,1.623,0.7559
1728271200000,1400,1,0,up,up,0.25,0.5,nm,nm,0.2431,0.2847
1728271500000,1405,1,0,dn,up,-0.5,0.5,nm,nm,0.4758,0.3796
1728271800000,1410,1,0,up,up,0.75,0.25,nm,nm,0.927,0.1948
1728272100000,1415,1,0,up,up,0.25,0.25,nm,nm,0.291,0.2531
1728272400000,1420,1,0,dn,up,-0.75,0.5,nm,nm,0.958,0.4928
1728272700000,1425,1,0,up,up,0.75,1.75,nm,mv,1,1.7019
1728273000000,1430,1,0,up,up,0.5,1,nm,nm,0.8729,1.1517
1728273300000,1435,1,0,up,dn,0.5,0,nm,nm,0.8485,0
1728273600000,0,1,0,dn,dn,0,-0.25,nm,nm,0,0.2501
1728273900000,5,1,0,dn,up,-0.5,1,nm,nm,1.0252,0.96
1728274200000,10,1,0,up,up,0.25,1.25,nm,nm,0.4523,1.1988
1728274500000,15,1,0,up,up,1.25,2.25,mv,mv,3.0619,2.1962
1728274800000,20,1,0,dn,up,-0.25,0.5,nm,nm,0.4685,0.4729
1728275100000,25,1,0,up,up,1.25,1.25,mv,nm,2.2056,1.1356
1728275400000,30,1,0,dn,dn,-0.5,-1.5,nm,mv,0.7276,1.2327
1728275700000,35,1,0,up,dn,0.5,-2.5,nm,mv,0.6667,2.0653
1728276000000,40,1,0,dn,dn,-1.5,-2.75,mv,mv,2.2326,2.2373
1728276300000,45,1,0,dn,dn,-1.5,-0.75,mv,nm,1.5199,0.6102
1728276600000,50,1,0,up,dn,0.25,-0.75,nm,nm,0.2509,0.5748
1728276900000,55,1,0,up,dn,0.5,-1,nm,nm,0.4899,0.7354
1728277200000,60,1,0,dn,dn,-1.5,-0.75,mv,nm,1.7381,0.5764
1728277500000,65,1,0,dn,dn,0,-0.75,nm,nm,0,0.5701
1728277800000,70,1,0,up,dn,0.75,-1.5,nm,mv,0.8457,1.1231
1728278100000,75,1,0,dn,dn,-1.5,-4.75,mv,mv,1.6432,3.529
1728278400000,80,1,0,dn,dn,-0.75,-1.25,nm,mv,0.8216,0.9232
1728278700000,85,1,0,dn,dn,-2.5,-1.25,mv,mv,2.7854,0.9036
1728279000000,90,1,0,up,up,2,1,mv,nm,1.8741,0.6057
1728279300000,95,1,0,dn,dn,-0.75,-1.5,nm,mv,0.5103,0.9298
1728279600000,100,1,0,dn,dn,-0.25,-0.75,nm,nm,0.1703,0.466
1728279900000,105,1,0,dn,dn,-0.5,-1.25,nm,mv,0.3636,0.7549
1728280200000,110,1,0,dn,up,0,0.75,nm,nm,0,0.4649
1728280500000,115,1,0,dn,up,-0.75,2.5,mv,mv,0.5681,1.6298
1728280800000,120,1,0,up,up,1.5,1,mv,mv,1.5772,0.7541
1728281100000,125,1,0,up,dn,1.75,-0.25,mv,nm,2.2612,0.186
1728281400000,130,1,0,dn,dn,-2.25,-3.25,mv,mv,2.3131,2.1827
1728281700000,135,1,0,up,dn,0.25,-2,nm,mv,0.1832,1.2863
1728282000000,140,1,0,dn,dn,-1.25,-2.25,mv,mv,0.9249,1.4888
1728282300000,145,1,0,dn,up,-1,2.5,mv,mv,0.6937,1.6115
1728282600000,150,1,0,dn,up,0,3.25,nm,mv,0,2.0634
1728282900000,155,1,0,up,up,3.5,4.5,mv,mv,2.7515,2.8026
1728283200000,160,1,0,dn,up,-0.25,1,nm,mv,0.1375,0.5586
1728283500000,165,1,0,up,dn,1.25,-2.5,mv,mv,0.7992,1.2422
1728283800000,170,1,0,dn,dn,0,-1.5,nm,mv,0,0.647
1728284100000,175,1,0,dn,dn,-3.75,-5.5,mv,mv,2.5641,2.3766
1728284400000,180,1,0,up,dn,2.25,-5,mv,mv,1.0445,2.3671
