FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729202400000,1080,5,0,up,up,1,2.75,nm,mv,1.2649,1.2776
1729202700000,1085,5,0,up,up,0.5,2,nm,nm,0.574,1.1274
1729203000000,1090,5,0,up,up,1.25,2.5,nm,mv,1.4095,1.403
1729203300000,1095,5,0,up,up,0.25,2.5,nm,nm,0.2683,1.3733
1729203600000,1100,5,0,up,up,1,3,nm,mv,1.0733,1.6479
1729203900000,1105,5,0,up,up,1.25,1.75,nm,nm,2.1213,1.0305
1729204200000,1110,5,0,up,up,0.75,0.75,nm,nm,2,0.4258
1729204500000,1115,5,0,dn,dn,-0.25,-0.25,nm,nm,0.6708,0.1366
1729204800000,1120,5,0,up,dn,0.25,-0.75,nm,nm,0.4562,0.4098
1729205100000,1125,5,0,dn,dn,-0.25,-1.5,nm,nm,0.4915,0.8731
1729205400000,1130,5,0,dn,dn,-0.75,-2.25,nm,nm,1.2824,1.3097
1729205700000,1135,5,0,dn,dn,-0.5,-0.25,nm,nm,0.7442,0.1436
1729206000000,1140,5,0,dn,up,-1,0.25,nm,nm,2.0212,0.153
1729206300000,1145,5,0,up,up,1.25,1,mv,nm,3.1277,0.6214
1729206600000,1150,5,0,dn,dn,0,-0.25,nm,nm,0,0.1561
1729206900000,1155,5,0,dn,dn,-0.25,0,nm,nm,0.3436,0
1729207200000,1160,5,0,dn,up,0,0.75,nm,nm,0,0.4699
1729207500000,1165,5,0,up,dn,0.25,0,nm,nm,0.3638,0
1729207800000,1170,5,0,up,dn,0.5,-0.25,nm,nm,0.7485,0.1661
1729208100000,1175,5,0,dn,dn,-0.75,-0.5,nm,nm,1.5378,0.3442
1729208400000,1180,5,0,dn,up,0,0.25,nm,nm,0,0.1712
1729208700000,1185,5,0,up,dn,0.25,-0.75,nm,nm,0.636,0.5427
1729209000000,1190,5,0,dn,dn,0,-2.5,nm,mv,0,1.8526
1729209300000,1195,5,0,dn,dn,-1,-1,mv,nm,2.544,0.8027
1729209600000,1200,5,0,dn,dn,-1.5,-4.25,mv,mv,2.8111,3.744
1729209900000,1205,5,0,up,dn,1.5,-3.5,mv,mv,2.3842,3.3735
1729210200000,1210,5,0,dn,dn,-4.25,-11.25,mv,mv,4.4516,12.1166
1729210500000,1215,5,0,dn,dn,-0.75,-4.5,nm,mv,0.4165,3.634
1729210800000,1220,5,0,dn,dn,-6.25,-3.75,mv,mv,3.596,2.6978
1729211100000,1225,5,0,up,up,2.5,3.75,mv,mv,0.9911,1.3614
1729211400000,1230,5,0,dn,up,0,2,nm,mv,0,0.7037
1729211700000,1235,5,0,up,up,1.25,2.75,mv,mv,0.404,0.9544
1729212000000,1240,5,0,up,up,0.75,1,nm,nm,0.2452,0.3197
1729212300000,1245,5,0,up,dn,0.75,0,nm,nm,0.2681,0
1729212600000,1250,5,0,dn,dn,-0.5,0,nm,nm,0.1771,0
