FT,ToD,DoW,MO,DIR,MOVE
1728252000000,1080,1,0,up,nm
1728252300000,1085,1,0,up,nm
1728252600000,1090,1,0,up,nm
1728252900000,1095,1,0,dn,mv
1728253200000,1100,1,0,dn,nm
1728253500000,1105,1,0,up,nm
1728253800000,1110,1,0,dn,nm
1728254100000,1115,1,0,up,nm
1728254400000,1120,1,0,up,nm
1728254700000,1125,1,0,dn,mv
1728255000000,1130,1,0,dn,mv
1728255300000,1135,1,0,up,nm
1728255600000,1140,1,0,up,nm
1728255900000,1145,1,0,dn,mv
1728256200000,1150,1,0,up,mv
1728256500000,1155,1,0,dn,nm
1728256800000,1160,1,0,dn,nm
1728257100000,1165,1,0,up,nm
1728257400000,1170,1,0,up,mv
1728257700000,1175,1,0,dn,nm
1728258000000,1180,1,0,dn,nm
1728258300000,1185,1,0,dn,nm
1728258600000,1190,1,0,up,mv
1728258900000,1195,1,0,dn,mv
1728259200000,1200,1,0,dn,mv
1728259500000,1205,1,0,dn,nm
1728259800000,1210,1,0,dn,nm
1728260100000,1215,1,0,up,nm
1728260400000,1220,1,0,dn,nm
1728260700000,1225,1,0,dn,nm
1728261000000,1230,1,0,dn,nm
1728261300000,1235,1,0,up,nm
1728261600000,1240,1,0,up,nm
1728261900000,1245,1,0,dn,mv
1728262200000,1250,1,0,up,mv
1728262500000,1255,1,0,up,mv
1728262800000,1260,1,0,up,mv
1728263100000,1265,1,0,dn,mv
1728263400000,1270,1,0,up,nm
1728263700000,1275,1,0,up,nm
1728264000000,1280,1,0,up,mv
1728264300000,1285,1,0,dn,mv
1728264600000,1290,1,0,up,mv
1728264900000,1295,1,0,up,mv
1728265200000,1300,1,0,dn,mv
1728265500000,1305,1,0,dn,nm
1728265800000,1310,1,0,dn,mv
1728266100000,1315,1,0,up,nm
1728266400000,1320,1,0,up,nm
1728266700000,1325,1,0,up,mv
1728267000000,1330,1,0,dn,nm
1728267300000,1335,1,0,up,nm
1728267600000,1340,1,0,dn,nm
1728267900000,1345,1,0,dn,nm
1728268200000,1350,1,0,up,nm
1728268500000,1355,1,0,dn,nm
1728268800000,1360,1,0,dn,nm
1728269100000,1365,1,0,up,nm
1728269400000,1370,1,0,dn,nm
1728269700000,1375,1,0,dn,nm
1728270000000,1380,1,0,up,mv
1728270300000,1385,1,0,dn,mv
1728270600000,1390,1,0,up,mv
1728270900000,1395,1,0,dn,mv
1728271200000,1400,1,0,dn,nm
1728271500000,1405,1,0,up,nm
1728271800000,1410,1,0,dn,nm
1728272100000,1415,1,0,up,nm
1728272400000,1420,1,0,up,nm
1728272700000,1425,1,0,dn,mv
1728273000000,1430,1,0,up,nm
1728273300000,1435,1,0,up,nm
1728273600000,0,1,0,up,nm
1728273900000,5,1,0,dn,nm
1728274200000,10,1,0,dn,nm
1728274500000,15,1,0,up,mv
1728274800000,20,1,0,up,nm
1728275100000,25,1,0,dn,nm
1728275400000,30,1,0,up,mv
1728275700000,35,1,0,dn,mv
1728276000000,40,1,0,up,mv
1728276300000,45,1,0,dn,nm
1728276600000,50,1,0,dn,nm
1728276900000,55,1,0,dn,nm
1728277200000,60,1,0,up,nm
1728277500000,65,1,0,dn,nm
1728277800000,70,1,0,dn,mv
1728278100000,75,1,0,up,mv
1728278400000,80,1,0,dn,mv
1728278700000,85,1,0,dn,mv
1728279000000,90,1,0,dn,nm
1728279300000,95,1,0,up,mv
1728279600000,100,1,0,dn,nm
1728279900000,105,1,0,dn,mv
1728280200000,110,1,0,dn,nm
1728280500000,115,1,0,dn,mv
1728280800000,120,1,0,dn,mv
1728281100000,125,1,0,up,nm
1728281400000,130,1,0,up,mv
1728281700000,135,1,0,dn,mv
1728282000000,140,1,0,up,mv
1728282300000,145,1,0,dn,mv
1728282600000,150,1,0,dn,mv
1728282900000,155,1,0,up,mv
1728283200000,160,1,0,up,mv
1728283500000,165,1,0,dn,mv
1728283800000,170,1,0,up,mv
1728284100000,175,1,0,dn,mv
1728284400000,180,1,0,dn,mv
1728284700000,185,1,0,up,mv
1728285000000,190,1,0,dn,mv
1728285300000,195,1,0,dn,mv
1728285600000,200,1,0,dn,mv
1728285900000,205,1,0,dn,mv
1728286200000,210,1,0,up,mv
1728286500000,215,1,0,dn,nm
1728286800000,220,1,0,up,nm
1728287100000,225,1,0,up,mv
1728287400000,230,1,0,dn,mv
1728287700000,235,1,0,dn,mv
1728288000000,240,1,0,up,mv
1728288300000,245,1,0,dn,nm
1728288600000,250,1,0,up,mv
1728288900000,255,1,0,dn,mv
1728289200000,260,1,0,up,nm
1728289500000,265,1,0,dn,mv
1728289800000,270,1,0,up,mv
1728290100000,275,1,0,dn,mv
1728290400000,280,1,0,dn,mv
1728290700000,285,1,0,dn,mv
1728291000000,290,1,0,dn,mv
1728291300000,295,1,0,dn,mv
