Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,754.00;10/7/24, 6:05 PM;$287.50;$275.00;-50.0;
2;_calendar_(1,728,338,400,000|1,080|2|0|dn|dn|-0.25|0|nm|nm|0.2109|0);Buy to Open;1;50.0;$5,748.25;10/7/24, 6:05 PM;;$287.50;0.0;
3;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:10 PM;$62.50;$300.00;-50.0;
4;_calendar_(1,728,338,700,000|1,085|2|0|up|dn|0.5|-1.25|nm|nm|0.7442|0.3568);Buy to Open;1;50.0;$5,748.00;10/7/24, 6:10 PM;;$350.00;0.0;
5;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.75;10/7/24, 6:15 PM;$62.50;$400.00;-50.0;
6;_calendar_(1,728,339,000,000|1,090|2|0|dn|dn|-0.25|-1.75|nm|nm|0.3193|0.5648);Buy to Open;1;50.0;$5,748.50;10/7/24, 6:15 PM;;$412.50;0.0;
7;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:20 PM;$25.00;$512.50;-50.0;
8;_calendar_(1,728,339,300,000|1,095|2|0|dn|dn|-1.5|-15.75|nm|mv|1.964|5.0928);Buy to Open;1;50.0;$5,748.75;10/7/24, 6:20 PM;;$437.50;0.0;
9;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.75;10/7/24, 6:25 PM;$112.50;$512.50;-50.0;
10;_calendar_(1,728,339,600,000|1,100|2|0|dn|dn|0|-6.25|nm|mv|0|2.4005);Buy to Open;1;50.0;$5,746.50;10/7/24, 6:25 PM;;$550.00;0.0;
11;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.50;10/7/24, 6:30 PM;$112.50;$1,275.00;-50.0;
12;_calendar_(1,728,339,900,000|1,105|2|0|dn|dn|-14.25|-5.25|mv|mv|20.402|2.2853);Buy to Open;1;50.0;$5,745.25;10/7/24, 6:30 PM;;$662.50;0.0;
13;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.25;10/7/24, 6:35 PM;$1,150.00;$1,025.00;-50.0;
14;_calendar_(1,728,340,200,000|1,110|2|0|up|up|8|8.75|mv|mv|1.5286|2.1744);Buy to Open;1;50.0;$5,725.25;10/7/24, 6:35 PM;;$1,812.50;0.0;
15;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.25;10/7/24, 6:40 PM;$912.50;$2,075.00;-50.0;
16;_calendar_(1,728,340,500,000|1,115|2|0|up|dn|1|-1.75|nm|nm|0.1518|0.4188);Buy to Open;1;50.0;$5,729.00;10/7/24, 6:40 PM;;$2,725.00;0.0;
17;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,743.75;10/7/24, 6:45 PM;$125.00;$2,825.00;-50.0;
18;_calendar_(1,728,340,800,000|1,120|2|0|dn|dn|-0.25|-1.5|nm|nm|0.0378|0.3553);Buy to Open;1;50.0;$5,741.25;10/7/24, 6:45 PM;;$2,850.00;0.0;
19;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,742.00;10/7/24, 6:50 PM;$175.00;$2,987.50;-50.0;
20;_calendar_(1,728,341,100,000|1,125|2|0|dn|dn|-2.5|0|mv|nm|0.3782|0);Buy to Open;1;50.0;$5,738.50;10/7/24, 6:50 PM;;$3,025.00;0.0;
21;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,742.75;10/7/24, 6:55 PM;$237.50;$3,137.50;-50.0;
22;_calendar_(1,728,341,400,000|1,130|2|0|up|up|1.25|8.25|nm|mv|0.1885|1.7227);Buy to Open;1;50.0;$5,738.00;10/7/24, 6:55 PM;;$3,262.50;0.0;
23;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,741.50;10/7/24, 7:00 PM;$312.50;$3,250.00;-50.0;
24;_calendar_(1,728,341,700,000|1,135|2|0|up|up|1.25|3|nm|nm|0.1869|0.6291);Buy to Open;1;50.0;$5,735.25;10/7/24, 7:00 PM;;$3,575.00;0.0;
25;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,743.75;10/7/24, 7:05 PM;$250.00;$3,387.50;-50.0;
26;_calendar_(1,728,342,000,000|1,140|2|0|up|up|5.75|4.75|mv|mv|1.7934|1.0008);Buy to Open;1;50.0;$5,738.75;10/7/24, 7:05 PM;;$3,825.00;0.0;
27;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.75;10/7/24, 7:10 PM;$425.00;$4,137.50;-50.0;
28;_calendar_(1,728,342,300,000|1,145|2|0|dn|dn|-4|-1.75|mv|nm|1.6227|0.3394);Buy to Open;1;50.0;$5,741.25;10/7/24, 7:10 PM;;$4,250.00;0.0;
29;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.50;10/7/24, 7:15 PM;$212.50;$4,300.00;-50.0;
30;_calendar_(1,728,342,600,000|1,150|2|0|up|up|3|0.75|mv|nm|0.9639|0.1452);Buy to Open;1;50.0;$5,743.25;10/7/24, 7:15 PM;;$4,462.50;0.0;
31;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.25;10/7/24, 7:20 PM;$187.50;$4,537.50;-50.0;
32;_calendar_(1,728,342,900,000|1,155|2|0|dn|dn|-0.75|-4|nm|mv|0.2302|0.7541);Buy to Open;1;50.0;$5,743.50;10/7/24, 7:20 PM;;$4,650.00;0.0;
33;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.00;10/7/24, 7:25 PM;$87.50;$4,787.50;-50.0;
34;_calendar_(1,728,343,200,000|1,160|2|0|dn|dn|-1.5|-3|nm|nm|0.4968|0.5656);Buy to Open;1;50.0;$5,745.25;10/7/24, 7:25 PM;;$4,737.50;0.0;
35;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.25;10/7/24, 7:30 PM;$100.00;$4,925.00;-50.0;
36;_calendar_(1,728,343,500,000|1,165|2|0|dn|up|-1.75|1|nm|nm|0.553|0.1881);Buy to Open;1;50.0;$5,744.25;10/7/24, 7:30 PM;;$4,837.50;0.0;
37;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.25;10/7/24, 7:35 PM;$87.50;$4,912.50;-50.0;
38;_calendar_(1,728,343,800,000|1,170|2|0|up|up|0.25|3|nm|nm|0.0766|0.5614);Buy to Open;1;50.0;$5,742.50;10/7/24, 7:35 PM;;$4,925.00;0.0;
39;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,743.25;10/7/24, 7:40 PM;$87.50;$4,825.00;-50.0;
40;_calendar_(1,728,344,100,000|1,175|2|0|up|up|2.5|4.25|mv|mv|1.1747|0.7961);Buy to Open;1;50.0;$5,741.50;10/7/24, 7:40 PM;;$5,012.50;0.0;
41;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.25;10/7/24, 7:45 PM;$150.00;$5,000.00;-50.0;
42;_calendar_(1,728,344,400,000|1,180|2|0|up|dn|0.25|-1|nm|nm|0.1347|0.1867);Buy to Open;1;50.0;$5,742.25;10/7/24, 7:45 PM;;$5,162.50;0.0;
43;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.75;10/7/24, 7:50 PM;$100.00;$5,100.00;-50.0;
44;_calendar_(1,728,344,700,000|1,185|2|0|up|up|1.5|3.5|nm|mv|1.057|0.6448);Buy to Open;1;50.0;$5,743.75;10/7/24, 7:50 PM;;$5,262.50;0.0;
45;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.50;10/7/24, 7:55 PM;$212.50;$5,475.00;-50.0;
46;_calendar_(1,728,345,000,000|1,190|2|0|dn|up|-2.75|3|mv|mv|1.8214|0.5412);Buy to Open;1;50.0;$5,744.25;10/7/24, 7:55 PM;;$5,475.00;0.0;
47;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.25;10/7/24, 8:00 PM;$150.00;$5,387.50;-50.0;
48;_calendar_(1,728,345,300,000|1,195|2|0|up|up|4.75|8.75|mv|mv|2.6519|1.5807);Buy to Open;1;50.0;$5,744.25;10/7/24, 8:00 PM;;$5,625.00;0.0;
49;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.50;10/7/24, 8:05 PM;$250.00;$5,600.00;-50.0;
50;_calendar_(1,728,345,600,000|1,200|2|0|up|up|1|3.25|nm|mv|0.435|0.7844);Buy to Open;1;50.0;$5,744.50;10/7/24, 8:05 PM;;$5,875.00;0.0;
51;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,751.75;10/7/24, 8:10 PM;$162.50;$5,812.50;-50.0;
52;_calendar_(1,728,345,900,000|1,205|2|0|up|up|3|2.25|mv|nm|1.3214|0.5908);Buy to Open;1;50.0;$5,748.50;10/7/24, 8:10 PM;;$6,037.50;0.0;
53;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,753.00;10/7/24, 8:15 PM;$187.50;$6,075.00;-50.0;
54;_calendar_(1,728,346,200,000|1,210|2|0|dn|dn|-0.75|-0.5|nm|nm|0.3226|0.1303);Buy to Open;1;50.0;$5,749.25;10/7/24, 8:15 PM;;$6,225.00;0.0;
55;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,753.75;10/7/24, 8:20 PM;$112.50;$6,300.00;-50.0;
56;_calendar_(1,728,346,500,000|1,215|2|0|dn|up|0|1.5|nm|nm|0|0.4297);Buy to Open;1;50.0;$5,751.50;10/7/24, 8:20 PM;;$6,337.50;0.0;
57;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,752.75;10/7/24, 8:25 PM;$112.50;$6,350.00;-50.0;
58;_calendar_(1,728,346,800,000|1,220|2|0|up|up|0.25|0.5|nm|nm|0.1019|0.1475);Buy to Open;1;50.0;$5,750.50;10/7/24, 8:25 PM;;$6,450.00;0.0;
59;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,753.25;10/7/24, 8:30 PM;$100.00;$6,425.00;-50.0;
60;_calendar_(1,728,347,100,000|1,225|2|0|up|dn|1.25|-1.75|nm|nm|0.6551|0.5237);Buy to Open;1;50.0;$5,751.25;10/7/24, 8:30 PM;;$6,550.00;0.0;
61;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,754.50;10/7/24, 8:35 PM;$100.00;$6,637.50;-50.0;
62;_calendar_(1,728,347,400,000|1,230|2|0|dn|dn|-1|-1|nm|nm|0.8438|0.3021);Buy to Open;1;50.0;$5,752.50;10/7/24, 8:35 PM;;$6,650.00;0.0;
63;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,753.75;10/7/24, 8:40 PM;$112.50;$6,800.00;-50.0;
