FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1706050800000,1080,3,0,up,up,1.5,1.5,mv,mv,1.908,0.7132
1706051100000,1085,3,0,up,up,0.75,1,nm,nm,0.927,0.5689
1706051400000,1090,3,0,dn,dn,-0.75,-0.25,nm,nm,1.0256,0.1469
1706051700000,1095,3,0,up,up,1,0.5,mv,nm,1.1882,0.3203
1706052000000,1100,3,0,dn,dn,-0.5,-0.25,nm,nm,0.5876,0.1776
1706052300000,1105,3,0,dn,up,0,0.25,nm,nm,0,0.169
1706052600000,1110,3,0,up,dn,0.25,-0.25,nm,nm,0.3078,0.2056
1706052900000,1115,3,0,dn,dn,0,-0.25,nm,nm,0,0.1977
1706053200000,1120,3,0,dn,dn,-0.5,-0.25,nm,nm,0.8944,0.2126
1706053500000,1125,3,0,up,dn,0.25,0,nm,nm,0.4915,0
1706053800000,1130,3,0,dn,dn,0,-0.5,nm,nm,0,0.4644
1706054100000,1135,3,0,dn,dn,-0.25,-0.5,nm,nm,1,0.4495
1706054400000,1140,3,0,dn,up,-0.25,0.25,nm,nm,0.937,0.221
1706054700000,1145,3,0,dn,up,0,0.25,nm,nm,0,0.2154
1706055000000,1150,3,0,up,dn,0.5,-0.5,nm,nm,2.0889,0.4283
1706055300000,1155,3,0,dn,dn,-0.25,-1.25,nm,mv,0.937,1.0714
1706055600000,1160,3,0,dn,dn,-0.75,-0.75,mv,nm,2.8111,0.6538
1706055900000,1165,3,0,dn,up,-0.25,0.75,nm,nm,0.6708,0.6478
1706056200000,1170,3,0,up,up,0.25,1.25,nm,mv,0.6708,1.0447
1706056500000,1175,3,0,up,up,0.75,2,mv,mv,1.8766,1.8733
1706056800000,1180,3,0,up,up,0.25,1.25,nm,mv,0.4915,1.9451
1706057100000,1185,3,0,up,dn,1,-1,mv,nm,2.0889,1.6347
1706057400000,1190,3,0,dn,dn,0,-2.25,nm,mv,0,3.0593
1706057700000,1195,3,0,dn,dn,-2,-1.75,mv,mv,4.7068,2.2358
1706058000000,1200,3,0,dn,dn,-0.25,-0.25,nm,nm,0.257,0.3064
1706058300000,1205,3,0,up,up,0.5,0.25,nm,nm,0.514,0.2582
1706058600000,1210,3,0,dn,up,-0.5,0.5,nm,nm,0.5303,0.4826
1706058900000,1215,3,0,up,up,0.25,1.5,nm,mv,0.2659,1.4479
1706059200000,1220,3,0,up,up,0.75,0.5,mv,nm,0.9234,0.4804
1706059500000,1225,3,0,up,dn,0.5,-0.5,nm,nm,0.5518,0.4755
1706059800000,1230,3,0,dn,dn,-0.75,-0.75,mv,nm,1.6933,0.6722
1706060100000,1235,3,0,dn,dn,-0.25,0,nm,nm,0.451,0
1706060400000,1240,3,0,up,dn,0.25,-0.25,nm,nm,0.4629,0.2239
1706060700000,1245,3,0,dn,dn,0,-0.75,nm,nm,0,0.6648
1706061000000,1250,3,0,dn,dn,-0.5,-0.25,mv,nm,1.0142,0.222
1706061300000,1255,3,0,dn,dn,-0.25,-0.5,nm,nm,0.5855,0.4457
1706061600000,1260,3,0,up,dn,0.5,-0.75,mv,nm,1.5492,0.6833
1706061900000,1265,3,0,dn,dn,-0.75,-0.5,mv,nm,2.2326,0.4609
1706062200000,1270,3,0,dn,up,-0.5,0.75,mv,mv,1.1711,0.6974
1706062500000,1275,3,0,up,up,0.75,1.25,mv,mv,1.8371,1.2048
1706062800000,1280,3,0,up,up,0.5,0.5,mv,nm,0.902,0.5582
1706063100000,1285,3,0,dn,up,0,0.25,nm,nm,0,0.2928
1706063400000,1290,3,0,dn,up,0,0.25,nm,nm,0,0.2747
1706063700000,1295,3,0,up,up,0.25,0.5,nm,nm,0.4804,0.6449
1706064000000,1300,3,0,dn,up,0,0.5,nm,nm,0,0.7586
1706064300000,1305,3,0,up,up,0.25,0.75,nm,mv,0.866,1.143
1706064600000,1310,3,0,up,up,0.25,0.5,nm,nm,1.3416,0.7551
1706064900000,1315,3,0,up,up,0.25,0.75,nm,mv,2,1.1326
1706065200000,1320,3,0,dn,up,0,1.5,nm,mv,0,2.5316
1706065500000,1325,3,0,up,up,0.5,1.75,mv,mv,4.2426,2.9535
1706065800000,1330,3,0,up,up,1,0.25,mv,nm,5.8209,0.4191
1706066100000,1335,3,0,up,dn,0.25,-0.25,nm,nm,0.7947,0.3939
1706066400000,1340,3,0,dn,dn,-1,-0.25,mv,nm,3.1789,0.3484
1706066700000,1345,3,0,up,up,0.5,0.25,mv,nm,0.8242,0.3554
1706067000000,1350,3,0,up,dn,0.25,-0.5,nm,mv,0.4036,0.7492
1706067300000,1355,3,0,dn,dn,-0.5,-1,mv,mv,0.8165,1.4984
1706067600000,1360,3,0,dn,dn,-0.25,-0.5,nm,mv,0.381,0.7909
1706067900000,1365,3,0,dn,dn,-0.25,-0.25,nm,nm,0.4851,0.4111
1706068200000,1370,3,0,dn,dn,0,0,nm,nm,0,0
1706068500000,1375,3,0,dn,dn,0,-0.5,nm,nm,0,0.7264
1706068800000,1380,3,0,dn,dn,0,-0.25,nm,nm,0,0.3753
1706069100000,1385,3,0,dn,up,-0.5,0.25,mv,nm,2.6833,0.375
1706069400000,1390,3,0,up,up,0.25,0.75,nm,mv,1.3416,1.0894
1706069700000,1395,3,0,up,up,0.5,0.5,mv,nm,2.1213,0.7181
1706070000000,1400,3,0,dn,up,0,0.25,nm,nm,0,0.3612
1706070300000,1405,3,0,dn,dn,0,0,nm,nm,0,0
1706070600000,1410,3,0,up,up,0.25,0.25,nm,nm,0.8242,0.3612
1706070900000,1415,3,0,dn,dn,-0.25,-0.5,nm,mv,0.8018,0.7269
1706071200000,1420,3,0,up,dn,0.25,0,nm,nm,1.0445,0
1706071500000,1425,3,0,dn,dn,-0.5,0,mv,nm,2.0889,0
1706071800000,1430,3,0,up,up,0.25,0.5,nm,mv,0.937,1.1767
1706072100000,1435,3,0,up,dn,0.25,0,nm,nm,0.866,0
1706072400000,0,3,0,dn,dn,0,-0.25,nm,nm,0,0.6
1706072700000,5,3,0,dn,dn,-0.25,0,mv,nm,0.866,0
1706073000000,10,3,0,dn,up,0,1.25,nm,mv,0,2.9108
1706073300000,15,3,0,up,up,0.25,2.25,mv,mv,0.937,5.3732
1706073600000,20,3,0,up,up,1,2.25,mv,mv,5.3666,6.4594
1706073900000,25,3,0,up,up,1,1,mv,mv,2.544,2.3434
1706074200000,30,3,0,up,dn,0.25,0,nm,nm,0.5071,0
1706074500000,35,3,0,dn,dn,-0.25,-0.75,mv,mv,0.5283,0.958
1706074800000,40,3,0,dn,dn,0,-0.75,nm,mv,0,0.9805
1706075100000,45,3,0,dn,dn,-0.5,0,mv,nm,1.0565,0
1706075400000,50,3,0,dn,up,-0.25,0.5,mv,mv,0.433,0.6222
1706075700000,55,3,0,up,up,0.75,1.5,mv,mv,1.5378,1.7823
1706076000000,60,3,0,dn,up,0,0.75,nm,mv,0,0.8887
1706076300000,65,3,0,up,up,0.75,1.25,mv,mv,1.908,1.4794
1706076600000,70,3,0,dn,dn,0,-0.5,nm,mv,0,0.5666
1706076900000,75,3,0,up,dn,0.5,-0.75,mv,mv,1.0565,0.8474
1706077200000,80,3,0,dn,dn,-1,-0.25,mv,nm,2.544,0.2862
1706077500000,85,3,0,dn,up,-0.25,0.75,nm,mv,0.4121,0.8356
1706077800000,90,3,0,up,up,1,1.25,mv,mv,1.7889,1.335
1706078100000,95,3,0,dn,up,0,1.25,nm,mv,0,1.3156
1706078400000,100,3,0,up,dn,0.25,0,nm,nm,0.4036,0
1706078700000,105,3,0,up,up,1,0.75,mv,mv,1.6036,0.7916
1706079000000,110,3,0,dn,dn,-1.25,0,mv,nm,1.7802,0
1706079300000,115,3,0,up,up,1,1,mv,mv,1.2921,1.0555
1706079600000,120,3,0,up,dn,0.25,0,nm,nm,0.3078,0
1706079900000,125,3,0,dn,up,-0.25,0.25,nm,nm,0.3308,0.3375
1706080200000,130,3,0,dn,up,0,0.75,nm,mv,0,1.0126
1706080500000,135,3,0,up,up,0.5,1.25,mv,mv,0.6461,1.6876
1706080800000,140,3,0,up,up,0.25,2.75,nm,mv,0.3579,3.9664
1706081100000,145,3,0,up,up,0.5,4,mv,mv,1.272,6.255
1706081400000,150,3,0,up,up,2,2.5,mv,mv,7.4963,3.8333
1706081700000,155,3,0,up,dn,1.5,-0.75,mv,mv,2.0785,0.9091
1706082000000,160,3,0,dn,dn,-1,-1.75,mv,mv,1.4021,1.5716
1706082300000,165,3,0,dn,dn,-1.25,-0.5,mv,nm,1.3093,0.4241
1706082600000,170,3,0,up,up,0.5,0.5,mv,nm,0.4211,0.4052
1706082900000,175,3,0,up,up,0.25,0.5,nm,nm,0.2104,0.3744
1706083200000,180,3,0,dn,up,-0.25,0.75,nm,mv,0.2106,0.5675
1706083500000,185,3,0,up,up,0.5,0.25,mv,nm,0.5383,0.1921
1706083800000,190,3,0,up,up,0.5,0.25,mv,nm,0.7159,0.1919
1706084100000,195,3,0,dn,up,-0.75,0.75,mv,mv,1.1792,0.578
1706084400000,200,3,0,up,up,0.5,1.5,mv,mv,1.0565,1.1575
1706084700000,205,3,0,up,up,1,0.5,mv,nm,2.1131,0.3877
1706085000000,210,3,0,dn,dn,0,-1.25,nm,mv,0,0.9691
1706085300000,215,3,0,dn,dn,-0.5,-0.5,mv,nm,0.9123,0.3874
1706085600000,220,3,0,dn,up,-0.75,0.5,mv,nm,1.2333,0.3873
1706085900000,225,3,0,up,up,0.75,0.25,mv,nm,1.143,0.1837
1706086200000,230,3,0,up,up,0.5,0.25,mv,nm,0.7811,0.1805
1706086500000,235,3,0,dn,dn,-1,-0.75,mv,mv,1.5623,0.5415
1706086800000,240,3,0,up,up,0.75,0.25,mv,nm,1.1717,0.1813
1706087100000,245,3,0,dn,up,-0.5,1,mv,mv,0.6871,0.7848
1706087400000,250,3,0,dn,up,0,0.75,nm,mv,0,0.7804
1706087700000,255,3,0,up,up,1.5,1,mv,mv,2.286,1.2847
1706088000000,260,3,0,dn,dn,-0.75,0,mv,nm,0.9126,0
1706088300000,265,3,0,up,up,0.25,1.25,nm,mv,0.2847,1.9383
1706088600000,270,3,0,up,up,0.5,1,mv,mv,0.6616,1.5727
1706088900000,275,3,0,up,up,0.5,0.75,mv,mv,0.6838,1.1717
1706089200000,280,3,0,dn,up,0,0.75,nm,mv,0,1.1142
1706089500000,285,3,0,up,up,0.25,1.5,nm,mv,0.3721,2.1954
1706089800000,290,3,0,up,up,0.5,0.25,mv,nm,1.1711,0.3638
1706090100000,295,3,0,up,dn,0.75,-1.25,mv,mv,4.0249,1.8116
1706090400000,300,3,0,dn,dn,-1,-3,mv,mv,4.2426,4.1167
1706090700000,305,3,0,dn,dn,-1,-2.75,mv,mv,1.7504,4.0018
1706091000000,310,3,0,dn,dn,-1,-1.25,mv,mv,1.4552,1.5917
1706091300000,315,3,0,dn,up,-0.75,0.5,mv,nm,0.982,0.4806
1706091600000,320,3,0,up,up,0.5,1.5,mv,mv,0.6708,1.2132
1706091900000,325,3,0,up,up,0.75,0.75,mv,mv,1.0062,0.5909
1706092200000,330,3,0,up,dn,0.25,-0.5,nm,nm,0.3354,0.3927
1706092500000,335,3,0,dn,dn,-0.25,-1,nm,mv,0.3436,0.7589
1706092800000,340,3,0,dn,up,-0.5,0.5,mv,nm,0.7811,0.3818
1706093100000,345,3,0,dn,up,-0.25,1.25,nm,mv,0.4629,0.9482
1706093400000,350,3,0,up,up,1.25,3.5,mv,mv,2.7854,2.6433
1706093700000,355,3,0,up,up,0.25,2.5,nm,mv,0.4036,1.8974
1706094000000,360,3,0,up,up,2,1.25,mv,mv,3.4915,0.9403
1706094300000,365,3,0,up,dn,0.25,-1.25,nm,mv,0.275,0.8061
1706094600000,370,3,0,dn,dn,-1,-1.5,mv,mv,1.1547,0.9247
1706094900000,375,3,0,dn,dn,-0.5,-1,mv,mv,0.5126,0.6138
1706095200000,380,3,0,dn,dn,0,0,nm,nm,0,0
1706095500000,385,3,0,dn,dn,-0.5,0,mv,nm,0.5367,0
1706095800000,390,3,0,up,dn,0.5,0,mv,nm,0.5198,0
1706096100000,395,3,0,dn,dn,0,-0.25,nm,nm,0,0.1492
1706096400000,400,3,0,dn,dn,-0.5,-0.25,mv,nm,1.0445,0.1514
1706096700000,405,3,0,up,dn,0.25,0,nm,nm,0.6708,0
1706097000000,410,3,0,dn,dn,0,-0.25,nm,nm,0,0.1898
1706097300000,415,3,0,dn,up,-0.25,0.25,nm,nm,0.6838,0.1965
1706097600000,420,3,0,dn,dn,0,-0.25,nm,nm,0,0.1963
1706097900000,425,3,0,up,up,0.5,0.5,mv,nm,2.1213,0.4016
1706098200000,430,3,0,dn,dn,-0.75,-0.75,mv,mv,2.3238,0.6057
1706098500000,435,3,0,up,up,0.75,0.5,mv,nm,1.908,0.4059
1706098800000,440,3,0,dn,up,-0.75,1,mv,mv,1.5378,0.8343
1706099100000,445,3,0,up,up,0.5,0.75,mv,mv,0.8752,0.6149
1706099400000,450,3,0,up,up,1.25,1,mv,mv,2.0751,0.8361
1706099700000,455,3,0,dn,dn,-1,-1,mv,mv,1.3333,1.096
1706100000000,460,3,0,up,up,0.75,0.25,mv,nm,0.866,0.3492
