FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728277200000,60,1,0,dn,dn,-0.07,-0.21,nm,mv,0.6715,1.3603
1728277500000,65,1,0,dn,dn,-0.11,-0.19,mv,mv,1.0307,1.2682
1728277800000,70,1,0,dn,dn,-0.03,-0.08,nm,nm,0.2573,0.5411
1728278100000,75,1,0,dn,dn,-0.05,-0.35,nm,mv,0.516,2.2603
1728278400000,80,1,0,dn,dn,0,-0.19,nm,mv,0,1.1985
1728278700000,85,1,0,dn,dn,-0.3,-0.24,mv,mv,7.318,1.629
1728279000000,90,1,0,up,up,0.11,0.14,mv,nm,1.1175,0.8661
1728279300000,95,1,0,dn,dn,-0.05,0,nm,nm,0.4005,0
1728279600000,100,1,0,up,up,0.08,0.01,nm,nm,0.6498,0.0686
1728279900000,105,1,0,dn,dn,-0.03,-0.24,nm,mv,0.2255,1.6333
1728280200000,110,1,0,dn,dn,-0.04,-0.11,nm,nm,0.3011,0.7486
1728280500000,115,1,0,dn,up,-0.17,0.15,mv,mv,1.287,1.0282
1728280800000,120,1,0,up,up,0.1,0.17,mv,mv,1.0875,1.1666
1728281100000,125,1,0,up,dn,0.22,-0.17,mv,mv,2.4524,1.1809
1728281400000,130,1,0,dn,dn,-0.15,-0.27,mv,mv,1.2118,1.7805
1728281700000,135,1,0,dn,up,-0.24,0.26,mv,mv,1.7607,1.6668
1728282600000,150,1,0,up,up,0.12,0.17,mv,mv,0.7444,1.0827
1728282900000,155,1,0,up,dn,0.38,-0.1,mv,nm,2.1976,0.6461
1728284100000,175,1,0,dn,dn,-0.33,-0.88,mv,mv,1.5659,5.0755
1728284400000,180,1,0,dn,dn,-0.15,-0.83,mv,mv,0.5837,4.6479
1728285000000,190,1,0,dn,dn,-0.4,-0.8,mv,mv,1.6621,4.5151
1728285300000,195,1,0,dn,dn,-0.28,-0.29,mv,mv,1.0296,1.1339
1728285600000,200,1,0,dn,dn,-0.12,-0.51,mv,mv,0.4353,1.6739
1728285900000,205,1,0,up,dn,0.11,-0.39,mv,mv,0.4295,1.1498
1728286200000,210,1,0,dn,dn,-0.5,-0.05,mv,nm,2.9867,0.148
1728286500000,215,1,0,dn,up,0,0.19,nm,mv,0,0.5487
1728286800000,220,1,0,up,dn,0.45,-0.01,mv,nm,2.0873,0.0287
1728287100000,225,1,0,dn,up,-0.26,0.04,mv,nm,0.8682,0.1172
1728287400000,230,1,0,dn,up,-0.2,0.34,mv,mv,0.6732,0.9701
1728287700000,235,1,0,up,up,0.5,0.45,mv,mv,1.6582,1.2863
1728288000000,240,1,0,up,dn,0.04,-0.19,nm,mv,0.1089,0.5364
1728288300000,245,1,0,dn,dn,-0.09,-0.16,nm,mv,0.3072,0.4275
1728288600000,250,1,0,dn,dn,-0.14,0,mv,nm,0.4677,0
1728288900000,255,1,0,up,up,0.07,0.4,nm,mv,0.277,1.0349
1728289200000,260,1,0,up,dn,0.07,-0.13,nm,nm,0.3037,0.3363
1728289500000,265,1,0,up,dn,0.26,-0.21,mv,mv,1.2603,0.5419
1728289800000,270,1,0,dn,dn,-0.46,-0.78,mv,mv,3.5748,1.9646
1728290100000,275,1,0,dn,dn,-0.01,-0.24,nm,mv,0.0445,0.6159
1728290400000,280,1,0,dn,dn,-0.31,-0.47,mv,mv,1.3833,1.2067
1728290700000,285,1,0,up,dn,0.08,-0.72,nm,mv,0.3261,1.8953
1728291000000,290,1,0,dn,dn,-0.24,-0.98,mv,mv,0.9746,2.8427
1728291300000,295,1,0,dn,dn,-0.56,-0.67,mv,mv,2.2788,2.1188
1728291600000,300,1,0,dn,dn,-0.18,-0.18,mv,mv,0.7914,0.5235
1728291900000,305,1,0,up,dn,0.07,-0.22,nm,mv,0.3375,0.5693
1728292200000,310,1,0,dn,dn,-0.07,-0.44,nm,mv,0.316,1.098
1728292500000,315,1,0,dn,dn,-0.22,-0.09,mv,nm,1.0098,0.2253
1728292800000,320,1,0,dn,up,-0.15,0.27,mv,mv,0.7802,0.6939
1728293100000,325,1,0,up,up,0.28,0.45,mv,mv,1.4578,1.1555
1728293400000,330,1,0,up,up,0.14,0.2,mv,mv,0.8098,0.5188
1728293700000,335,1,0,up,up,0.03,0.05,nm,nm,0.174,0.1316
1728294000000,340,1,0,up,up,0.03,0.09,nm,nm,0.1758,0.2368
1728294300000,345,1,0,dn,up,-0.01,0.04,nm,nm,0.0596,0.1017
1728294600000,350,1,0,up,dn,0.07,-0.09,nm,nm,0.5283,0.2262
1728294900000,355,1,0,dn,dn,-0.02,-0.27,nm,mv,0.2067,0.6732
1728295200000,360,1,0,dn,up,-0.14,0.22,mv,mv,2.6148,0.5807
1728295500000,365,1,0,dn,up,-0.11,0.49,nm,mv,1.6541,1.2912
1728295800000,370,1,0,up,up,0.47,0.49,mv,mv,6.3762,1.2907
1728296100000,375,1,0,up,up,0.13,0.18,nm,nm,0.6411,0.49
1728296400000,380,1,0,dn,up,-0.11,0.02,nm,nm,0.5409,0.0504
1728296700000,385,1,0,up,up,0.16,0.22,mv,mv,0.7488,0.5349
1728297000000,390,1,0,dn,dn,-0.03,-0.14,nm,nm,0.1387,0.3649
1728297300000,395,1,0,up,up,0.09,0.04,nm,nm,0.4452,0.1307
1728297600000,400,1,0,dn,dn,-0.2,-0.03,mv,nm,1.0941,0.1168
1728297900000,405,1,0,up,up,0.15,0.02,mv,nm,1.143,0.0785
1728298200000,410,1,0,up,dn,0.02,-0.04,nm,nm,0.1487,0.1637
1728298500000,415,1,0,dn,dn,-0.15,-0.08,mv,nm,1.2148,0.3809
1728298800000,420,1,0,up,dn,0.09,-0.11,nm,nm,0.7268,0.5355
1728299100000,425,1,0,dn,dn,-0.02,-0.015,nm,nm,0.1537,0.073
1728299400000,430,1,0,dn,dn,-0.18,-0.03,mv,nm,1.4546,0.1563
1728299700000,435,1,0,up,up,0.185,0.03,mv,nm,1.5548,0.1545
1728300000000,440,1,0,dn,up,-0.035,0.065,nm,nm,0.2745,0.3335
1728300300000,445,1,0,dn,up,-0.12,0.08,nm,nm,0.9446,0.4087
1728300600000,450,1,0,up,up,0.22,0.27,mv,mv,1.7995,1.3791
1728300900000,455,1,0,dn,up,-0.02,0.24,nm,mv,0.1355,1.2448
1728301200000,460,1,0,up,up,0.07,0.28,nm,mv,0.4744,1.5952
1728301500000,465,1,0,up,up,0.19,0.19,mv,mv,1.564,1.0667
1728301800000,470,1,0,up,up,0.02,0.12,nm,nm,0.1634,0.7803
1728302100000,475,1,0,dn,up,-0.02,0.21,nm,mv,0.17,1.655
1728302400000,480,1,0,up,up,0.12,0.16,mv,nm,1.2496,1.2554
1728302700000,485,1,0,up,up,0.11,0.11,mv,nm,1.4402,0.8598
1728303000000,490,1,0,dn,up,-0.07,0.02,nm,nm,1.0195,0.1572
1728303300000,495,1,0,up,up,0.07,0.032,nm,nm,0.7836,0.2684
1728303600000,500,1,0,up,up,0.02,0.15,nm,nm,0.2913,1.2598
1728303900000,505,1,0,dn,up,-0.058,0.21,nm,mv,0.8448,1.7949
1728304200000,510,1,0,up,up,0.188,0.268,mv,mv,2.5004,2.2972
1728304500000,515,1,0,up,up,0.08,0.01,nm,nm,0.8786,0.0882
1728304800000,520,1,0,dn,dn,0,-0.22,nm,mv,0,2.0413
1728305100000,525,1,1,dn,dn,-0.07,-0.23,nm,mv,0.9112,2.3236
1728305400000,530,1,1,dn,up,-0.15,0.17,mv,mv,1.7105,1.7516
1728305700000,535,1,1,dn,up,-0.01,0.27,nm,mv,0.091,2.2209
1728306000000,540,1,1,up,up,0.33,0.2,mv,mv,3.0772,1.3791
1728306300000,545,1,1,dn,dn,-0.05,-0.09,nm,nm,0.3304,0.6197
1728306600000,550,1,1,dn,up,-0.08,0.16,nm,mv,0.5266,1.0727
1728306900000,555,1,1,up,up,0.04,0.11,nm,nm,0.2572,0.7522
1728307200000,560,1,1,up,up,0.2,0.1931,mv,mv,1.305,1.28
1728307500000,565,1,1,dn,dn,-0.13,-0.26,mv,mv,0.8877,1.7874
1728307800000,570,1,1,up,dn,0.1231,-0.08,mv,nm,0.7532,0.5565
1728308100000,575,1,1,dn,dn,-0.2531,-0.4931,mv,mv,2.1813,3.389
1728308400000,580,1,1,up,dn,0.05,-0.33,nm,mv,0.3245,2.015
1728308700000,585,1,1,dn,up,-0.29,0.27,mv,mv,1.8981,1.6297
1728309000000,590,1,1,dn,up,-0.09,0.43,mv,mv,0.4837,2.0743
1728309300000,595,1,1,up,up,0.65,0.8,mv,mv,4.3691,3.5947
1728309600000,600,1,1,dn,up,-0.13,0.42,mv,mv,0.4144,1.8202
1728309900000,605,1,1,up,up,0.28,0.33,mv,mv,0.8873,1.3308
1728310200000,610,1,1,up,dn,0.27,-0.02,mv,nm,0.8717,0.0662
1728310500000,615,1,1,dn,dn,-0.22,-0.25,mv,mv,0.6937,0.8068
1728310800000,620,1,1,dn,dn,-0.07,-0.27,nm,mv,0.231,0.8576
