Strategy report
Symbol: /ES:XCME
Work Time: 10/17/24, 6:05 PM - 10/22/24, 8:50 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_participation_;Sell to Close;-1;-50.0;$5,889.25;10/17/24, 6:05 PM;$150.00;$62.50;-50.0;
2;_participation_(1,729,202,400,000|962|5,711|3,993|2,393.1667|2,662.75|-83.1553|-75.9078|-59.8022|-63.8719|-129.1291|-87.3471|-0.0005|-0.0002|-0.0001|-0.0001|-0);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:05 PM;;$150.00;0.0;
3;_participation_;Sell to Close;-1;-50.0;$5,888.25;10/17/24, 6:10 PM;$100.00;$137.50;-50.0;
4;_participation_(1,729,202,700,000|233|597.5|3,885|2,328.3333|2,095.75|-61.0042|-94.0026|-89.9928|-88.8823|-50.0791|-94.58|0.0043|0.0004|-0.0001|0|-0.0001);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:10 PM;;$250.00;0.0;
5;_participation_;Sell to Close;-1;-50.0;$5,889.00;10/17/24, 6:15 PM;$62.50;$212.50;-50.0;
6;_participation_(1,729,203,000,000|200|216.5|465|2,224.6667|1,657.9167|-7.6212|-56.9892|-91.0099|-87.9367|-31.6212|-82.386|0.0025|0.0035|0.0007|0.0001|0);Buy to Open;1;50.0;$5,887.75;10/17/24, 6:15 PM;;$312.50;0.0;
7;_participation_;Sell to Close;-1;-50.0;$5,890.00;10/17/24, 6:20 PM;$87.50;$312.50;-50.0;
8;_participation_(1,729,203,300,000|294|247|242.3333|2,117.6667|1,518.8333|19.0283|21.3205|-86.1168|-80.643|-47.7581|-66.2695|0.0043|0.0035|0.0038|0.0001|-0.0001);Buy to Open;1;50.0;$5,888.25;10/17/24, 6:20 PM;;$400.00;0.0;
9;_participation_;Sell to Close;-1;-50.0;$5,890.75;10/17/24, 6:25 PM;$87.50;$387.50;-50.0;
10;_participation_(1,729,203,600,000|334|314|276|2,080.5|1,465.9167|6.3694|21.0145|-83.9462|-77.2156|-86.7647|-57.5521|0.0007|0.0024|0.0024|0.0001|-0);Buy to Open;1;50.0;$5,889.00;10/17/24, 6:25 PM;;$487.50;0.0;
11;_participation_;Sell to Close;-1;-50.0;$5,891.75;10/17/24, 6:30 PM;$75.00;$462.50;-50.0;
12;_participation_(1,729,203,900,000|423|378.5|350.3333|407.6667|1,398.3333|11.7569|20.7422|3.7612|-69.7497|37.1371|26.897|0.0024|0.0017|0.0024|0.0014|0.0002);Buy to Open;1;50.0;$5,890.25;10/17/24, 6:30 PM;;$562.50;0.0;
13;_participation_;Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:35 PM;$125.00;$575.00;-50.0;
14;_participation_(1,729,204,200,000|782|602.5|513|377.6667|1,385.4167|29.7925|52.4366|107.0609|-43.5549|-26.3556|53.5453|0.0016|0.0019|0.0016|0.0023|0.0002);Buy to Open;1;50.0;$5,890.75;10/17/24, 6:35 PM;;$687.50;0.0;
15;_participation_;Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:40 PM;$50.00;$712.50;-50.0;
16;_participation_(1,729,204,500,000|233|507.5|479.3333|377.6667|1,353|-54.0887|-51.3908|-38.3054|-82.779|10.5471|22.6812|0.0032|0.002|0.0021|0.0022|0.0003);Buy to Open;1;50.0;$5,892.25;10/17/24, 6:40 PM;;$737.50;0.0;
17;_participation_;Sell to Close;-1;-50.0;$5,893.00;10/17/24, 6:45 PM;$25.00;$737.50;-50.0;
18;_participation_(1,729,204,800,000|155|194|390|370.1667|1,297.4167|-20.1031|-60.2564|-58.127|-88.0532|2.6469|9.0605|-0.0016|0.0013|0.0015|0.0019|0.0003);Buy to Open;1;50.0;$5,892.50;10/17/24, 6:45 PM;;$762.50;0.0;
19;_participation_;Sell to Close;-1;-50.0;$5,893.25;10/17/24, 6:50 PM;$25.00;$787.50;-50.0;
