FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1717365600000,5296,9398,6922.3333,4965.6667,6869.3333,-43.6476,-23.494,6.6523,-22.9037,-131.9903,-115.2876,-0.0013,-0.0004,-0.0004,-0.0002,-0.0001
1717365900000,1365,3330.5,6720.3333,4865.3333,5545,-59.0152,-79.6885,-71.9444,-75.3832,-56.0718,-14.3686,-0.0004,-0.0011,-0.0004,-0.0003,-0
1717366200000,858,1111.5,2506.3333,4499.6667,4387.1667,-22.807,-65.7667,-80.9319,-80.443,-40.3625,-13.89,0.0029,0.0009,-0.0006,-0.0004,-0.0001
1717366500000,2080,1469,1434.3333,4178.3333,4056.25,41.5929,45.0151,-50.2194,-48.7211,-27.473,-2.2214,0.0023,0.0025,0.0016,-0,0
1717366800000,570,1325,1169.3333,3944.8333,3609.8333,-56.9811,-51.2543,-85.5507,-84.2098,-15.3434,-38.7269,0.0004,0.0019,0.0021,-0,0
1717367100000,1287,928.5,1312.3333,1909.3333,3344.4167,38.6107,-1.9304,-32.5943,-61.518,1.7591,29.511,-0.0008,-0.0004,0.001,-0.0001,-0
1717367400000,699,993,852,1143.1667,3054.4167,-29.6073,-17.9577,-38.8541,-77.1151,-32.3946,-10.7695,-0.0007,-0.0008,-0.0005,0.0008,-0
1717367700000,556,627.5,847.3333,1008.3333,2936.8333,-11.3944,-34.3824,-44.8595,-81.068,10.9058,-57.3595,-0.0022,-0.0014,-0.0011,0.0008,-0.0001
1717368000000,638,597,631,971.6667,2735.6667,6.8677,1.1094,-34.3396,-76.6784,18.7409,-11.6402,-0.002,-0.0021,-0.0016,0.0002,-0.0003
1717368300000,501,569.5,565,708.5,2443.4167,-12.0281,-11.3274,-29.2872,-79.4959,16.5696,21.9253,0.002,-0.0002,-0.0009,-0.0006,-0.0001
1717368600000,598,549.5,579,713.1667,2329,8.8262,3.2815,-16.1486,-74.3237,26.2427,7.4877,-0.0008,0.0005,-0.0004,-0.0008,-0.0002
