Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_participation_;Sell to Close;-1;-50.0;$5,754.00;10/7/24, 6:05 PM;$287.50;$275.00;-50.0;
2;_participation_(1,728,338,400,000|1,110|1,142.5|966.6667|1,232.1667|1,802.75|-2.8446|14.8276|-9.9148|-38.4274|-54.4931|-78.0513|-0.0011|-0.0013|-0.001|-0.0002|0);Buy to Open;1;50.0;$5,748.25;10/7/24, 6:05 PM;;$287.50;0.0;
3;_participation_;Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:10 PM;$62.50;$300.00;-50.0;
4;_participation_(1,728,338,700,000|346|728|877|1,016|1,399.25|-52.4725|-60.5473|-65.9449|-75.2725|-24.0331|-24.2917|-0.0007|-0.001|-0.0012|-0.0006|0);Buy to Open;1;50.0;$5,748.00;10/7/24, 6:10 PM;;$350.00;0.0;
5;_participation_;Sell to Close;-1;-50.0;$5,749.75;10/7/24, 6:15 PM;$62.50;$400.00;-50.0;
6;_participation_(1,728,339,000,000|236|291|564|775|1,146.75|-18.9003|-58.156|-69.5484|-79.4201|-35.1564|-38.7792|0.0021|0.0004|-0.0006|-0.0006|0);Buy to Open;1;50.0;$5,748.50;10/7/24, 6:15 PM;;$412.50;0.0;
7;_participation_;Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:20 PM;$25.00;$512.50;-50.0;
8;_participation_(1,728,339,300,000|179|207.5|253.6667|610.1667|1,004.5|-13.7349|-29.435|-70.6638|-82.1802|-19.5187|-15.603|-0.0014|0.0006|0|-0.0008|-0);Buy to Open;1;50.0;$5,748.75;10/7/24, 6:20 PM;;$437.50;0.0;
9;_participation_;Sell to Close;-1;-50.0;$5,748.75;10/7/24, 6:25 PM;$112.50;$512.50;-50.0;
10;_participation_(1,728,339,600,000|549|364|321.3333|599.1667|948.8333|50.8242|70.8506|-8.3727|-42.1395|-10.5574|-26.7938|-0.0027|-0.0024|-0.0013|-0.0013|-0.0002);Buy to Open;1;50.0;$5,746.50;10/7/24, 6:25 PM;;$550.00;0.0;
11;_participation_;Sell to Close;-1;-50.0;$5,747.50;10/7/24, 6:30 PM;$112.50;$1,275.00;-50.0;
12;_participation_(1,728,339,900,000|400|474.5|376|470|883.5833|-15.7007|6.383|-14.8936|-54.7298|-20.9373|-2.0445|0|-0.0016|-0.0016|-0.001|-0.0002);Buy to Open;1;50.0;$5,745.25;10/7/24, 6:30 PM;;$662.50;0.0;
13;_participation_;Sell to Close;-1;-50.0;$5,748.25;10/7/24, 6:35 PM;$1,150.00;$1,025.00;-50.0;
14;_participation_(1,728,340,200,000|7,617|4,008.5|2,855.3333|1,554.5|1,393.3333|90.0212|166.764|389.9968|446.6746|67.5124|28.4897|-0.0019|-0.0018|-0.0018|-0.0017|-0.001);Buy to Open;1;50.0;$5,725.25;10/7/24, 6:35 PM;;$1,812.50;0.0;
15;_participation_;Sell to Close;-1;-50.0;$5,747.25;10/7/24, 6:40 PM;$912.50;$2,075.00;-50.0;
16;_participation_(1,728,340,500,000|6,103|6,860|4,706.6667|2,514|1,765|-11.035|29.6671|142.7605|245.779|48.9012|63.923|0.0013|-0.0005|-0.0004|-0.0005|-0.0005);Buy to Open;1;50.0;$5,729.00;10/7/24, 6:40 PM;;$2,725.00;0.0;
17;_participation_;Sell to Close;-1;-50.0;$5,743.75;10/7/24, 6:45 PM;$125.00;$2,825.00;-50.0;
18;_participation_(1,728,340,800,000|793|3,448|4,837.6667|2,606.8333|1,690.9167|-77.0012|-83.6078|-69.58|-53.1024|-11.6658|4.2692|0.0013|0.0013|-0.0004|-0.0004|-0.0005);Buy to Open;1;50.0;$5,741.25;10/7/24, 6:45 PM;;$2,850.00;0.0;
19;_participation_;Sell to Close;-1;-50.0;$5,742.00;10/7/24, 6:50 PM;$175.00;$2,987.50;-50.0;
20;_participation_(1,728,341,100,000|1,447|1,120|2,781|2,818.1667|1,714.1667|29.1964|-47.9684|-48.6546|-15.5858|0.2706|6.4908|-0.0002|0.0003|0.001|-0.0004|-0.0005);Buy to Open;1;50.0;$5,738.50;10/7/24, 6:50 PM;;$3,025.00;0.0;
21;_participation_;Sell to Close;-1;-50.0;$5,742.75;10/7/24, 6:55 PM;$237.50;$3,137.50;-50.0;
22;_participation_(1,728,341,400,000|2,203|1,825|1,481|3,093.8333|1,846.5|20.7123|48.7508|-28.7938|19.3068|25.9073|38.2089|-0.0011|-0.0008|-0.0004|-0.0004|-0.0006);Buy to Open;1;50.0;$5,738.00;10/7/24, 6:55 PM;;$3,262.50;0.0;
23;_participation_;Sell to Close;-1;-50.0;$5,741.50;10/7/24, 7:00 PM;$312.50;$3,250.00;-50.0;
24;_participation_(1,728,341,700,000|2,743|2,473|2,131|3,484.3333|1,977.1667|10.9179|28.7189|-21.2762|38.7339|-14.1939|22.3931|0.0005|-0.0003|-0.0002|-0.0003|-0.0004);Buy to Open;1;50.0;$5,735.25;10/7/24, 7:00 PM;;$3,575.00;0.0;
25;_participation_;Sell to Close;-1;-50.0;$5,743.75;10/7/24, 7:05 PM;$250.00;$3,387.50;-50.0;
26;_participation_(1,728,342,000,000|1,190|1,966.5|2,045.3333|2,413.1667|1,983.8333|-39.4864|-41.8188|-50.6872|-40.0151|-34.0767|-3.6013|0.0011|0.0006|0|0.0006|-0.0003);Buy to Open;1;50.0;$5,738.75;10/7/24, 7:05 PM;;$3,825.00;0.0;
27;_participation_;Sell to Close;-1;-50.0;$5,749.75;10/7/24, 7:10 PM;$425.00;$4,137.50;-50.0;
28;_participation_(1,728,342,300,000|3,736|2,463|2,556.3333|2,018.6667|2,266.3333|51.6849|46.1468|85.0727|64.8478|-3.5313|-35.0712|0.0015|0.0014|0.0011|0.0005|-0);Buy to Open;1;50.0;$5,741.25;10/7/24, 7:10 PM;;$4,250.00;0.0;
29;_participation_;Sell to Close;-1;-50.0;$5,747.50;10/7/24, 7:15 PM;$212.50;$4,300.00;-50.0;
