FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1706050800000,1409,7340,8091,5879.8333,4533.75,-80.8038,-82.5856,-76.0367,-68.922,N/A,N/A,0.0011,0.0001,0.0001,0.0001,0.0001
1706051100000,1174,1291.5,5284.6667,5902.5,4089.1667,-9.0979,-77.7848,-80.1101,-71.29,N/A,N/A,0.0013,0.0012,0.0002,0.0001,0.0002
1706051400000,986,1080,1189.6667,5743.1667,3701.1667,-8.7037,-17.1196,-82.8318,-73.3598,N/A,N/A,0.0008,0.001,0.0011,0.0001,0.0001
1706051700000,540,763,900,4495.5,3528,-29.2267,-40,-87.988,-84.6939,N/A,N/A,-0.0014,0,0.0006,0.0001,0.0001
1706052000000,266,403,597.3333,2941,3405.5,-33.995,-55.4688,-90.9555,-92.1891,N/A,N/A,0.0038,0.0003,0.0006,0.0002,0.0002
1706052300000,373,319.5,393,791.3333,3350.6667,16.7449,-5.0891,-52.8644,-88.8679,N/A,N/A,-0.0013,0.0008,-0.0002,0.0007,0.0001
1706052600000,534,453.5,391,645.5,3262.6667,17.7508,36.5729,-17.2734,-83.633,N/A,N/A,0,-0.0006,0.0004,0.0005,0.0001
1706052900000,421,477.5,442.6667,520,3211.25,-11.8325,-4.8946,-19.0385,-86.8898,N/A,N/A,0.0006,0.0003,-0.0002,0.0002,0.0001
1706053200000,405,413,453.3333,423.1667,3083.1667,-1.937,-10.6618,-4.293,-86.8642,N/A,N/A,0,0.0003,0.0002,0,0.0001
1706053500000,397,401,407.6667,399.3333,2447.4167,-0.9975,-2.6165,-0.5843,-83.7788,N/A,N/A,-0.0013,-0.0006,-0.0002,0.0001,0.0001
1706053800000,186,291.5,329.3333,386,1663.5,-36.1921,-43.5223,-51.8135,-88.8188,N/A,N/A,0.0013,-0.0004,-0.0003,-0.0002,0.0002
1706054100000,263,224.5,282,367.6667,579.5,17.1492,-6.7376,-28.4678,-54.616,N/A,N/A,0,0.0006,-0.0003,0,0.0005
1706054400000,353,308,267.3333,337.5,491.5,14.6104,32.0449,4.5926,-28.179,N/A,N/A,-0.0007,-0.0004,0,-0.0001,0.0003
1706054700000,351,352,322.3333,325.8333,422.9167,-0.2841,8.8935,7.7238,-17.0049,N/A,N/A,-0.0007,-0.0007,-0.0005,-0.0004,0
1706055000000,227,289,310.3333,296.1667,359.6667,-21.4533,-26.8528,-23.354,-36.886,N/A,N/A,0,-0.0004,-0.0005,-0.0004,-0.0002
1706055300000,585,406,387.6667,327.5,363.4167,44.0887,50.9028,78.626,60.9723,N/A,N/A,0.0009,0.0006,0.0002,0.0001,0.0001
1706055600000,380,482.5,397.3333,359.8333,372.9167,-21.2435,-4.3624,5.6044,1.8994,N/A,N/A,-0.0007,0.0003,0.0002,-0.0001,-0.0002
1706055900000,666,523,543.6667,427,397.3333,27.3423,22.5015,55.9719,67.6174,N/A,N/A,-0.0011,-0.001,-0.0003,-0.0004,-0.0002
1706056200000,492,579,512.6667,450.1667,393.8333,-15.0259,-4.0312,9.2929,24.9259,N/A,N/A,-0.0005,-0.0009,-0.0008,-0.0004,-0.0003
1706056500000,567,529.5,575,486.1667,406,7.0822,-1.3913,16.6267,39.6552,N/A,N/A,0.0004,0,-0.0004,-0.0002,-0.0003
1706056800000,199,383,419.3333,481.5,388.8333,-48.0418,-52.5437,-58.6708,-48.8213,N/A,N/A,0.0038,0.0013,0.0006,0.0001,-0.0001
1706057100000,162,180.5,309.3333,411,369.25,-10.2493,-47.6293,-60.5839,-56.1273,N/A,N/A,0.0015,0.0028,0.0013,0,0.0001
1706057400000,617,389.5,326,450.5,405.1667,58.4082,89.2638,36.9589,52.283,N/A,N/A,0.0016,0.0016,0.002,0.0005,0.0002
1706057700000,658,637.5,479,449.1667,438.0833,3.2157,37.3695,46.4935,50.1997,N/A,N/A,0,0.0008,0.0009,0.0007,0.0002
1706058000000,1061,859.5,778.6667,544,497.0833,23.4439,36.2586,95.0368,113.4451,N/A,N/A,-0.0019,-0.0012,-0.0004,0.0001,-0.0001
1706058300000,332,696.5,683.6667,504.8333,495.5,-52.3331,-51.4383,-34.2357,-32.997,N/A,N/A,-0.0008,-0.0016,-0.0011,-0.0001,-0.0001
