FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1728277200000,3,4,36,38.8333,217.4167,-25,-91.6667,-92.2747,-98.6202,-55.0158,-76.3868,0.0033,0.02,0.0001,0.0005,0
1728277500000,21,12,9.6667,23.1667,193.5833,75,117.2414,-9.3525,-89.152,-66.0078,-95.1932,-0.0033,-0.0025,0.0031,0.0007,0.0001
1728277800000,1,11,8.3333,22.5,151.9167,-90.9091,-88,-95.5556,-99.3417,-57.1208,-119.2197,-0.11,-0.0082,-0.0068,-0.0002,0
1728278100000,23,12,15,25.5,144.1667,91.6667,53.3333,-9.8039,-84.0462,-46.2991,-5.6373,-0.0013,-0.0058,-0.0047,-0.0013,0
1728278400000,131,77,51.6667,30.6667,117.5,70.1299,153.5484,327.1739,11.4894,276.6772,255.1739,-0.0004,-0.0005,-0.0012,-0.0005,-0
1728278700000,444,287.5,199.3333,103.8333,154.3333,54.4348,122.7425,327.6083,187.689,285.0056,317.8941,0,-0.0001,-0.0001,-0.0004,-0.0001
1728279000000,254,349,276.3333,145.6667,92.25,-27.2206,-8.082,74.3707,175.3388,-28.8457,4.864,-0.0012,-0.0004,-0.0004,-0.0006,-0.0004
1728279300000,56,155,251.3333,151.5,87.3333,-63.871,-77.7188,-63.0363,-35.8779,-51.7625,-61.703,0.002,-0.0006,-0.0003,-0.0004,-0.0003
1728279600000,50,53,120,159.6667,91.0833,-5.6604,-58.3333,-68.6848,-45.1052,-23.4612,-43.021,-0.001,0.0006,-0.0007,-0.0003,-0.0003
1728279900000,34,42,46.6667,161.5,93.5,-19.0476,-27.1429,-78.9474,-63.6364,-28.2747,-75.6416,0.0024,0.0004,0.001,-0.0002,-0.0004
1728280200000,100,67,61.3333,156.3333,93.5,49.2537,63.0435,-36.0341,6.9519,20.8286,-58.4341,-0.0003,0.0004,0,-0.0002,-0.0003
1728280500000,22,61,52,86,94.9167,-63.9344,-57.6923,-74.4186,-76.8218,-76.9799,-89.9742,-0.0018,-0.0006,0.0001,-0.0004,-0.0004
1728280800000,116,69,79.3333,63,104.3333,68.1159,46.2185,84.127,11.1821,9.2235,-78.373,-0.0015,-0.0015,-0.001,-0.0003,-0.0005
1728281100000,2,59,46.6667,54,102.75,-96.6102,-95.7143,-96.2963,-98.0535,-133.8194,-79.1088,0.05,-0.0006,-0.0008,-0.0003,-0.0004
1728281400000,1,1.5,39.6667,45.8333,102.75,-33.3333,-97.479,-97.8182,-99.0268,-134.3587,-102.2265,0.22,0.1067,0.0013,0.0006,-0.0001
1728281700000,6,3.5,3,41.1667,101.3333,71.4286,100,-85.4251,-94.0789,-85.9192,-73.0068,-0.025,0.01,0.0189,-0.0003,-0.0002
1728282600000,1775,890.5,594,320.3333,238.3333,99.3262,198.8215,454.1103,644.7552,373.3127,401.6423,-0.0001,-0.0002,-0.0001,-0.0001,-0.0002
1728282900000,2,888.5,594.3333,317,201.5,-99.7749,-99.6635,-99.3691,-99.0074,-88.3368,-69.0119,0.06,-0.0001,-0.0002,-0.0001,-0.0001
1728284100000,100,51,625.6667,314.3333,188.6667,96.0784,-84.017,-68.1866,-46.9965,-64.2463,-145.9644,0.0038,0.0049,0.0001,0.0002,0.0001
1728284400000,114,107,72,333,193.5,6.5421,58.3333,-65.7658,-41.0853,-155.4161,-177.8412,-0.0029,0.0002,0.0008,0,-0
1728285000000,23,68.5,79,336.6667,191.25,-66.4234,-70.8861,-93.1683,-87.9739,-96.084,-148.2662,-0.0065,-0.0035,-0.0004,-0.0002,-0.0001
1728285300000,981,502,372.6667,499.1667,270.1667,95.4183,163.2379,96.5275,263.1092,68.3643,63.309,-0.0004,-0.0005,-0.0008,-0.0002,-0.0002
1728285600000,518,749.5,507.3333,289.6667,305,-30.8873,2.1025,78.8262,69.8361,21.074,30.1498,-0.0005,-0.0005,-0.0005,-0.0004,-0.0003
1728285900000,68,293,522.3333,300.6667,308.8333,-76.7918,-86.9815,-77.3836,-77.9817,-100.0817,-133.6372,-0.0018,-0.0007,-0.0005,-0.0005,-0.0003
1728286200000,302,185,296,334.3333,324.3333,63.2432,2.027,-9.671,-6.8859,-17.7378,1.7991,0.0004,-0,-0.0003,-0.0006,-0.0002
1728286500000,1051,676.5,473.6667,490.5,411.75,55.3585,121.886,114.2712,155.252,81.9155,133.5463,-0.0005,-0.0003,-0.0004,-0.0005,-0.0003
1728286800000,48,549.5,467,494.6667,415.6667,-91.2648,-89.7216,-90.2965,-88.4523,-96.2227,-101.9606,0,-0.0005,-0.0003,-0.0004,-0.0003
1728287100000,151,99.5,416.6667,356.3333,427.75,51.7588,-63.76,-57.6239,-64.699,-26.0072,-41.0861,0.003,0.0023,-0,-0.0002,-0.0002
1728287400000,110,130.5,103,288.3333,289,-15.7088,6.7961,-61.8497,-61.9377,-33.0254,-18.7346,-0.0024,0.0007,0.0006,-0.0002,-0.0003
1728287700000,39,74.5,100,283.5,292.0833,-47.651,-61,-86.2434,-86.6476,-67.8502,-62.2885,-0.0051,-0.0031,-0,-0.0002,-0.0004
1728288000000,19699,9869,6616,3516.3333,1925.3333,99.6048,197.7479,460.2142,923.1475,448.3961,362.2795,0,0,0,-0,-0.0001
1728288300000,2719,11209,7485.6667,3794.3333,2142.4167,-75.7427,-63.6772,-28.3405,26.9128,-10.2496,-3.3816,0,0,0,0,-0
1728288600000,615,1667,7677.6667,3888.8333,2191.75,-63.1074,-91.9898,-84.1855,-71.9402,-50.0333,-61.0169,-0.0001,-0,0,0,-0
1728288900000,1359,987,1564.3333,4090.1667,2223.25,37.69,-13.1259,-66.774,-38.8733,-49.9657,-36.4101,-0.0001,-0.0001,-0,-0,-0
1728289200000,1015,1187,996.3333,4241,2264.6667,-14.4903,1.8735,-76.067,-55.181,-31.4578,-31.7922,0.0001,-0,-0.0001,0,-0
1728289500000,930,972.5,1101.3333,4389.5,2336.5,-4.3702,-15.5569,-78.8131,-60.1969,-47.3211,-28.6139,0.0001,0.0001,0,0,0
1728289800000,4322,2626,2089,1826.6667,2671.5,64.5849,106.8933,136.6058,61.7818,153.9344,153.2725,0.0001,0.0001,0.0001,0,0
1728290100000,600,2461,1950.6667,1473.5,2633.9167,-75.6197,-69.2413,-59.2806,-77.2202,-47.007,-85.7797,-0.0008,-0,-0,-0,0
1728290400000,1402,1001,2108,1604.6667,2746.75,40.0599,-33.4915,-12.6298,-48.9579,-44.7258,-11.7124,-0,-0.0002,-0,-0,0
1728290700000,622,1012,874.6667,1481.8333,2786,-38.5375,-28.8872,-58.025,-77.6741,-90.9568,-36.0578,-0.0005,-0.0002,-0.0003,-0,-0
1728291000000,493,557.5,839,1394.8333,2817.9167,-11.5695,-41.2396,-64.6553,-82.5048,-42.9823,-11.4179,0.0002,-0.0002,-0.0001,-0,-0
1728291300000,150,321.5,421.6667,1264.8333,2827.1667,-53.3437,-64.4269,-88.1407,-94.6943,-128.3229,-86.4898,-0.0016,-0.0002,-0.0004,-0.0001,-0
1728291600000,12003,6076.5,4215.3333,2545,2185.8333,97.5315,184.7462,371.6306,449.127,232.2206,299.854,-0,-0.0001,-0.0001,-0.0001,-0
