Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/20/24, 10:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_trend_(SellClose);Sell to Close;-1;-50.0;$5,806.75;10/6/24, 6:05 PM;$362.50;$12.50;-50.0;
2;_trend_(1,728,252,000,000|0.1596|0.0776|0.0561|0.0201|0.0093|0.1639|0.082|0.0719|0.0216|-0.0126|83.6735|9.4378|-4.5481|-10.2653|-0.0259|0.0248);Buy to Open;1;50.0;$5,799.50;10/6/24, 6:05 PM;;$362.50;0.0;
3;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:10 PM;$137.50;$362.50;-50.0;
4;_trend_(1,728,252,300,000|0.0301|0.0949|0.0618|0.0252|0.0093|-0.1295|0.0906|0.0733|0.0316|-0.0126|92.3077|11.2434|1.916|6.4641|-0.0208|0.0057);Buy to Open;1;50.0;$5,804.75;10/6/24, 6:10 PM;;$500.00;0.0;
5;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:15 PM;$125.00;$512.50;-50.0;
6;_trend_(1,728,252,600,000|0.0172|0.0237|0.069|0.0323|0.0108|-0.0129|-0.054|0.0733|0.0431|-0.0116|100|12.7787|2.2063|0.2902|-0.0219|0.0223);Buy to Open;1;50.0;$5,805.00;10/6/24, 6:15 PM;;$625.00;0.0;
7;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:20 PM;$87.50;$737.50;-50.0;
8;_trend_(1,728,252,900,000|-0.0043|0.0065|0.0144|0.0352|0.0122|-0.0215|-0.0884|-0.0417|0.046|-0.0065|98.0769|11.307|3.1101|0.9038|-0.0027|-0.0056);Buy to Open;1;50.0;$5,805.75;10/6/24, 6:20 PM;;$712.50;0.0;
9;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 6:25 PM;$125.00;$725.00;-50.0;
10;_trend_(1,728,253,200,000|-0.0344|-0.0194|-0.0072|0.0273|0.009|-0.0301|-0.0431|-0.069|0.0367|-0.0029|81.1321|5.7617|0.74|-2.3701|0.0063|-0.0075);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:25 PM;;$837.50;0.0;
11;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:30 PM;$112.50;$1,050.00;-50.0;
12;_trend_(1,728,253,500,000|0.0388|0.0022|0|0.0345|0.0122|0.0732|-0.0043|-0.069|0.0446|0.0011|98.1132|9.9991|1.8141|1.0742|-0.0224|0.0205);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:30 PM;;$950.00;0.0;
13;_trend_(SellClose);Sell to Close;-1;-50.0;$5,808.00;10/6/24, 6:35 PM;$237.50;$1,112.50;-50.0;
14;_trend_(1,728,253,800,000|-0.0732|-0.0172|-0.023|-0.0043|0.0079|-0.1119|0.0021|-0.0373|-0.0244|0.0061|64.8148|-0.9434|-7.3083|-9.1225|0.038|-0.0219);Buy to Open;1;50.0;$5,803.25;10/6/24, 6:35 PM;;$1,187.50;0.0;
15;_trend_(SellClose);Sell to Close;-1;-50.0;$5,805.50;10/6/24, 6:40 PM;$150.00;$1,212.50;-50.0;
16;_trend_(1,728,254,100,000|0.0258|-0.0237|-0.0029|-0.005|0.0101|0.099|-0.0258|0.0043|-0.0302|0.0072|75.9259|2.0198|0.3858|7.6942|0.0046|0.031);Buy to Open;1;50.0;$5,802.50;10/6/24, 6:40 PM;;$1,337.50;0.0;
17;_trend_(SellClose);Sell to Close;-1;-50.0;$5,805.75;10/6/24, 6:45 PM;$62.50;$1,412.50;-50.0;
18;_trend_(1,728,254,400,000|0.0043|0.0151|-0.0143|-0.0072|0.0126|-0.0215|0.0323|-0.0143|-0.0395|0.0162|77.7778|1.712|3.9286|3.5428|-0.0113|0.0006);Buy to Open;1;50.0;$5,804.50;10/6/24, 6:45 PM;;$1,400.00;0.0;
19;_trend_(SellClose);Sell to Close;-1;-50.0;$5,805.25;10/6/24, 6:50 PM;$62.50;$1,487.50;-50.0;
20;_trend_(1,728,254,700,000|-0.0129|-0.0043|0.0057|-0.0086|0.0133|-0.0172|0.0194|0.0287|-0.0438|0.0158|71.6981|-1.1092|3.9947|0.0661|0.0176|-0.013);Buy to Open;1;50.0;$5,804.00;10/6/24, 6:50 PM;;$1,462.50;0.0;
21;_trend_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 6:55 PM;$87.50;$1,450.00;-50.0;
22;_trend_(1,728,255,000,000|-0.0129|-0.0129|-0.0072|-0.005|0.0111|-0|-0.028|-0.0043|-0.0323|0.0155|66.0377|-3.8261|2.1992|-1.7956|0.0059|-0.0081);Buy to Open;1;50.0;$5,802.75;10/6/24, 6:55 PM;;$1,550.00;0.0;
23;_trend_(SellClose);Sell to Close;-1;-50.0;$5,805.00;10/6/24, 7:00 PM;$87.50;$1,425.00;-50.0;
24;_trend_(1,728,255,300,000|0.0215|0.0043|-0.0014|-0.0079|0.0133|0.0345|0.0086|0.0129|-0.0424|0.0194|61.7647|-2.1065|1.9696|-0.2295|-0.0005|0.013);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:00 PM;;$1,637.50;0.0;
25;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:05 PM;$150.00;$1,700.00;-50.0;
26;_trend_(1,728,255,600,000|0.0474|0.0345|0.0187|0.0122|0.0039|0.0258|0.0474|0.0129|0.0165|-0.0054|90.9091|4.1134|-1.4977|-3.4673|-0.0193|0.0292);Buy to Open;1;50.0;$5,804.75;10/6/24, 7:05 PM;;$1,787.50;0.0;
27;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:10 PM;$75.00;$1,825.00;-50.0;
28;_trend_(1,728,255,900,000|-0.0172|0.0151|0.0172|0.005|0|-0.0646|0.0108|0.0244|0.01|-0.0093|72.7273|1.8519|1.7185|3.2162|0.0149|-0.0186);Buy to Open;1;50.0;$5,806.25;10/6/24, 7:10 PM;;$1,862.50;0.0;
29;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.50;10/6/24, 7:15 PM;$62.50;$1,925.00;-50.0;
30;_trend_(1,728,256,200,000|0.0086|-0.0043|0.0129|0.0057|-0.0007|0.0258|-0.0388|0.0144|0.0129|-0.0115|81.8182|3.2326|2.9662|1.2477|-0.0063|0.0173);Buy to Open;1;50.0;$5,806.25;10/6/24, 7:15 PM;;$1,925.00;0.0;
31;_trend_(SellClose);Sell to Close;-1;-50.0;$5,807.00;10/6/24, 7:20 PM;$75.00;$2,087.50;-50.0;
32;_trend_(1,728,256,500,000|-0.0129|-0.0022|-0.0072|0.0057|-0.0014|-0.0215|-0.0172|-0.0258|0.0144|-0.0137|68.1818|1.755|1.9371|-1.0291|-0.0011|-0.0056);Buy to Open;1;50.0;$5,805.50;10/6/24, 7:20 PM;;$2,000.00;0.0;
33;_trend_(SellClose);Sell to Close;-1;-50.0;$5,806.25;10/6/24, 7:25 PM;$137.50;$2,100.00;-50.0;
34;_trend_(1,728,256,800,000|-0.0431|-0.028|-0.0158|0.0007|-0.0022|-0.0301|-0.0237|-0.033|0.0057|-0.0111|22.7273|-3.7974|-2.8711|-4.8082|0.0243|-0.0298);Buy to Open;1;50.0;$5,803.50;10/6/24, 7:25 PM;;$2,137.50;0.0;
35;_trend_(SellClose);Sell to Close;-1;-50.0;$5,804.25;10/6/24, 7:30 PM;$62.50;$2,125.00;-50.0;
36;_trend_(1,728,257,100,000|0.0086|-0.0172|-0.0158|-0.0014|-0.0047|0.0517|-0.0151|-0.0287|0.0065|-0.0169|31.8182|-1.9231|3.9921|6.8632|-0.018|0.0124);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:30 PM;;$2,200.00;0.0;
37;_trend_(SellClose);Sell to Close;-1;-50.0;$5,804.75;10/6/24, 7:35 PM;$75.00;$2,225.00;-50.0;
