Strategy report
Symbol: /ES:XCME
Work Time: 10/17/24, 6:05 PM - 10/22/24, 8:55 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_trend_(SellClose);Sell to Close;-1;-50.0;$5,889.25;10/17/24, 6:05 PM;$150.00;$62.50;-50.0;
2;_trend_(1,729,202,400,000|-0.0085|-0.017|-0.0099|-0.0042|-0.0014|0.017|-0.0276|-0.0113|-0.0057|0.0035|12.5|-5.4057|2.7235|-3.623|0.0039|-0.0025);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:05 PM;;$150.00;0.0;
3;_trend_(SellClose);Sell to Close;-1;-50.0;$5,888.25;10/17/24, 6:10 PM;$100.00;$137.50;-50.0;
4;_trend_(1,729,202,700,000|0.017|0.0042|-0.0057|0.0007|-0.0035|0.0255|0.0149|-0.0127|0.0085|0.0018|30.4348|-0.5806|6.9131|4.1896|0.0106|-0.001);Buy to Open;1;50.0;$5,886.25;10/17/24, 6:10 PM;;$250.00;0.0;
5;_trend_(SellClose);Sell to Close;-1;-50.0;$5,889.00;10/17/24, 6:15 PM;$62.50;$212.50;-50.0;
6;_trend_(1,729,203,000,000|0.0085|0.0127|0.0057|0.0021|0.0007|-0.0085|0.0297|0.0071|0.0028|0.0117|45|1.0896|9.0445|2.1314|-0.0154|-0.0097);Buy to Open;1;50.0;$5,887.75;10/17/24, 6:15 PM;;$312.50;0.0;
7;_trend_(SellClose);Sell to Close;-1;-50.0;$5,890.00;10/17/24, 6:20 PM;$87.50;$312.50;-50.0;
8;_trend_(1,729,203,300,000|0.0212|0.0149|0.0156|0.0028|-0.0021|0.0127|0.0106|0.0255|0.0099|0.0011|70|6.2099|4.6516|-4.3928|-0.0074|0.0205);Buy to Open;1;50.0;$5,888.25;10/17/24, 6:20 PM;;$400.00;0.0;
9;_trend_(SellClose);Sell to Close;-1;-50.0;$5,890.75;10/17/24, 6:25 PM;$87.50;$387.50;-50.0;
10;_trend_(1,729,203,600,000|0.0042|0.0127|0.0113|0.0028|-0.0004|-0.017|-0|0.017|0.0064|0.0025|83.3333|7.0759|3.5795|-1.0721|-0.0042|0.0227);Buy to Open;1;50.0;$5,889.00;10/17/24, 6:25 PM;;$487.50;0.0;
11;_trend_(SellClose);Sell to Close;-1;-50.0;$5,891.75;10/17/24, 6:30 PM;$75.00;$462.50;-50.0;
