FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff
1716933600000,-0.0657,-0.0329,-0.025,-0.0133,-0.0074,-0.0657,-0.0282,-0.0235,-0.0117,-0.0349,0,-9.8039,-3.3052,-10.4349,-0.0165,0.0011
1716933900000,0.0094,-0.0282,-0.0188,-0.0094,-0.0047,0.0751,-0.0235,-0.0188,-0.0094,-0.0247,15.7895,-7.598,6.1978,9.503,0.0009,0.0091
1716934200000,0,0.0047,-0.0188,-0.011,-0.002,-0.0094,0.0376,-0.0157,-0.018,-0.0224,15.7895,-7.2917,6.8743,0.6765,-0.0051,-0.0092
1716934500000,-0.0047,-0.0023,0.0016,-0.0117,-0.0051,-0.0047,0.0258,0.0266,-0.0133,-0.0263,10.5263,-7.2304,5.803,-1.0714,0.0047,0.0153
1716934800000,-0.0094,-0.007,-0.0047,-0.0117,-0.007,-0.0047,-0.0117,0.0141,-0.0094,-0.0267,0,-7.598,5.803,0,0.0094,-0.0012
1716935100000,0.0094,0,-0.0016,-0.0102,-0.0063,0.0188,0.0023,0.0172,-0.0078,-0.0302,22.7273,-5.1471,3.6677,-2.1352,-0.0068,-0.0041
1716935400000,-0.0047,0.0023,-0.0016,0,-0.0067,-0.0141,0.0094,-0.0031,0.0133,-0.0223,18.1818,-4.8407,6.6366,2.9689,0.0047,-0.0085
1716935700000,0.0094,0.0023,0.0047,0,-0.0047,0.0141,0.0023,0.0094,0.0094,-0.0204,27.2727,-2.6348,6.3824,-0.2543,-0.0043,-0.0015
1716936000000,0,0.0047,0.0016,0,-0.0055,-0.0094,0.0023,0.0031,0.011,-0.0247,27.2727,-1.777,5.0855,-1.2969,0.0026,-0.0026
1716936300000,0.0094,0.0047,0.0063,0.0023,-0.0047,0.0094,0.0023,0.0078,0.0141,-0.0259,40,0.4289,5.9464,0.8609,-0.0017,-0.0002
1716936600000,0,0.0047,0.0031,0.0039,-0.0039,-0.0094,-0,-0.0016,0.0157,-0.0145,42.1053,1.0417,6.7347,0.7883,-0.0026,0.0053
1716936900000,0.0047,0.0023,0.0047,0.0031,-0.0035,0.0047,-0.0023,0.0031,0.0133,-0.0012,50,2.3284,5.1903,-1.5444,-0.0047,-0.0073
1716937200000,-0.0047,0,0,0.0031,0.0016,-0.0094,-0.0047,-0.0063,0.0031,0.009,80,1.348,3.6373,-1.553,0.015,0.0021
1716937500000,0,-0.0023,0,0.0016,0.0008,0.0047,-0.0047,-0.0031,0.0016,0.0055,80,1.2255,5.4432,1.8058,0,0
1716937800000,-0.0094,-0.0047,-0.0047,0,0,-0.0094,-0.0047,-0.0094,0,0.002,60,-0.2451,5.3912,-0.0519,0.0043,0.0002
1716938100000,0.0047,-0.0023,-0.0016,-0.0008,0.0008,0.0141,-0,-0.0016,-0.0031,0.0059,70,0.3676,5.3286,-0.0626,-0.0176,0.0019
1716938400000,0.0094,0.007,0.0016,0.0008,0.0023,0.0047,0.0117,0.0016,-0.0031,0.0094,90,1.4706,2.9465,-2.3822,-0.0043,0.017
1716938700000,-0.0047,0.0023,0.0031,-0.0008,0.0012,-0.0141,0.0047,0.0078,-0.0039,0.0074,71.4286,0.5515,2.9465,0,-0.0056,-0.0019
1716939000000,0.0047,0,0.0031,0.0008,0.002,0.0094,-0.007,0.0047,-0.0023,0.0086,83.3333,0.9804,5.1662,2.2197,0.003,0.0059
1716939300000,0,0.0023,0,0.0008,0.0012,-0.0047,-0,-0.0016,-0.0008,0.0059,83.3333,0.7966,7.0808,1.9146,0.0051,-0.0013
1716939600000,-0.0047,-0.0023,0,0.0016,0.0008,-0.0047,-0.0023,-0.0031,0.0016,0.0063,60,-0.0613,7.0808,0,0.0047,-0.0019
1716939900000,-0.0141,-0.0094,-0.0063,-0.0016,-0.0012,-0.0094,-0.0117,-0.0094,-0.0008,0.0035,0,-2.0833,1.7927,-5.2881,0.0038,0.0009
1716940200000,-0.0329,-0.0235,-0.0172,-0.0086,-0.0039,-0.0188,-0.0211,-0.0172,-0.0094,-0,0,-6.6176,-4.1728,-5.9654,-0.0134,-0.0199
1716940500000,-0.0047,-0.0188,-0.0172,-0.0086,-0.0047,0.0282,-0.0094,-0.0172,-0.0078,-0.0012,18.75,-6.6176,1.7965,5.9693,0.015,-0.0085
1716940800000,0.0141,0.0047,-0.0078,-0.007,-0.0031,0.0188,0.0282,-0.0016,-0.0078,-0.0047,37.5,-3.9216,-3.3946,-5.1911,0.0116,-0.0088
1716941100000,-0.0141,0,-0.0016,-0.0094,-0.0043,-0.0282,0.0188,0.0157,-0.0102,-0.0051,18.75,-5.4534,-3.2396,0.155,0.009,-0.0044
1716941400000,-0.0047,-0.0094,-0.0016,-0.0094,-0.0039,0.0094,-0.0141,0.0157,-0.011,-0.0039,26.3158,-5.576,-2.6978,0.5418,-0.0004,0.0021
1716941700000,0.0047,0,-0.0047,-0.0063,-0.0039,0.0094,0,0.0031,-0.0047,-0.0047,31.5789,-4.2279,3.2072,5.905,0.0004,0.0006
1716942000000,0.0047,0.0047,0.0016,0,-0.0043,-0,0.0141,0.0031,0.0086,-0.0067,36.8421,-2.8186,3.2072,0,0.003,-0.0087
1716942300000,-0.0047,0,0.0016,0,-0.0043,-0.0094,0,0.0031,0.0086,-0.0055,33.3333,-2.8799,1.9535,-1.2538,0.0021,0.0021
1716942600000,-0.0235,-0.0141,-0.0078,-0.0063,-0.0067,-0.0188,-0.0188,-0.0031,0.0008,-0.0086,5.5556,-5.5147,-0.6785,-2.632,0.0055,-0.0069
1716942900000,-0.0235,-0.0235,-0.0172,-0.0078,-0.0086,-0,-0.0235,-0.0188,0.0016,-0.0098,4.3478,-9.6474,0.6602,1.3387,-0.0099,-0.0056
1716943200000,-0.0282,-0.0259,-0.0251,-0.0118,-0.0106,-0.0047,-0.0118,-0.0266,-0.0024,-0.0114,22.8571,-12.4274,-3.5424,-4.2026,-0.0027,-0.0075
1716943500000,0.0188,-0.0047,-0.011,-0.0094,-0.0078,0.047,0.0188,-0.0031,-0.0031,-0.0067,37.5,-8.6164,7.6141,11.1565,0.0121,-0.0003
1716943800000,-0.0329,-0.0071,-0.0141,-0.0157,-0.0078,-0.0517,0.0188,0.0031,-0.0157,-0.0039,17.2414,-18.0271,1.5457,-6.0684,0.0072,0.0065
1716944100000,0.0047,-0.0141,-0.0031,-0.0141,-0.0071,0.0376,-0.0094,0.0219,-0.0141,-0.0024,20.6897,-25.7282,9.7736,8.2279,-0.0021,0.0032
1716944400000,-0.0141,-0.0047,-0.0141,-0.0125,-0.0094,-0.0188,0.0024,-0.0031,-0.0063,-0.0063,10.7143,-25.621,9.7736,0,0.0038,0.0088
1716944700000,0,-0.0071,-0.0031,-0.0086,-0.0082,0.0141,0.0071,0.011,-0.0008,-0.0039,11.1111,-22.5726,8.9909,-0.7827,-0.0129,-0.0026
1716945000000,-0.0094,-0.0047,-0.0078,-0.0055,-0.0086,-0.0094,-0,-0.0047,0.0063,-0.0047,3.7037,-21.4952,10.5105,1.5196,0.0068,0.0173
1716945300000,0.0235,0.0071,0.0047,-0.0047,-0.0071,0.0329,0.0141,0.0188,0.0047,-0.0031,22.2222,-17.7002,6.5348,-3.9757,-0.0029,-0.0077
