FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff
1729202400000,-0.0085,-0.017,-0.0099,-0.0042,-0.0014,0.017,-0.0276,-0.0113,-0.0057,0.0035,12.5,-5.4057,2.7235,-3.623,0.0039,-0.0025
1729202700000,0.017,0.0042,-0.0057,0.0007,-0.0035,0.0255,0.0149,-0.0127,0.0085,0.0018,30.4348,-0.5806,6.9131,4.1896,0.0106,-0.001
1729203000000,0.0085,0.0127,0.0057,0.0021,0.0007,-0.0085,0.0297,0.0071,0.0028,0.0117,45,1.0896,9.0445,2.1314,-0.0154,-0.0097
1729203300000,0.0212,0.0149,0.0156,0.0028,-0.0021,0.0127,0.0106,0.0255,0.0099,0.0011,70,6.2099,4.6516,-4.3928,-0.0074,0.0205
1729203600000,0.0042,0.0127,0.0113,0.0028,-0.0004,-0.017,-0,0.017,0.0064,0.0025,83.3333,7.0759,3.5795,-1.0721,-0.0042,0.0227
1729203900000,0.017,0.0106,0.0142,0.0099,0.0039,0.0127,-0.0042,0.0085,0.012,0.0046,86.3636,9.9512,3.382,-0.1975,-0.0147,-0.0121
1729204200000,0.0212,0.0191,0.0141,0.0149,0.0053,0.0042,0.0064,-0.0014,0.0191,0.0071,85.7143,13.4654,-1.3914,-4.7734,0.0064,0.0217
1729204500000,0.0127,0.017,0.017,0.0142,0.0074,-0.0085,0.0064,0.0057,0.0134,0.006,96.4286,14.5777,3.8092,5.2006,-0.0012,-0.0042
1729204800000,-0.0042,0.0042,0.0099,0.012,0.0071,-0.017,-0.0149,-0.0042,0.0099,0.0096,92.8571,11.8874,6.3879,2.5787,-0.0004,-0.0043
1729205100000,0.0042,0,0.0042,0.0092,0.006,0.0085,-0.017,-0.0099,0.0064,0.0042,96.4286,11.3477,6.0071,-0.3808,0.0027,0.0031
1729205400000,-0.0042,0,-0.0014,0.0078,0.0053,-0.0085,-0.0042,-0.0184,0.005,0.005,86.6667,9.0198,1.8238,-4.1832,-0.0004,-0.0019
1729205700000,-0.0127,-0.0085,-0.0042,0.0028,0.0064,-0.0085,-0.0085,-0.0141,-0.0071,0.0046,76.6667,4.558,0.945,-0.8788,0.0035,0.0078
1729206000000,-0.0085,-0.0106,-0.0085,-0.0021,0.0064,0.0042,-0.0106,-0.0127,-0.017,0.0078,70,1.6085,4.6273,3.6823,0.0039,-0.0038
1729206300000,-0.017,-0.0127,-0.0127,-0.0071,0.0035,-0.0085,-0.0042,-0.0113,-0.0212,0.0071,45.8333,-3.1978,3.2974,-1.3299,0.0078,-0.0161
1729206600000,0.0212,0.0021,-0.0014,-0.0028,0.0046,0.0382,0.0127,0.0028,-0.0149,0.0039,63.6364,0.6561,1.445,-1.8525,-0.0074,0.0192
1729206900000,0,0.0106,0.0014,-0.0035,0.0028,-0.0212,0.0233,0.0099,-0.0127,0.005,57.8947,-0.036,6.672,5.2271,0.0023,-0.011
1729207200000,-0.0042,-0.0021,0.0057,-0.0035,0.0021,-0.0042,-0.0042,0.0184,-0.0113,0.0025,35.7143,-1.5548,3.4131,-3.2589,-0.0095,-0.0007
1729207500000,0,-0.0021,-0.0014,-0.0014,0.0007,0.0042,-0.0127,-0,-0.0042,-0.0032,35.7143,-1.7599,1.7862,-1.6269,0.0161,0.0037
1729207800000,0.0042,0.0021,0,0.0007,-0.0007,0.0042,0.0042,-0.0014,0.0028,-0.006,42.8571,-0.6529,5.9986,4.2124,-0.0111,0.0178
1729208100000,0.0085,0.0064,0.0042,0.005,-0.0011,0.0042,0.0085,-0.0014,0.012,-0.0085,57.1429,1.522,-0.073,-6.0715,0.0007,0.0074
1729208400000,-0.0127,-0.0021,0,-0.0007,-0.0018,-0.0212,-0.0042,0.0014,0.0021,-0.0088,35.7143,-1.087,-1.901,-1.8281,0.0035,-0.0118
1729208700000,0,-0.0064,-0.0014,-0.0007,-0.0021,0.0127,-0.0127,-0.0014,0.0028,-0.0081,35.7143,-0.6448,5.5524,7.4534,0,-0.0074
1729209000000,0.0042,0.0021,-0.0028,0.0007,-0.0014,0.0042,0.0042,-0.0071,0.0042,-0.0067,54.5455,2.229,6.5209,0.9685,-0.0019,0.0019
1729209300000,0,0.0021,0.0014,0.0007,-0.0004,-0.0042,0.0085,0.0014,0.0021,-0.0067,66.6667,3.3067,4.1061,-2.4148,0.0046,-0.0049
1729209600000,-0.017,-0.0085,-0.0042,-0.0028,-0.0011,-0.017,-0.0106,-0.0028,-0.0035,-0.0074,30,12.6963,-2.5985,-6.7046,0.0009,-0.0075
1729209900000,-0.0255,-0.0212,-0.0141,-0.0085,-0.0018,-0.0085,-0.0233,-0.0113,-0.0134,-0.0053,13.3333,6.8881,-3.2765,-0.678,0.0117,-0.0248
1729210200000,0.0255,0,-0.0057,-0.0021,-0.0014,0.0509,0.0085,-0.0071,-0.0014,-0.006,53.3333,17.3616,-1.2025,2.074,-0.014,0.0101
1729210500000,-0.0721,-0.0233,-0.024,-0.0141,-0.0074,-0.0976,-0.0021,-0.0198,-0.0134,-0.0103,4,-16.2125,-10.5359,-9.3334,0.0354,-0.0357
1729210800000,-0.0127,-0.0424,-0.0198,-0.017,-0.0081,0.0594,-0.0424,-0.0057,-0.0177,-0.0103,12.9032,-20.7875,2.4186,12.9545,0.0127,-0.0069
1729211100000,-0.1062,-0.0595,-0.0637,-0.0347,-0.017,-0.0934,-0.0361,-0.058,-0.0354,-0.0177,14.7541,-16.28,-4.1339,-6.5525,0.0464,-0.057
1729211400000,0.0425,-0.0319,-0.0255,-0.0248,-0.0138,0.1487,0.0106,-0.0014,-0.0219,-0.0131,35.3846,0.0394,-0.5523,3.5816,-0.008,0.0005
1729211700000,0,0.0213,-0.0212,-0.0205,-0.0145,-0.0425,0.0807,-0.0014,-0.012,-0.0134,35.3846,0.2054,21.08,21.6324,0.0092,-0.0123
1729212000000,0.0213,0.0106,0.0213,-0.0212,-0.0117,0.0213,0.0425,0.0849,-0.0191,-0.0099,43.75,5.646,14.3952,-6.6848,-0.0144,0.0242
1729212300000,0.0127,0.017,0.0113,-0.0071,-0.0106,-0.0085,-0.0043,0.0368,0.0071,-0.0085,48.4375,8.3757,12.2443,-2.151,-0.0104,0.0032
1729212600000,0.0127,0.0127,0.0156,-0.0028,-0.0099,-0,0.0021,0.0368,0.0141,-0.0085,53.125,11.0327,10.0264,-2.2179,-0.0081,0.0081
1729212900000,-0.0085,0.0021,0.0057,0.0135,-0.0106,-0.0212,-0.0149,-0.0156,0.0481,-0.0103,51.6129,7.9743,10.0264,0,0.0016,0.006
1729213200000,-0.0042,-0.0064,0,0.0057,-0.0095,0.0042,-0.0191,-0.0113,0.0304,-0.0085,52.5424,7.5228,9.1946,-0.8318,0.018,-0.0215
1729213500000,0.0127,0.0042,0,0.0078,-0.0064,0.017,0.0021,-0.0156,0.0283,-0.0046,57.6271,10.7873,10.1403,0.9457,-0.0104,0.0044
1729213800000,-0.0085,0.0021,0,0.0028,-0.0092,-0.0212,0.0085,-0.0057,0.0241,-0.0078,55.1724,9.1779,11.3791,1.2388,0.0108,-0.0038
1729214100000,-0.0085,-0.0085,-0.0014,-0.0007,-0.0039,-0,-0.0127,-0.0014,0.0064,0.0035,68.1818,10.6297,9.2035,-2.1756,0.0085,0.0097
1729214400000,0,-0.0042,-0.0057,-0.0028,-0.0028,0.0085,-0.0064,-0.0057,-0,0.0053,81.0811,7.7385,9.4834,0.2799,-0.0023,0.0012
1729214700000,0.017,0.0085,0.0028,0.0014,0.0074,0.017,0.017,0.0028,-0.012,0.0244,91.8919,10.3546,7.2033,-2.2801,-0.017,0.0149
1729215000000,-0.0212,-0.0021,-0.0014,-0.0014,0.0021,-0.0382,0.0021,-0,-0.0071,0.0159,52.9412,2.0686,0.7994,-6.4038,0.012,0.0126
1729215300000,0.0212,0,0.0057,0,0.0039,0.0425,-0.0085,0.0113,-0.0078,0.0184,80,7.473,3.994,3.1945,-0.0097,0.0033
1729215600000,0.051,0.0361,0.017,0.0099,0.0064,0.0297,0.0382,0.0142,0.0071,0.018,91.6667,21.9509,-7.6011,-11.5951,-0.028,0.0227
1729215900000,0.0085,0.0297,0.0269,0.0127,0.006,-0.0425,0.0297,0.0283,0.0135,0.0166,100,22.2062,0.1787,7.7798,-0.0154,0.0013
1729216200000,-0.0127,-0.0021,0.0156,0.0106,0.0039,-0.0212,-0.0382,0.0099,0.0135,0.0138,86.3636,15.977,1.8919,1.7132,0.0127,0.0042
1729216500000,-0.0042,-0.0085,-0.0028,0.0071,0.0042,0.0085,-0.0382,-0.0198,0.0057,0.0149,81.8182,12.5232,4.0591,2.1672,-0.0004,-0.008
1729216800000,-0.017,-0.0106,-0.0113,0.0078,0.0032,-0.0127,-0.0085,-0.0382,0.0092,0.0127,60.8696,5.1974,-5.1338,-9.1929,0.0193,-0.0223
1729217100000,0.0127,-0.0021,-0.0028,0.0064,0.0032,0.0297,0.0064,-0.0184,0.0064,0.0096,73.913,7.8194,-0.2284,4.9055,-0.0035,0.0143
1729217400000,-0.0297,-0.0085,-0.0113,-0.0071,0.0014,-0.0425,0.0021,-0.0085,-0.017,0.0106,43.4783,-3.2143,-1.6891,-1.4608,0.0067,0.004
1729217700000,-0.0042,-0.017,-0.0071,-0.0092,0.0018,0.0255,-0.0149,0.0042,-0.0219,0.0057,39.1304,-5.2381,1.5502,3.2393,-0.0072,-0.0093
1729218000000,0.017,0.0064,-0.0057,-0.0042,0.0032,0.0212,0.0149,-0.0028,-0.0149,0.006,56.5217,-0.5952,2.9501,1.3999,-0.0124,0.0039
1729218300000,0.0085,0.0127,0.0071,-0.0021,0.0025,-0.0085,0.0297,0.0184,-0.0092,-0.005,65.2174,1.4286,0.9746,-1.9755,-0.0062,0.005
1729218600000,0.0297,0.0191,0.0184,0.0057,0.0067,0.0212,0.0127,0.0255,-0.0021,0.0046,95.6522,9.1667,-1.1385,-2.1131,-0.0067,0.023
1729218900000,0.0042,0.017,0.0142,0.0042,0.0053,-0.0255,0.0042,0.0198,-0.0021,0.0014,94.1176,8.8095,2.903,4.0415,-0.0157,0.0166
1729219200000,-0.0212,-0.0085,0.0042,0.0057,-0.0007,-0.0255,-0.0276,-0.0028,0.0127,-0.0071,64.7059,1.9048,1.5563,-1.3467,0.0166,-0.0082
1729219500000,-0.017,-0.0191,-0.0113,0.0035,-0.0028,0.0042,-0.0361,-0.0297,0.0127,-0.0088,41.1765,-2.8571,-2.0388,-3.5951,-0.0037,-0.0186
1729219800000,0,-0.0085,-0.0127,0.0007,-0.0018,0.017,-0,-0.0269,0.005,-0.0057,41.1765,-2.2619,4.5644,6.6032,-0.0046,-0.0061
1729220100000,0.0042,0.0021,-0.0042,0,-0.0011,0.0042,0.0212,-0.0085,0.0021,-0.0053,47.0588,-0.4762,4.2609,-0.3036,-0.0042,0.0056
1729220400000,0.0212,0.0127,0.0085,-0.0014,0.0021,0.017,0.0212,0.0198,-0.0071,-0.0011,76.4706,5.9524,0.7754,-3.4854,-0.0143,0.0058
1729220700000,-0.0127,0.0042,0.0042,-0.0042,0,-0.034,0.0021,0.017,-0.0085,-0.0032,58.8235,1.6667,4.6272,3.8518,0.0081,0.0029
1729221000000,-0.0127,-0.0127,-0.0014,-0.0028,0.0014,-0,-0.0255,0.0028,-0.0085,-0,41.1765,-3.0952,3.2765,-1.3508,0.0035,-0.0179
1729221300000,0.0042,-0.0042,-0.0071,0.0007,0.0021,0.017,-0.0085,-0.0156,-0.0028,0.0004,43.75,-2.381,2.1592,-1.1172,0.0004,-0.0104
1729221600000,0.0085,0.0064,0,0.0021,0.0014,0.0042,0.0191,-0.0042,0.0014,-0.0018,53.3333,0,1.8062,-0.353,0.0007,-0.0097
1729221900000,0,0.0042,0.0042,0.0014,0.0007,-0.0085,0.0085,0.0057,0.0014,-0.0018,46.1538,-0.2381,3.839,2.0328,-0.0023,0.0049
1729222200000,-0.0085,-0.0042,0,-0.0035,-0.0025,-0.0085,-0.0106,0.0071,-0.0021,-0.0092,30.7692,-2.2619,2.811,-1.028,-0.0007,0.0036
1729222500000,-0.0297,-0.0191,-0.0127,-0.0064,-0.0053,-0.0212,-0.0234,-0.0127,-0.0021,-0.0106,0,-10.4762,-0.5147,-3.3257,0.0205,-0.0034
1729222800000,0.0085,-0.0106,-0.0099,-0.0028,-0.0028,0.0382,-0.0064,-0.0142,-0,-0.0021,21.4286,-6.6667,5.55,6.0647,-0.0154,-0.0011
1729223100000,0.0042,0.0064,-0.0057,-0.0028,-0.0011,-0.0042,0.0255,-0.0057,-0.0035,0.0018,30.7692,-4.881,1.3467,-4.2033,-0.0042,0.0031
1729223400000,-0.0382,-0.017,-0.0085,-0.0106,-0.0042,-0.0425,-0.0064,0.0042,-0.0127,-0.0025,0,-14.6677,-4.817,-6.1637,0.0244,-0.0244
1729223700000,0.017,-0.0106,-0.0057,-0.0078,-0.0032,0.0552,-0.017,0.0042,-0.0092,-0.0021,30,-6.4496,-1.2976,3.5193,-0.0032,0.0051
1729224000000,-0.0127,0.0021,-0.0113,-0.0085,-0.006,-0.0297,0.0191,-0.0057,-0.005,-0.0081,15,-9.3068,5.787,7.0846,0.0012,0.0066
1729224300000,0.0085,-0.0021,0.0042,-0.0021,-0.0042,0.0212,0.0085,0.0127,0.0042,-0.0042,26.3158,-5.0852,0.9963,-4.7907,0.003,0.0001
1729224600000,0.0042,0.0064,0,-0.0028,-0.0028,-0.0042,0.0042,0.0057,-0,-0.0042,31.5789,-2.8873,5.9139,4.9176,-0.0019,0.0043
1729224900000,0.0085,0.0064,0.0071,-0.0021,-0.0025,0.0042,0.0085,0.0184,0.0007,-0.0046,42.1053,0.7116,-2.4529,-8.3668,-0.0062,0.0136
1729225200000,0.017,0.0127,0.0099,0.0071,-0.0018,0.0085,0.0064,0.0057,0.0177,-0.0032,63.1579,7.1127,2.7789,5.2317,-0.0124,0.0137
1729225500000,-0.0212,-0.0021,0.0014,0.0007,-0.0035,-0.0382,-0.0085,0.0014,0.0085,-0.0042,41.1765,0.3086,-0.2651,-3.044,0.0143,-0.0131
1729225800000,0.0212,0,0.0057,0.0064,-0.0011,0.0425,-0.0127,-0.0014,0.0149,0.0014,80,8.0101,1.4751,1.7403,-0.0097,0.0144
1729226100000,0,0.0106,0,0.005,0.0014,-0.0212,0.0127,-0.0099,0.0071,0.0067,85.7143,7.1859,0.656,-0.8191,0.0023,0
1729226400000,0.0042,0.0021,0.0085,0.005,0.0011,0.0042,0.0021,0.0071,0.0078,0.0039,86.6667,8.8695,3.3317,2.6756,-0.0042,-0.0042
1729226700000,0.0042,0.0042,0.0028,0.0042,0.0011,-0,-0.0064,-0.0028,0.0064,0.0021,93.3333,9.6284,1.3581,-1.9735,0.0004,0.0043
1729227000000,-0.0042,0,0.0014,0.0007,0.0039,-0.0085,-0.0021,0.0014,-0.0064,0.0081,86.6667,6.4704,4.5228,3.1646,0.0065,-0.0007
1729227300000,-0.0085,-0.0064,-0.0028,0.0028,0.0018,-0.0042,-0.0106,-0.0113,0.0021,0.005,66.6667,4.3397,0.4555,-4.0672,0.0039,-0.0025
1729227600000,0,-0.0042,-0.0042,-0.0007,0.0028,0.0085,-0.0042,-0.0071,-0.0071,0.0088,66.6667,5.8661,-0.4444,-0.9,-0.0023,-0.0098
1729227900000,0.0042,0.0021,-0.0014,0,0.0025,0.0042,0.0085,-0.0028,-0.005,0.0067,75,6.1682,-0.4444,0,-0.0111,0.0166
1729228200000,0.017,0.0106,0.0071,0.0021,0.0035,0.0127,0.0149,0.0099,-0.0028,0.0064,100,12.2433,-0.4118,0.0326,-0.0078,0.0272
1729228500000,0,0.0085,0.0071,0.0014,0.0028,-0.017,0.0064,0.0113,-0.0028,0.0053,90.9091,21.1884,-1.183,-0.7711,-0.0046,0
1729228800000,-0.0255,-0.0127,-0.0028,-0.0021,-0.0007,-0.0255,-0.0234,-0.0014,-0.0028,0.0011,36.3636,8.0602,-5.9585,-4.7756,0.0094,0.001
1729229100000,-0.0042,-0.0149,-0.0099,-0.0014,0.0007,0.0212,-0.0234,-0.017,-0.0042,0.0042,20,4.4577,0.9539,6.9125,0.0042,0.003
1729229400000,0.0255,0.0106,-0.0014,0.0028,0.0011,0.0297,0.0234,-0.0085,0.0035,0.0021,77.7778,3.4961,-5.0934,-6.0473,-0.0094,0.0248
1729229700000,0.0042,0.0149,0.0085,0.0028,0.0014,-0.0212,0.0297,0.0113,0.0028,-0,80,3.8441,1.039,6.1324,0.0027,-0.0018
1729230000000,0.0042,0.0042,0.0113,0.0007,0.0014,-0,-0.0064,0.0212,-0.0014,0.0004,90,4.4809,1.039,0,-0.0019,-0.0006
1729230300000,-0.0127,-0.0042,-0.0014,-0.0014,0,-0.017,-0.0191,-0,-0.0028,-0.0011,60,-9.9155,-0.2255,-1.2645,-0.0011,0.0054
1729230600000,0.0255,0.0064,0.0057,0.0071,0.0025,0.0382,0.0021,-0.0028,0.0092,-0.0014,100,13.2182,-6.9712,-6.7457,-0.0094,0.026
