Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_trend_(SellClose);Sell to Close;-1;-50.0;$5,754.00;10/7/24, 6:05 PM;$287.50;$275.00;-50.0;
2;_trend_(1,728,338,400,000|-0.0217|-0.0261|-0.0174|-0.0036|0.0011|0.0087|-0.0261|-0.0275|-0.0094|-0.0105|22.2222|0.1704|-5.2419|-9.8811|-0.0067|0.0242);Buy to Open;1;50.0;$5,748.25;10/7/24, 6:05 PM;;$287.50;0.0;
3;_trend_(SellClose);Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:10 PM;$62.50;$300.00;-50.0;
4;_trend_(1,728,338,700,000|-0.0043|-0.013|-0.0188|-0.0101|0.0007|0.0174|0.0022|-0.0174|-0.0217|-0.0004|12|-0.7552|5.3761|10.618|0.0043|0.0006);Buy to Open;1;50.0;$5,748.00;10/7/24, 6:10 PM;;$350.00;0.0;
5;_trend_(SellClose);Sell to Close;-1;-50.0;$5,749.75;10/7/24, 6:15 PM;$62.50;$400.00;-50.0;
6;_trend_(1,728,339,000,000|0.0087|0.0022|-0.0058|-0.008|0.0007|0.013|0.0283|0.0043|-0.0174|-0.0047|16.6667|-0.0698|5.532|0.1558|-0.0016|-0.005);Buy to Open;1;50.0;$5,748.50;10/7/24, 6:15 PM;;$412.50;0.0;
7;_trend_(SellClose);Sell to Close;-1;-50.0;$5,749.25;10/7/24, 6:20 PM;$25.00;$512.50;-50.0;
8;_trend_(1,728,339,300,000|-0.0043|0.0022|0|-0.0087|-0.0004|-0.013|0.0152|0.0174|-0.0167|-0.0033|12.5|-0.8817|7.404|1.872|-0.0075|-0.0044);Buy to Open;1;50.0;$5,748.75;10/7/24, 6:20 PM;;$437.50;0.0;
9;_trend_(SellClose);Sell to Close;-1;-50.0;$5,748.75;10/7/24, 6:25 PM;$112.50;$512.50;-50.0;
10;_trend_(1,728,339,600,000|-0.0261|-0.0152|-0.0072|-0.013|-0.0025|-0.0217|-0.0174|0.0116|-0.021|-0.0022|10|-3.8444|1.8711|-5.533|0.0048|-0.0101);Buy to Open;1;50.0;$5,746.50;10/7/24, 6:25 PM;;$550.00;0.0;
11;_trend_(SellClose);Sell to Close;-1;-50.0;$5,747.50;10/7/24, 6:30 PM;$112.50;$1,275.00;-50.0;
12;_trend_(1,728,339,900,000|0|-0.013|-0.0101|-0.008|-0.0025|0.0261|-0.0152|-0.0043|-0.0109|-0.0051|22.8571|-3.289|1.4416|-0.4294|-0.0024|0.0012);Buy to Open;1;50.0;$5,745.25;10/7/24, 6:30 PM;;$662.50;0.0;
13;_trend_(SellClose);Sell to Close;-1;-50.0;$5,748.25;10/7/24, 6:35 PM;$1,150.00;$1,025.00;-50.0;
14;_trend_(1,728,340,200,000|-0.2479|-0.124|-0.0913|-0.0457|-0.0246|-0.2479|-0.1088|-0.0913|-0.042|-0.0355|26.9565|-16.5605|-24.0764|-25.518|0.0467|-0.1169);Buy to Open;1;50.0;$5,725.25;10/7/24, 6:35 PM;;$1,812.50;0.0;
15;_trend_(SellClose);Sell to Close;-1;-50.0;$5,747.25;10/7/24, 6:40 PM;$912.50;$2,075.00;-50.0;
16;_trend_(1,728,340,500,000|0.1395|-0.0544|-0.0362|-0.0217|-0.0159|0.3875|-0.0413|-0.029|-0.0116|-0.0294|54.7826|-1.243|-13.1783|10.8981|-0.0162|0.0523);Buy to Open;1;50.0;$5,729.00;10/7/24, 6:40 PM;;$2,725.00;0.0;
