FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff
1706050800000,0.0306,0.0128,0.0102,0.0085,0.0115,0.0357,0.0128,0.0034,-0.006,-0,94.2857,0.5593,0.3391,-7.0539,N/A,N/A
1706051100000,0.0306,0.0306,0.0187,0.0145,0.0145,-0,0.0306,0.0085,-0,0.0051,90,-1.5476,1.1052,0.7661,N/A,N/A
1706051400000,0.0153,0.0229,0.0255,0.0119,0.0106,-0.0153,0.0102,0.0272,0.0025,0.003,90.3226,-0.4299,2.2368,1.1316,N/A,N/A
1706051700000,-0.0153,0,0.0102,0.0102,0.0081,-0.0306,-0.0306,-0,0.0042,-0.0004,80,-2.631,6.2488,4.012,N/A,N/A
1706052000000,0.0204,0.0025,0.0068,0.0128,0.0115,0.0357,-0.0204,-0.0119,0.0025,0.0025,93.3333,0.4742,6.2488,0,N/A,N/A
1706052300000,-0.0102,0.0051,-0.0017,0.0119,0.0085,-0.0306,0.0051,-0.0272,0.0068,-0.0038,84.6154,-0.9503,8.2656,2.0169,N/A,N/A
1706052600000,0,-0.0051,0.0034,0.0068,0.0077,0.0102,-0.0076,-0.0068,-0.0017,-0.0077,84,-0.6654,7.6092,-0.6564,N/A,N/A
1706052900000,0.0051,0.0025,-0.0017,0.0025,0.0085,0.0051,-0.0025,-0.0085,-0.0119,-0.0085,87.5,0.2796,7.4292,-0.18,N/A,N/A
1706053200000,0,0.0025,0.0017,0,0.006,-0.0051,0.0076,0.0034,-0.0119,-0.0102,85.7143,0.3883,7.936,0.5067,N/A,N/A
1706053500000,-0.0102,-0.0051,-0.0017,0.0008,0.0055,-0.0102,-0.0076,-0.0051,-0.0094,-0.0128,76.1905,-1.57,7.1479,-0.7881,N/A,N/A
1706053800000,0.0051,-0.0025,-0.0017,-0.0017,0.0055,0.0153,-0.0051,-0,-0.0145,-0.0051,80.9524,-0.79,9.613,2.4651,N/A,N/A
1706054100000,0,0.0025,-0.0017,0,0.006,-0.0051,0.0076,-0.0034,-0.0119,-0.0047,80.9524,-0.7703,8.3268,-1.2862,N/A,N/A
1706054400000,-0.0051,-0.0025,0,-0.0008,0.003,-0.0051,-0,0.0017,-0.0076,-0.0085,58.3333,-1.5199,10.1152,1.7884,N/A,N/A
1706054700000,-0.0051,-0.0051,-0.0034,-0.0025,0,-0,-0.0076,-0.0017,-0.0051,-0.0145,14.2857,-2.3175,6.8451,-3.2701,N/A,N/A
1706055000000,0,-0.0025,-0.0034,-0.0025,-0.0013,0.0051,-0,-0.0017,-0.0025,-0.0119,16.6667,-2.0191,6.8451,0,N/A,N/A
1706055300000,0.0102,0.0051,0.0017,0.0008,0.0008,0.0102,0.0102,0.0017,-0,-0.0072,57.1429,-0.0619,1.8579,-4.9872,N/A,N/A
1706055600000,-0.0051,0.0025,0.0017,-0.0008,-0.0013,-0.0153,0.0051,0.0051,0.0008,-0.0128,42.8571,-0.7996,4.6825,2.8247,N/A,N/A
1706055900000,-0.0153,-0.0102,-0.0034,-0.0034,-0.0017,-0.0102,-0.0153,-0,-0.0034,-0.0102,0,-3.4654,4.2498,-0.4328,N/A,N/A
1706056200000,-0.0051,-0.0102,-0.0085,-0.0034,-0.0021,0.0102,-0.0127,-0.0102,-0.0025,-0.0098,0,-4.0054,1.0256,-3.2242,N/A,N/A
1706056500000,0.0051,0,-0.0051,-0.0017,-0.0021,0.0102,0.0102,-0.0068,0.0008,-0.0106,22.2222,-2.5993,4.079,3.0534,N/A,N/A
1706056800000,0.0153,0.0102,0.0051,0.0008,-0.0008,0.0102,0.0204,0.0085,0.0034,-0.0068,62.5,0.5963,3.6875,-0.3915,N/A,N/A
1706057100000,0.0051,0.0102,0.0085,0,0.0004,-0.0102,0.0102,0.017,-0.0008,-0.0051,75,1.603,5.1801,1.4926,N/A,N/A
1706057400000,0.0204,0.0127,0.0136,0.0042,0.0017,0.0153,0.0025,0.0187,0.0051,-0.0038,100,5.4734,-0.0764,-5.2566,N/A,N/A
1706057700000,0,0.0102,0.0085,0.0068,0.0017,-0.0204,-0,0.0034,0.0102,-0.0043,76.9231,2.3271,-1.0155,-0.9391,N/A,N/A
1706058000000,-0.0408,-0.0204,-0.0068,0.0008,-0.0013,-0.0408,-0.0331,-0.0153,0.0042,-0.0042,15.3846,-5.326,-11.7585,-10.743,N/A,N/A
1706058300000,-0.0051,-0.0229,-0.0153,-0.0008,-0.0013,0.0357,-0.0331,-0.0289,0.0008,-0.0013,7.6923,-5.8362,5.2231,16.9816,N/A,N/A
1706058600000,0.0102,0.0025,-0.0119,-0.0017,-0.0004,0.0153,0.0229,-0.0204,-0.0025,0.0008,23.0769,-3.4552,1.6485,-3.5746,N/A,N/A
1706058900000,-0.0102,0,-0.0017,-0.0042,-0.0021,-0.0204,0.0229,0.0051,-0.0042,-0.003,7.6923,-4.8158,3.4447,1.7962,N/A,N/A
1706059200000,0.0051,-0.0025,0.0017,-0.0068,-0.0013,0.0153,-0.0051,0.017,-0.011,-0,15.3846,-3.2851,1.5359,-1.9088,N/A,N/A
1706059500000,0.0153,0.0102,0.0034,-0.0042,0.0013,0.0102,0.0102,0.0153,-0.011,0.003,38.4615,-0.3011,5.1836,3.6477,N/A,N/A
1706059800000,0.0102,0.0127,0.0102,0.0042,0.0025,-0.0051,0.0153,0.0119,0.0034,0.0047,53.8462,1.4519,5.7963,0.6127,N/A,N/A
1706060100000,-0.0153,-0.0025,0.0034,0.0025,0.0008,-0.0255,-0.0127,0.0017,0.0034,0.003,30.7692,-2.5784,4.7789,-1.0174,N/A,N/A
1706060400000,-0.0051,-0.0102,-0.0034,0,-0.0008,0.0102,-0.0229,-0.0068,0.0017,-0,23.0769,-3.7308,1.5339,-3.245,N/A,N/A
1706060700000,0.0051,0,-0.0051,0.0025,-0.0008,0.0102,0.0025,-0.0153,0.0068,-0.0013,30.7692,-2.199,-0.1086,-1.6425,N/A,N/A
1706061000000,0,0.0025,0,0.0017,-0.0025,-0.0051,0.0127,-0.0034,0.0085,-0.0042,30.7692,-1.949,4.8911,4.9997,N/A,N/A
1706061300000,-0.0102,-0.0051,-0.0017,-0.0025,-0.0034,-0.0102,-0.0051,0.0017,0.0017,-0.0051,20,-3.6486,-0.2235,-5.1146,N/A,N/A
1706061600000,-0.0051,-0.0076,-0.0051,-0.0051,-0.0004,0.0051,-0.0102,-0,-0.0093,0.0008,12.5,-5.1951,-0.2523,-0.0288,N/A,N/A
1706061900000,0.0102,0.0025,-0.0017,-0.0008,0.0008,0.0153,0.0076,-0.0017,-0.0034,0.0021,50,-2.8338,-2.173,-1.9207,N/A,N/A
1706062200000,-0.0153,-0.0025,-0.0034,-0.0025,-0.0013,-0.0255,0.0051,-0.0017,-0.0025,-0.0008,20,-6.4619,0.3681,2.5411,N/A,N/A
1706062500000,-0.0102,-0.0127,-0.0051,-0.0051,-0.0013,0.0051,-0.0153,-0,-0.0076,0.0008,0,-8.5693,2.761,2.3929,N/A,N/A
1706062800000,0.0153,0.0025,-0.0034,-0.0025,-0.0004,0.0255,0.0051,-0.0017,-0.0042,0.0008,30,-3.7076,-0.2364,-2.9974,N/A,N/A
1706063100000,0.0102,0.0127,0.0051,0.0008,-0.0008,-0.0051,0.0255,0.0085,0.0034,-0.0021,50,-0.2886,2.2052,2.4416,N/A,N/A
1706063400000,0,0.0051,0.0085,0.0017,-0.0017,-0.0102,0.0025,0.0136,0.0068,-0.0042,55.5556,0.3983,4.576,2.3708,N/A,N/A
1706063700000,0,0,0.0034,0,-0.0004,0,-0.0127,0.0068,0.0008,-0.0013,55.5556,0.734,-0.7534,-5.3295,N/A,N/A
1706064000000,0.0051,0.0025,0.0017,0.0034,0.0004,0.0051,-0.0025,-0.0034,0.0059,0.0013,75,2.0781,5.0638,5.8173,N/A,N/A
1706064300000,0,0.0025,0.0017,0.0051,0,-0.0051,0.0025,-0.0068,0.0102,0.0008,75,1.6836,2.6636,-2.4002,N/A,N/A
1706064600000,0.0051,0.0025,0.0034,0.0034,0.0004,0.0051,-0,-0,0.0059,0.003,87.5,0.4272,5.3026,2.639,N/A,N/A
1706064900000,0.0051,0.0051,0.0034,0.0025,0.0017,-0,0.0025,0.0017,0.0017,0.0051,100,2.2498,5.3026,0,N/A,N/A
1706065200000,0.0051,0.0051,0.0051,0.0034,0.0025,-0,0.0025,0.0034,0.0017,0.003,100,2.8641,7.6218,2.3191,N/A,N/A
1706065500000,0,0.0025,0.0034,0.0034,0.0017,-0.0051,-0.0025,-0,0.0034,0.0008,81.8182,1.9342,2.5588,-5.063,N/A,N/A
1706065800000,0.0102,0.0051,0.0051,0.0042,0.0038,0.0102,-0,0.0017,0.0008,0.0051,91.6667,2.9132,-4.381,-6.9398,N/A,N/A
