FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff
1728277200000,0.0017,0.014,0.0006,0.0035,0.0006,-0.0245,0.0148,-0.0058,0.0058,0.0039,76.3158,10.9968,3.476,0,0.0006,0.0081
1728277500000,-0.0122,-0.0052,0.0052,0.0029,0.002,-0.014,-0.0052,0.0047,0.0017,0.0065,57.8947,4.4667,-0.6457,-4.1216,-0.0019,-0.0311
1728277800000,-0.0192,-0.0157,-0.0099,-0.0009,0.0004,-0.007,-0.0297,-0.018,-0.0026,0.0063,22.8571,-4.55,3.2303,3.8759,0.0098,0.0279
1728278100000,-0.0052,-0.0122,-0.0122,-0.0058,0.0007,0.014,-0.007,-0.0128,-0.0131,0.0036,3.2258,-7.2468,2.2329,-0.9974,0.0123,0.0114
1728278400000,-0.0087,-0.007,-0.0111,-0.0029,-0.0007,-0.0035,0.0087,-0.0163,-0.0044,0.0052,0,-10.8871,1.193,-1.0398,-0.0053,-0.0185
1728278700000,0,-0.0044,-0.0047,-0.0073,-0.0015,0.0087,0.0079,0.0052,-0.0116,0.0032,20.4545,-10.2151,-0.9871,-2.1802,-0.007,-0.0297
1728279000000,-0.0524,-0.0262,-0.0204,-0.0163,-0.0064,-0.0524,-0.0192,-0.0082,-0.0198,-0.0054,0,-20.3629,-4.1558,-3.1687,0.0219,-0.0268
1728279300000,0.0192,-0.0166,-0.0111,-0.0111,-0.0041,0.0716,-0.0122,-0,-0.014,-0.0017,16.9231,-11.4958,-5.1846,-1.0288,-0.0028,0.0439
1728279600000,-0.0087,0.0052,-0.014,-0.0093,-0.0051,-0.028,0.0314,-0.0093,-0.0084,-0.0035,9.2308,-13.7053,2.6125,7.7971,0.0064,-0.0012
1728279900000,0.014,0.0026,0.0082,-0.0061,-0.006,0.0227,0.0192,0.0285,-0.0003,-0.0065,25,-6.1011,-5.1083,-7.7208,-0.0187,-0.0338
1728280200000,-0.0052,0.0044,0,-0.0055,-0.0042,-0.0192,-0.0009,0.0111,-0.0026,-0.0013,19.6429,-7.2387,2.2771,7.3855,-0.0088,-0.0084
1728280500000,-0.007,-0.0061,0.0006,-0.0067,-0.007,-0.0017,-0.0087,0.0146,0.0006,-0.0044,12.5,-7.8479,1.9348,-0.3423,0.0117,0.007
1728280800000,-0.0297,-0.0183,-0.014,-0.0029,-0.0096,-0.0227,-0.0227,-0.0221,0.0134,-0.0102,0,-10.1285,-1.4493,-3.3841,0.0297,0.0111
1728281100000,0.0175,-0.0061,-0.0064,-0.0032,-0.0071,0.0472,-0,-0.0064,0.0079,-0.0092,20.8333,-1.6914,4.229,5.6782,-0.0057,0.0308
1728281400000,0.0385,0.028,0.0087,0.0047,-0.0023,0.021,0.0463,0.0082,0.014,-0.0028,68.0851,12.8297,3.0285,-1.2005,-0.0197,-0.0112
1728281700000,-0.0262,0.0061,0.0099,-0.002,-0.0041,-0.0647,0.0122,0.0239,0.0041,-0.0048,38.6364,3.1558,-7.7109,-10.7394,-0.002,-0.0245
1728282600000,-0.0419,-0.0341,-0.0099,-0.0082,-0.0068,-0.0157,-0.062,-0.0035,-0.0026,-0.0061,30.4348,3.6302,-7.4915,0.2194,0.002,0.0147
