Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 12:40 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,304.25;5/24/24, 8:50 AM;$287.50;$250.00;-50.0;
2;_calendar_(1,716,554,700,000,525,5,dn,nm);Buy to Open;1;50.0;$5,298.50;5/24/24, 8:50 AM;;$287.50;0.0;
3;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,302.50;5/24/24, 8:55 AM;$162.50;$387.50;-50.0;
4;_calendar_(1,716,555,000,000,530,5,dn,nm);Buy to Open;1;50.0;$5,299.25;5/24/24, 8:55 AM;;$450.00;0.0;
5;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:00 AM;$137.50;$412.50;-50.0;
6;_calendar_(1,716,555,300,000,535,5,up,nm);Buy to Open;1;50.0;$5,298.50;5/24/24, 9:00 AM;;$587.50;0.0;
7;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,304.00;5/24/24, 9:05 AM;$187.50;$775.00;-50.0;
8;_calendar_(1,716,555,600,000,540,5,up,nm);Buy to Open;1;50.0;$5,300.25;5/24/24, 9:05 AM;;$775.00;0.0;
9;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,302.00;5/24/24, 9:10 AM;$112.50;$875.00;-50.0;
10;_calendar_(1,716,555,900,000,545,5,dn,nm);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:10 AM;;$887.50;0.0;
11;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:15 AM;$75.00;$950.00;-50.0;
12;_calendar_(1,716,556,200,000,550,5,dn,nm);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:15 AM;;$962.50;0.0;
13;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:20 AM;$112.50;$1,012.50;-50.0;
14;_calendar_(1,716,556,500,000,555,5,up,nm);Buy to Open;1;50.0;$5,299.00;5/24/24, 9:20 AM;;$1,075.00;0.0;
15;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:25 AM;$112.50;$862.50;-50.0;
16;_calendar_(1,716,556,800,000,560,5,up,nm);Buy to Open;1;50.0;$5,298.25;5/24/24, 9:25 AM;;$1,187.50;0.0;
17;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:30 AM;$325.00;$1,212.50;-50.0;
18;_calendar_(1,716,557,100,000,565,5,up,nm);Buy to Open;1;50.0;$5,299.25;5/24/24, 9:30 AM;;$1,512.50;0.0;
19;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:35 AM;$300.00;$1,687.50;-50.0;
20;_calendar_(1,716,557,400,000,570,5,up,nm);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:35 AM;;$1,812.50;0.0;
21;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,307.00;5/24/24, 9:40 AM;$262.50;$1,912.50;-50.0;
22;_calendar_(1,716,557,700,000,575,5,dn,nm);Buy to Open;1;50.0;$5,301.75;5/24/24, 9:40 AM;;$2,075.00;0.0;
23;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:45 AM;$237.50;$2,350.00;-50.0;
24;_calendar_(1,716,558,000,000,580,5,up,nm);Buy to Open;1;50.0;$5,301.00;5/24/24, 9:45 AM;;$2,312.50;0.0;
25;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,306.50;5/24/24, 9:50 AM;$412.50;$2,862.50;-50.0;
26;_calendar_(1,716,558,300,000,585,5,dn,nm);Buy to Open;1;50.0;$5,298.25;5/24/24, 9:50 AM;;$2,725.00;0.0;
27;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:55 AM;$287.50;$2,825.00;-50.0;
28;_calendar_(1,716,558,600,000,590,5,dn,nm);Buy to Open;1;50.0;$5,294.75;5/24/24, 9:55 AM;;$3,012.50;0.0;
29;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,299.25;5/24/24, 10:00 AM;$187.50;$2,750.00;-50.0;
30;_calendar_(1,716,558,900,000,595,5,up,nm);Buy to Open;1;50.0;$5,295.50;5/24/24, 10:00 AM;;$3,200.00;0.0;
31;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,309.50;5/24/24, 10:05 AM;$575.00;$3,450.00;-50.0;
32;_calendar_(1,716,559,200,000,600,5,up,nm);Buy to Open;1;50.0;$5,298.00;5/24/24, 10:05 AM;;$3,775.00;0.0;
33;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,307.75;5/24/24, 10:10 AM;$287.50;$3,962.50;-50.0;
34;_calendar_(1,716,559,500,000,605,5,dn,nm);Buy to Open;1;50.0;$5,302.00;5/24/24, 10:10 AM;;$4,062.50;0.0;
35;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,308.00;5/24/24, 10:15 AM;$237.50;$4,050.00;-50.0;
36;_calendar_(1,716,559,800,000,610,5,dn,nm);Buy to Open;1;50.0;$5,303.25;5/24/24, 10:15 AM;;$4,300.00;0.0;
37;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,308.75;5/24/24, 10:20 AM;$237.50;$4,237.50;-50.0;
38;_calendar_(1,716,560,100,000,615,5,up,nm);Buy to Open;1;50.0;$5,304.00;5/24/24, 10:20 AM;;$4,537.50;0.0;
39;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,311.00;5/24/24, 10:25 AM;$237.50;$4,462.50;-50.0;
40;_calendar_(1,716,560,400,000,620,5,up,nm);Buy to Open;1;50.0;$5,306.25;5/24/24, 10:25 AM;;$4,775.00;0.0;
41;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,313.50;5/24/24, 10:30 AM;$225.00;$4,825.00;-50.0;
42;_calendar_(1,716,560,700,000,625,5,up,nm);Buy to Open;1;50.0;$5,309.00;5/24/24, 10:30 AM;;$5,000.00;0.0;
43;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,313.00;5/24/24, 10:35 AM;$125.00;$5,187.50;-50.0;
44;_calendar_(1,716,561,000,000,630,5,dn,nm);Buy to Open;1;50.0;$5,310.50;5/24/24, 10:35 AM;;$5,125.00;0.0;
45;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,312.50;5/24/24, 10:40 AM;$212.50;$5,462.50;-50.0;
46;_calendar_(1,716,561,300,000,635,5,dn,nm);Buy to Open;1;50.0;$5,308.25;5/24/24, 10:40 AM;;$5,337.50;0.0;
47;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,310.00;5/24/24, 10:45 AM;$275.00;$5,300.00;-50.0;
48;_calendar_(1,716,561,600,000,640,5,dn,nm);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:45 AM;;$5,612.50;0.0;
49;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,311.25;5/24/24, 10:50 AM;$337.50;$5,487.50;-50.0;
50;_calendar_(1,716,561,900,000,645,5,up,nm);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:50 AM;;$5,950.00;0.0;
51;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,314.00;5/24/24, 10:55 AM;$187.50;$5,812.50;-50.0;
52;_calendar_(1,716,562,200,000,650,5,up,nm);Buy to Open;1;50.0;$5,310.25;5/24/24, 10:55 AM;;$6,137.50;0.0;
53;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,317.50;5/24/24, 11:00 AM;$187.50;$5,837.50;-50.0;
54;_calendar_(1,716,562,500,000,655,5,up,nm);Buy to Open;1;50.0;$5,313.75;5/24/24, 11:00 AM;;$6,325.00;0.0;
55;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,324.00;5/24/24, 11:05 AM;$450.00;$6,287.50;-50.0;
56;_calendar_(1,716,562,800,000,660,5,up,nm);Buy to Open;1;50.0;$5,315.00;5/24/24, 11:05 AM;;$6,775.00;0.0;
57;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 11:10 AM;$137.50;$6,600.00;-50.0;
58;_calendar_(1,716,563,100,000,665,5,up,nm);Buy to Open;1;50.0;$5,322.50;5/24/24, 11:10 AM;;$6,912.50;0.0;
59;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,329.00;5/24/24, 11:15 AM;$237.50;$7,025.00;-50.0;
60;_calendar_(1,716,563,400,000,670,5,up,nm);Buy to Open;1;50.0;$5,324.25;5/24/24, 11:15 AM;;$7,150.00;0.0;
61;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,329.25;5/24/24, 11:20 AM;$187.50;$7,300.00;-50.0;
62;_calendar_(1,716,563,700,000,675,5,dn,nm);Buy to Open;1;50.0;$5,325.50;5/24/24, 11:20 AM;;$7,337.50;0.0;
63;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:25 AM;$125.00;$7,512.50;-50.0;
64;_calendar_(1,716,564,000,000,680,5,dn,nm);Buy to Open;1;50.0;$5,324.50;5/24/24, 11:25 AM;;$7,462.50;0.0;
65;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,326.25;5/24/24, 11:30 AM;$162.50;$7,437.50;-50.0;
66;_calendar_(1,716,564,300,000,685,5,dn,nm);Buy to Open;1;50.0;$5,323.00;5/24/24, 11:30 AM;;$7,625.00;0.0;
67;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.25;5/24/24, 11:35 AM;$187.50;$8,100.00;-50.0;
68;_calendar_(1,716,564,600,000,690,5,up,nm);Buy to Open;1;50.0;$5,323.50;5/24/24, 11:35 AM;;$7,812.50;0.0;
69;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:40 AM;$487.50;$8,075.00;-50.0;
70;_calendar_(1,716,564,900,000,695,5,dn,nm);Buy to Open;1;50.0;$5,317.25;5/24/24, 11:40 AM;;$8,300.00;0.0;
71;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.75;5/24/24, 11:45 AM;$250.00;$8,487.50;-50.0;
72;_calendar_(1,716,565,200,000,700,5,up,nm);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:45 AM;;$8,550.00;0.0;
73;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,321.75;5/24/24, 11:50 AM;$200.00;$8,587.50;-50.0;
74;_calendar_(1,716,565,500,000,705,5,dn,nm);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:50 AM;;$8,750.00;0.0;
75;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,321.25;5/24/24, 11:55 AM;$250.00;$8,775.00;-50.0;
76;_calendar_(1,716,565,800,000,710,5,up,nm);Buy to Open;1;50.0;$5,316.25;5/24/24, 11:55 AM;;$9,000.00;0.0;
77;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,321.75;5/24/24, 12:00 PM;$137.50;$8,987.50;-50.0;
78;_calendar_(1,716,566,100,000,715,5,dn,nm);Buy to Open;1;50.0;$5,319.00;5/24/24, 12:00 PM;;$9,137.50;0.0;
79;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:05 PM;$125.00;$9,150.00;-50.0;
80;_calendar_(1,716,566,400,000,720,5,up,nm);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:05 PM;;$9,262.50;0.0;
81;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:10 PM;$137.50;$9,250.00;-50.0;
82;_calendar_(1,716,566,700,000,725,5,dn,nm);Buy to Open;1;50.0;$5,321.00;5/24/24, 12:10 PM;;$9,400.00;0.0;
83;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:15 PM;$162.50;$9,375.00;-50.0;
84;_calendar_(1,716,567,000,000,730,5,up,nm);Buy to Open;1;50.0;$5,322.00;5/24/24, 12:15 PM;;$9,562.50;0.0;
85;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,326.50;5/24/24, 12:20 PM;$162.50;$9,637.50;-50.0;
86;_calendar_(1,716,567,300,000,735,5,up,nm);Buy to Open;1;50.0;$5,323.25;5/24/24, 12:20 PM;;$9,725.00;0.0;
87;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,325.75;5/24/24, 12:25 PM;$100.00;$9,800.00;-50.0;
88;_calendar_(1,716,567,600,000,740,5,dn,nm);Buy to Open;1;50.0;$5,323.75;5/24/24, 12:25 PM;;$9,825.00;0.0;
89;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,326.75;5/24/24, 12:30 PM;$162.50;$10,000.00;-50.0;
90;_calendar_(1,716,567,900,000,745,5,dn,nm);Buy to Open;1;50.0;$5,323.50;5/24/24, 12:30 PM;;$9,987.50;0.0;
91;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:35 PM;$137.50;$10,212.50;-50.0;
92;_calendar_(1,716,568,200,000,750,5,dn,nm);Buy to Open;1;50.0;$5,322.50;5/24/24, 12:35 PM;;$10,125.00;0.0;
93;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:40 PM;$162.50;$10,237.50;-50.0;
94;_calendar_(1,716,568,500,000,755,5,dn,nm);Buy to Open;1;50.0;$5,320.50;5/24/24, 12:40 PM;;$10,287.50;0.0;
95;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:45 PM;$137.50;$10,362.50;-50.0;
96;_calendar_(1,716,568,800,000,760,5,up,nm);Buy to Open;1;50.0;$5,319.75;5/24/24, 12:45 PM;;$10,425.00;0.0;
97;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 12:50 PM;$100.00;$10,300.00;-50.0;
98;_calendar_(1,716,569,100,000,765,5,dn,nm);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:50 PM;;$10,525.00;0.0;
99;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,324.50;5/24/24, 12:55 PM;$225.00;$10,812.50;-50.0;
100;_calendar_(1,716,569,400,000,770,5,up,nm);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:55 PM;;$10,750.00;0.0;
101;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,324.50;5/24/24, 1:00 PM;$287.50;$11,075.00;-50.0;
102;_calendar_(1,716,569,700,000,775,5,dn,nm);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:00 PM;;$11,037.50;0.0;
103;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,321.50;5/24/24, 1:05 PM;$175.00;$11,237.50;-50.0;
104;_calendar_(1,716,570,000,000,780,5,dn,nm);Buy to Open;1;50.0;$5,318.00;5/24/24, 1:05 PM;;$11,212.50;0.0;
105;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,319.50;5/24/24, 1:10 PM;$125.00;$11,087.50;-50.0;
106;_calendar_(1,716,570,300,000,785,5,dn,nm);Buy to Open;1;50.0;$5,317.00;5/24/24, 1:10 PM;;$11,337.50;0.0;
107;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.25;5/24/24, 1:15 PM;$250.00;$11,387.50;-50.0;
108;_calendar_(1,716,570,600,000,790,5,up,nm);Buy to Open;1;50.0;$5,317.25;5/24/24, 1:15 PM;;$11,587.50;0.0;
109;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 1:20 PM;$137.50;$11,537.50;-50.0;
110;_calendar_(1,716,570,900,000,795,5,dn,nm);Buy to Open;1;50.0;$5,319.75;5/24/24, 1:20 PM;;$11,725.00;0.0;
111;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,323.50;5/24/24, 1:25 PM;$150.00;$11,762.50;-50.0;
112;_calendar_(1,716,571,200,000,800,5,up,nm);Buy to Open;1;50.0;$5,320.50;5/24/24, 1:25 PM;;$11,875.00;0.0;
113;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,325.50;5/24/24, 1:30 PM;$150.00;$12,150.00;-50.0;
114;_calendar_(1,716,571,500,000,805,5,dn,nm);Buy to Open;1;50.0;$5,322.50;5/24/24, 1:30 PM;;$12,025.00;0.0;
115;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,323.00;5/24/24, 1:35 PM;$212.50;$12,075.00;-50.0;
116;_calendar_(1,716,571,800,000,810,5,dn,nm);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:35 PM;;$12,237.50;0.0;
117;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 1:40 PM;$87.50;$12,312.50;-50.0;
118;_calendar_(1,716,572,100,000,815,5,up,nm);Buy to Open;1;50.0;$5,320.25;5/24/24, 1:40 PM;;$12,325.00;0.0;
119;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 1:45 PM;$162.50;$12,375.00;-50.0;
120;_calendar_(1,716,572,400,000,820,5,dn,nm);Buy to Open;1;50.0;$5,318.75;5/24/24, 1:45 PM;;$12,487.50;0.0;
121;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,321.00;5/24/24, 1:50 PM;$100.00;$12,425.00;-50.0;
122;_calendar_(1,716,572,700,000,825,5,up,nm);Buy to Open;1;50.0;$5,319.00;5/24/24, 1:50 PM;;$12,587.50;0.0;
123;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 1:55 PM;$87.50;$12,600.00;-50.0;
124;_calendar_(1,716,573,000,000,830,5,up,nm);Buy to Open;1;50.0;$5,320.75;5/24/24, 1:55 PM;;$12,675.00;0.0;
125;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,324.25;5/24/24, 2:00 PM;$125.00;$12,612.50;-50.0;
126;_calendar_(1,716,573,300,000,835,5,up,nm);Buy to Open;1;50.0;$5,321.75;5/24/24, 2:00 PM;;$12,800.00;0.0;
127;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,326.00;5/24/24, 2:05 PM;$212.50;$12,737.50;-50.0;
128;_calendar_(1,716,573,600,000,840,5,up,nm);Buy to Open;1;50.0;$5,321.75;5/24/24, 2:05 PM;;$13,012.50;0.0;
129;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.75;5/24/24, 2:10 PM;$162.50;$13,137.50;-50.0;
130;_calendar_(1,716,573,900,000,845,5,up,nm);Buy to Open;1;50.0;$5,324.50;5/24/24, 2:10 PM;;$13,175.00;0.0;
131;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.25;5/24/24, 2:15 PM;$200.00;$13,237.50;-50.0;
132;_calendar_(1,716,574,200,000,850,5,dn,nm);Buy to Open;1;50.0;$5,323.25;5/24/24, 2:15 PM;;$13,375.00;0.0;
133;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,327.50;5/24/24, 2:20 PM;$125.00;$13,737.50;-50.0;
134;_calendar_(1,716,574,500,000,855,5,up,nm);Buy to Open;1;50.0;$5,325.00;5/24/24, 2:20 PM;;$13,500.00;0.0;
135;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,326.25;5/24/24, 2:25 PM;$312.50;$13,775.00;-50.0;
136;_calendar_(1,716,574,800,000,860,5,dn,nm);Buy to Open;1;50.0;$5,320.00;5/24/24, 2:25 PM;;$13,812.50;0.0;
137;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 2:30 PM;$100.00;$13,950.00;-50.0;
138;_calendar_(1,716,575,100,000,865,5,up,nm);Buy to Open;1;50.0;$5,320.00;5/24/24, 2:30 PM;;$13,912.50;0.0;
139;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 2:35 PM;$162.50;$13,887.50;-50.0;
140;_calendar_(1,716,575,400,000,870,5,dn,nm);Buy to Open;1;50.0;$5,318.75;5/24/24, 2:35 PM;;$14,075.00;0.0;
141;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 2:40 PM;$212.50;$14,137.50;-50.0;
142;_calendar_(1,716,575,700,000,875,5,up,nm);Buy to Open;1;50.0;$5,318.25;5/24/24, 2:40 PM;;$14,287.50;0.0;
143;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.75;5/24/24, 2:45 PM;$112.50;$14,350.00;-50.0;
144;_calendar_(1,716,576,000,000,880,5,dn,nm);Buy to Open;1;50.0;$5,320.50;5/24/24, 2:45 PM;;$14,400.00;0.0;
145;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.75;5/24/24, 2:50 PM;$100.00;$14,562.50;-50.0;
146;_calendar_(1,716,576,300,000,885,5,up,nm);Buy to Open;1;50.0;$5,320.75;5/24/24, 2:50 PM;;$14,500.00;0.0;
147;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.25;5/24/24, 2:55 PM;$162.50;$14,725.00;-50.0;
148;_calendar_(1,716,576,600,000,890,5,dn,nm);Buy to Open;1;50.0;$5,319.00;5/24/24, 2:55 PM;;$14,662.50;0.0;
149;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.25;5/24/24, 3:00 PM;$162.50;$15,050.00;-50.0;
150;_calendar_(1,716,576,900,000,895,5,dn,nm);Buy to Open;1;50.0;$5,317.00;5/24/24, 3:00 PM;;$14,825.00;0.0;
151;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,317.75;5/24/24, 3:05 PM;$425.00;$15,000.00;-50.0;
152;_calendar_(1,716,577,200,000,900,5,dn,nm);Buy to Open;1;50.0;$5,309.25;5/24/24, 3:05 PM;;$15,250.00;0.0;
153;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,315.25;5/24/24, 3:10 PM;$162.50;$15,275.00;-50.0;
154;_calendar_(1,716,577,500,000,905,5,up,nm);Buy to Open;1;50.0;$5,312.00;5/24/24, 3:10 PM;;$15,412.50;0.0;
155;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,316.50;5/24/24, 3:15 PM;$137.50;$15,387.50;-50.0;
156;_calendar_(1,716,577,800,000,910,5,up,nm);Buy to Open;1;50.0;$5,313.75;5/24/24, 3:15 PM;;$15,550.00;0.0;
157;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,317.50;5/24/24, 3:20 PM;$200.00;$15,625.00;-50.0;
158;_calendar_(1,716,578,100,000,915,5,up,nm);Buy to Open;1;50.0;$5,313.50;5/24/24, 3:20 PM;;$15,750.00;0.0;
159;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,317.25;5/24/24, 3:25 PM;$125.00;$15,825.00;-50.0;
160;_calendar_(1,716,578,400,000,920,5,dn,nm);Buy to Open;1;50.0;$5,314.75;5/24/24, 3:25 PM;;$15,875.00;0.0;
161;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,317.75;5/24/24, 3:30 PM;$137.50;$15,812.50;-50.0;
162;_calendar_(1,716,578,700,000,925,5,dn,nm);Buy to Open;1;50.0;$5,315.00;5/24/24, 3:30 PM;;$16,012.50;0.0;
163;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,319.25;5/24/24, 3:35 PM;$250.00;$15,987.50;-50.0;
164;_calendar_(1,716,579,000,000,930,5,up,nm);Buy to Open;1;50.0;$5,314.25;5/24/24, 3:35 PM;;$16,262.50;0.0;
165;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,322.00;5/24/24, 3:40 PM;$237.50;$16,575.00;-50.0;
166;_calendar_(1,716,579,300,000,935,5,up,nm);Buy to Open;1;50.0;$5,317.25;5/24/24, 3:40 PM;;$16,500.00;0.0;
167;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.00;5/24/24, 3:45 PM;$225.00;$16,750.00;-50.0;
168;_calendar_(1,716,579,600,000,940,5,dn,nm);Buy to Open;1;50.0;$5,315.50;5/24/24, 3:45 PM;;$16,725.00;0.0;
169;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.50;5/27/24, 8:50 AM;$75.00;$16,762.50;-50.0;
170;_calendar_(1,716,813,900,000,525,1,dn,nm);Buy to Open;1;50.0;$5,319.00;5/27/24, 8:50 AM;;$16,800.00;0.0;
171;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.50;5/27/24, 8:55 AM;$62.50;$16,900.00;-50.0;
172;_calendar_(1,716,814,200,000,530,1,up,nm);Buy to Open;1;50.0;$5,319.25;5/27/24, 8:55 AM;;$16,862.50;0.0;
173;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.00;5/27/24, 9:00 AM;$75.00;$16,925.00;-50.0;
174;_calendar_(1,716,814,500,000,535,1,dn,nm);Buy to Open;1;50.0;$5,318.50;5/27/24, 9:00 AM;;$16,937.50;0.0;
175;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,319.00;5/27/24, 9:05 AM;$25.00;$16,912.50;-50.0;
176;_calendar_(1,716,814,800,000,540,1,up,nm);Buy to Open;1;50.0;$5,318.50;5/27/24, 9:05 AM;;$16,962.50;0.0;
177;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,319.50;5/27/24, 9:10 AM;$50.00;$16,950.00;-50.0;
178;_calendar_(1,716,815,100,000,545,1,up,nm);Buy to Open;1;50.0;$5,318.50;5/27/24, 9:10 AM;;$17,012.50;0.0;
179;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.50;5/27/24, 9:15 AM;$62.50;$17,050.00;-50.0;
180;_calendar_(1,716,815,400,000,550,1,up,nm);Buy to Open;1;50.0;$5,319.25;5/27/24, 9:15 AM;;$17,075.00;0.0;
181;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.25;5/27/24, 9:20 AM;$37.50;$17,075.00;-50.0;
182;_calendar_(1,716,815,700,000,555,1,dn,nm);Buy to Open;1;50.0;$5,319.50;5/27/24, 9:20 AM;;$17,112.50;0.0;
183;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.75;5/27/24, 9:25 AM;$75.00;$17,125.00;-50.0;
184;_calendar_(1,716,816,000,000,560,1,up,nm);Buy to Open;1;50.0;$5,319.25;5/27/24, 9:25 AM;;$17,187.50;0.0;
185;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,320.75;5/27/24, 9:30 AM;$37.50;$17,037.50;-50.0;
186;_calendar_(1,716,816,300,000,565,1,dn,nm);Buy to Open;1;50.0;$5,320.00;5/27/24, 9:30 AM;;$17,225.00;0.0;
187;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,324.00;5/27/24, 9:35 AM;$200.00;$17,200.00;-50.0;
