FT,ToD,DoW,MO,DIR,MOVE
1717365600000,1080,1,0,dn,mv
1717365900000,1085,1,0,up,mv
1717366200000,1090,1,0,up,nm
1717366500000,1095,1,0,up,nm
1717366800000,1100,1,0,dn,nm
1717367100000,1105,1,0,dn,nm
1717367400000,1110,1,0,dn,nm
1717367700000,1115,1,0,dn,nm
1717368000000,1120,1,0,up,nm
1717368300000,1125,1,0,dn,nm
1717368600000,1130,1,0,up,nm
1717368900000,1135,1,0,up,nm
1717369200000,1140,1,0,dn,nm
1717369500000,1145,1,0,up,nm
1717369800000,1150,1,0,dn,nm
1717370100000,1155,1,0,up,nm
1717370400000,1160,1,0,up,nm
1717370700000,1165,1,0,dn,nm
1717371000000,1170,1,0,up,nm
1717371300000,1175,1,0,dn,nm
1717371600000,1180,1,0,dn,nm
1717371900000,1185,1,0,up,nm
1717372200000,1190,1,0,up,nm
1717372500000,1195,1,0,up,mv
1717372800000,1200,1,0,up,nm
1717373100000,1205,1,0,up,nm
1717373400000,1210,1,0,dn,nm
1717373700000,1215,1,0,up,nm
1717374000000,1220,1,0,up,nm
1717374300000,1225,1,0,dn,nm
1717374600000,1230,1,0,dn,nm
1717374900000,1235,1,0,dn,nm
1717375200000,1240,1,0,dn,nm
1717375500000,1245,1,0,up,nm
1717375800000,1250,1,0,dn,nm
1717376100000,1255,1,0,up,nm
1717376400000,1260,1,0,dn,nm
1717376700000,1265,1,0,dn,mv
1717377000000,1270,1,0,up,nm
1717377300000,1275,1,0,dn,mv
1717377600000,1280,1,0,up,nm
1717377900000,1285,1,0,dn,nm
1717378200000,1290,1,0,up,mv
1717378500000,1295,1,0,up,nm
1717378800000,1300,1,0,dn,nm
1717379100000,1305,1,0,dn,nm
1717379400000,1310,1,0,dn,mv
1717379700000,1315,1,0,up,mv
1717380000000,1320,1,0,up,nm
1717380300000,1325,1,0,up,nm
1717380600000,1330,1,0,dn,nm
1717380900000,1335,1,0,up,nm
1717381200000,1340,1,0,dn,nm
1717381500000,1345,1,0,dn,nm
1717381800000,1350,1,0,up,nm
1717382100000,1355,1,0,up,nm
1717382400000,1360,1,0,dn,nm
1717382700000,1365,1,0,up,nm
1717383000000,1370,1,0,dn,nm
1717383300000,1375,1,0,up,mv
1717383600000,1380,1,0,up,nm
1717383900000,1385,1,0,up,mv
1717384200000,1390,1,0,dn,mv
1717384500000,1395,1,0,dn,mv
1717384800000,1400,1,0,dn,nm
1717385100000,1405,1,0,dn,nm
1717385400000,1410,1,0,up,nm
1717385700000,1415,1,0,dn,nm
1717386000000,1420,1,0,dn,nm
1717386300000,1425,1,0,dn,nm
1717386600000,1430,1,0,up,mv
1717386900000,1435,1,0,up,nm
1717387200000,0,1,0,dn,nm
1717387500000,5,1,0,dn,nm
1717387800000,10,1,0,dn,mv
1717388100000,15,1,0,up,mv
1717388400000,20,1,0,up,mv
1717388700000,25,1,0,up,nm
