FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff,FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60,FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728338400000,-0.0217,-0.0261,-0.0174,-0.0036,0.0011,0.0087,-0.0261,-0.0275,-0.0094,-0.0105,22.2222,0.1704,-5.2419,-9.8811,-0.0067,0.0242,1728338400000,1110,1142.5,966.6667,1232.1667,1802.75,-2.8446,14.8276,-9.9148,-38.4274,-54.4931,-78.0513,-0.0011,-0.0013,-0.001,-0.0002,0.0,1728338400000,1080,2,0,dn,dn,-0.25,0.0,nm,nm,0.2109,0.0
1728338700000,-0.0043,-0.013,-0.0188,-0.0101,0.0007,0.0174,0.0022,-0.0174,-0.0217,-0.0004,12.0,-0.7552,5.3761,10.618,0.0043,0.0006,1728338700000,346,728.0,877.0,1016.0,1399.25,-52.4725,-60.5473,-65.9449,-75.2725,-24.0331,-24.2917,-0.0007,-0.001,-0.0012,-0.0006,0.0,1728338700000,1085,2,0,up,dn,0.5,-1.25,nm,nm,0.7442,0.3568
1728339000000,0.0087,0.0022,-0.0058,-0.008,0.0007,0.013,0.0283,0.0043,-0.0174,-0.0047,16.6667,-0.0698,5.532,0.1558,-0.0016,-0.005,1728339000000,236,291.0,564.0,775.0,1146.75,-18.9003,-58.156,-69.5484,-79.4201,-35.1564,-38.7792,0.0021,0.0004,-0.0006,-0.0006,0.0,1728339000000,1090,2,0,dn,dn,-0.25,-1.75,nm,nm,0.3193,0.5648
1728339300000,-0.0043,0.0022,0.0,-0.0087,-0.0004,-0.013,0.0152,0.0174,-0.0167,-0.0033,12.5,-0.8817,7.404,1.872,-0.0075,-0.0044,1728339300000,179,207.5,253.6667,610.1667,1004.5,-13.7349,-29.435,-70.6638,-82.1802,-19.5187,-15.603,-0.0014,0.0006,0.0,-0.0008,-0.0,1728339300000,1095,2,0,dn,dn,-1.5,-15.75,nm,mv,1.964,5.0928
1728339600000,-0.0261,-0.0152,-0.0072,-0.013,-0.0025,-0.0217,-0.0174,0.0116,-0.021,-0.0022,10.0,-3.8444,1.8711,-5.533,0.0048,-0.0101,1728339600000,549,364.0,321.3333,599.1667,948.8333,50.8242,70.8506,-8.3727,-42.1395,-10.5574,-26.7938,-0.0027,-0.0024,-0.0013,-0.0013,-0.0002,1728339600000,1100,2,0,dn,dn,0.0,-6.25,nm,mv,0.0,2.4005
1728339900000,0.0,-0.013,-0.0101,-0.008,-0.0025,0.0261,-0.0152,-0.0043,-0.0109,-0.0051,22.8571,-3.289,1.4416,-0.4294,-0.0024,0.0012,1728339900000,400,474.5,376.0,470.0,883.5833,-15.7007,6.383,-14.8936,-54.7298,-20.9373,-2.0445,0.0,-0.0016,-0.0016,-0.001,-0.0002,1728339900000,1105,2,0,dn,dn,-14.25,-5.25,mv,mv,20.402,2.2853
1728340200000,-0.2479,-0.124,-0.0913,-0.0457,-0.0246,-0.2479,-0.1088,-0.0913,-0.042,-0.0355,26.9565,-16.5605,-24.0764,-25.518,0.0467,-0.1169,1728340200000,7617,4008.5,2855.3333,1554.5,1393.3333,90.0212,166.764,389.9968,446.6746,67.5124,28.4897,-0.0019,-0.0018,-0.0018,-0.0017,-0.001,1728340200000,1110,2,0,up,up,8.0,8.75,mv,mv,1.5286,2.1744
1728340500000,0.1395,-0.0544,-0.0362,-0.0217,-0.0159,0.3875,-0.0413,-0.029,-0.0116,-0.0294,54.7826,-1.243,-13.1783,10.8981,-0.0162,0.0523,1728340500000,6103,6860.0,4706.6667,2514.0,1765.0,-11.035,29.6671,142.7605,245.779,48.9012,63.923,0.0013,-0.0005,-0.0004,-0.0005,-0.0005,1728340500000,1115,2,0,up,dn,1.0,-1.75,nm,nm,0.1518,0.4188
1728340800000,0.0174,0.0785,-0.0304,-0.0203,-0.0141,-0.1221,0.2025,-0.0203,-0.0123,-0.0297,58.2609,0.9632,13.7595,26.9378,-0.0056,-0.0024,1728340800000,793,3448.0,4837.6667,2606.8333,1690.9167,-77.0012,-83.6078,-69.58,-53.1024,-11.6658,4.2692,0.0013,0.0013,-0.0004,-0.0004,-0.0005,1728340800000,1120,2,0,dn,dn,-0.25,-1.5,nm,nm,0.0378,0.3553
1728341100000,-0.0044,0.0065,0.0509,-0.0203,-0.0145,-0.0218,0.0609,0.1422,-0.0116,-0.0283,57.3913,0.9173,13.804,0.0445,0.0186,-0.0032,1728341100000,1447,1120.0,2781.0,2818.1667,1714.1667,29.1964,-47.9684,-48.6546,-15.5858,0.2706,6.4908,-0.0002,0.0003,0.001,-0.0004,-0.0005,1728341100000,1125,2,0,dn,dn,-2.5,0.0,mv,nm,0.3782,0.0
1728341400000,-0.0435,-0.0239,-0.0102,-0.0232,-0.0181,-0.0392,-0.1024,0.0261,-0.0102,-0.0192,48.6957,-2.9139,10.4487,-3.3553,0.0033,-0.0341,1728341400000,2203,1825.0,1481.0,3093.8333,1846.5,20.7123,48.7508,-28.7938,19.3068,25.9073,38.2089,-0.0011,-0.0008,-0.0004,-0.0004,-0.0006,1728341400000,1130,2,0,up,up,1.25,8.25,nm,mv,0.1885,1.7227
1728341700000,0.0218,-0.0109,-0.0087,-0.0196,-0.0138,0.0653,-0.0174,0.0217,-0.0116,-0.0181,53.0435,-0.1302,9.7497,-0.699,0.0138,-0.0118,1728341700000,2743,2473.0,2131.0,3484.3333,1977.1667,10.9179,28.7189,-21.2762,38.7339,-14.1939,22.3931,0.0005,-0.0003,-0.0002,-0.0003,-0.0004,1728341700000,1135,2,0,up,up,1.25,3.0,nm,nm,0.1869,0.6291
1728342000000,0.0218,0.0218,0.0,0.0254,-0.0101,-0.0,0.0457,-0.0509,0.0711,-0.0112,67.3469,2.2488,6.6849,-3.0648,-0.0052,0.007,1728342000000,1190,1966.5,2045.3333,2413.1667,1983.8333,-39.4864,-41.8188,-50.6872,-40.0151,-34.0767,-3.6013,0.0011,0.0006,0.0,0.0006,-0.0003,1728342000000,1140,2,0,up,up,5.75,4.75,mv,mv,1.7934,1.0008
1728342300000,0.1001,0.061,0.0479,0.0189,-0.0014,0.0784,0.0719,0.0581,0.0406,-0.0022,90.8163,12.0983,-5.6025,-12.2874,-0.0386,0.0413,1728342300000,3736,2463.0,2556.3333,2018.6667,2266.3333,51.6849,46.1468,85.0727,64.8478,-3.5313,-35.0712,0.0015,0.0014,0.0011,0.0005,-0.0,1728342300000,1145,2,0,dn,dn,-4.0,-1.75,mv,nm,1.6227,0.3394
1728342600000,-0.0696,0.0152,0.0174,0.0044,-0.008,-0.1697,-0.0065,0.0261,0.0246,-0.0087,74.4898,4.4366,2.1883,7.7908,0.0199,-0.0304,1728342600000,787,2261.5,1904.3333,2017.6667,2312.25,-65.2001,-58.6732,-60.9945,-65.9639,-16.1683,-2.4868,-0.0051,0.0004,0.0005,0.0001,-0.0002,1728342600000,1150,2,0,up,up,3.0,0.75,mv,nm,0.9639,0.1452
1728342900000,0.0522,-0.0087,0.0276,0.0138,-0.0033,0.1218,-0.0697,0.0276,0.0341,-0.0029,86.7347,9.5177,3.0868,0.8985,-0.0072,0.0179,1728342900000,567,677.0,1696.6667,1871.0,2344.5833,-16.2482,-66.5815,-69.6954,-75.8166,-8.6781,-4.6702,0.0053,-0.0007,0.0009,0.0004,-0.0001,1728342900000,1155,2,0,dn,dn,-0.75,-4.0,nm,mv,0.2302,0.7541
1728343200000,-0.0131,0.0196,-0.0101,0.0189,-0.0022,-0.0653,0.0043,-0.0581,0.0421,0.0004,83.6735,8.2919,6.1502,3.0635,-0.0012,-0.0157,1728343200000,281,424.0,545.0,1550.6667,2322.25,-33.7264,-48.4404,-81.8788,-87.8997,-6.5801,0.1611,-0.0027,0.0027,-0.0011,0.0007,-0.0001,1728343200000,1160,2,0,dn,dn,-1.5,-3.0,nm,nm,0.4968,0.5656
