Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 11:05 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_participation_;Sell to Close;-1;-50.0;$5,304.25;5/24/24, 8:50 AM;$287.50;$250.00;-50.0;
2;_participation_(1,716,554,700,000,5,463,3,838.5,4,167,3,883.5,2,759,1.4232,1.311,1.4067,1.9801,0.1178,0.2067,N/A,-0.0004,-0.0004,0,0.0002,0);Buy to Open;1;50.0;$5,298.50;5/24/24, 8:50 AM;;$287.50;0.0;
3;_participation_;Sell to Close;-1;-50.0;$5,302.50;5/24/24, 8:55 AM;$162.50;$387.50;-50.0;
4;_participation_(1,716,555,000,000,2,296,3,879.5,3,324.3333,3,728.5,2,838,0.5918,0.6907,0.6158,0.809,-0.1791,0.0097,N/A,-0.001,-0.0006,-0.0005,0.0001,-0.0001);Buy to Open;1;50.0;$5,299.25;5/24/24, 8:55 AM;;$450.00;0.0;
5;_participation_;Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:00 AM;$137.50;$412.50;-50.0;
6;_participation_(1,716,555,300,000,2,214,2,255,3,324.3333,3,787.1667,2,911.25,0.9818,0.666,0.5846,0.7605,-0.0476,0.2528,N/A,0.0006,-0.0002,-0.0003,0.0002,-0);Buy to Open;1;50.0;$5,298.50;5/24/24, 9:00 AM;;$587.50;0.0;
7;_participation_;Sell to Close;-1;-50.0;$5,304.00;5/24/24, 9:05 AM;$187.50;$775.00;-50.0;
8;_participation_(1,716,555,600,000,4,200,3,207,2,903.3333,3,535.1667,3,047.3333,1.3096,1.4466,1.1881,1.3783,0.1483,0.0496,N/A,0.0004,0.0004,0.0001,0,0.0001);Buy to Open;1;50.0;$5,300.25;5/24/24, 9:05 AM;;$775.00;0.0;
9;_participation_;Sell to Close;-1;-50.0;$5,302.00;5/24/24, 9:10 AM;$112.50;$875.00;-50.0;
10;_participation_(1,716,555,900,000,2,702,3,451,3,038.6667,3,181.5,3,167,0.783,0.8892,0.8493,0.8532,-0.057,0.135,N/A,-0.0006,-0,0.0001,-0.0002,0);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:10 AM;;$887.50;0.0;
11;_participation_;Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:15 AM;$75.00;$950.00;-50.0;
12;_participation_(1,716,556,200,000,1,946,2,324,2,949.3333,3,136.8333,3,205.5833,0.8373,0.6598,0.6204,0.6071,-0.0166,0.05,N/A,-0.0001,-0.0004,-0.0001,-0.0002,0.0001);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:15 AM;;$962.50;0.0;
13;_participation_;Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:20 AM;$112.50;$1,012.50;-50.0;
14;_participation_(1,716,556,500,000,2,747,2,346.5,2,465,2,684.1667,3,283.8333,1.1707,1.1144,1.0234,0.8365,-0.0562,0.0598,N/A,0,-0.0001,-0.0003,-0.0001,0.0001);Buy to Open;1;50.0;$5,299.00;5/24/24, 9:20 AM;;$1,075.00;0.0;
15;_participation_;Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:25 AM;$112.50;$862.50;-50.0;
16;_participation_(1,716,556,800,000,2,442,2,594.5,2,378.3333,2,708.5,3,218.5,0.9412,1.0268,0.9016,0.7587,-0.1892,-0.0042,N/A,0.0001,0,0,0.0001,0.0001);Buy to Open;1;50.0;$5,298.25;5/24/24, 9:25 AM;;$1,187.50;0.0;
17;_participation_;Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:30 AM;$325.00;$1,212.50;-50.0;
18;_participation_(1,716,557,100,000,8,371,5,406.5,4,520,3,734.6667,3,760.9167,1.5483,1.852,2.2414,2.2258,0.2108,-0.8571,N/A,0.0005,0.0004,0.0004,0.0002,0.0002);Buy to Open;1;50.0;$5,299.25;5/24/24, 9:30 AM;;$1,512.50;0.0;
19;_participation_;Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:35 AM;$300.00;$1,687.50;-50.0;
20;_participation_(1,716,557,400,000,36,294,22,332.5,15,702.3333,9,083.6667,6,309.4167,1.6252,2.3114,3.9955,5.7524,0.1536,-0.1322,N/A,0,0.0001,0.0001,0.0001,0);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:35 AM;;$1,812.50;0.0;
21;_participation_;Sell to Close;-1;-50.0;$5,307.00;5/24/24, 9:40 AM;$262.50;$1,912.50;-50.0;
22;_participation_(1,716,557,700,000,22,915,29,604.5,22,526.6667,12,452.5,7,817,0.774,1.0172,1.8402,2.9314,0.0725,0.1419,N/A,-0.0001,-0,0,0,-0);Buy to Open;1;50.0;$5,301.75;5/24/24, 9:40 AM;;$2,075.00;0.0;
23;_participation_;Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:45 AM;$237.50;$2,350.00;-50.0;
