Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 10:20 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_trend_(SellClose);Sell to Close;-1;-50.0;$5,304.25;5/24/24, 8:50 AM;$287.50;$250.00;-50.0;
2;_trend_(1,716,554,700,000,0.9996,0.4997,0.3333,0.1668,0.0834,0.9997,0.4989,0.3331,0.1669,0.0834,65.1163,-7.1451,-12.5982,-10.3046,0.0001,-0);Buy to Open;1;50.0;$5,298.50;5/24/24, 8:50 AM;;$287.50;0.0;
3;_trend_(SellClose);Sell to Close;-1;-50.0;$5,302.50;5/24/24, 8:55 AM;$162.50;$387.50;-50.0;
4;_trend_(1,716,555,000,000,0.9996,0.4996,0.333,0.1668,0.0833,1,0.4994,0.3325,0.1669,0.0833,44.186,-21.997,-2.6274,9.9707,0.0002,-0.0003);Buy to Open;1;50.0;$5,299.25;5/24/24, 8:55 AM;;$450.00;0.0;
5;_trend_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:00 AM;$137.50;$412.50;-50.0;
6;_trend_(1,716,555,300,000,1.0002,0.4999,0.3331,0.1668,0.0833,1.0007,0.5002,0.3327,0.167,0.0833,55.814,-10.464,0.0578,2.6852,-0.0002,0.0002);Buy to Open;1;50.0;$5,298.50;5/24/24, 9:00 AM;;$587.50;0.0;
7;_trend_(SellClose);Sell to Close;-1;-50.0;$5,304.00;5/24/24, 9:05 AM;$187.50;$775.00;-50.0;
8;_trend_(1,716,555,600,000,1.0003,0.5003,0.3334,0.1667,0.0834,1,0.5007,0.3334,0.1666,0.0834,69.7674,1.3901,-3.8658,-3.9236,0.0001,-0.0001);Buy to Open;1;50.0;$5,300.25;5/24/24, 9:05 AM;;$775.00;0.0;
9;_trend_(SellClose);Sell to Close;-1;-50.0;$5,302.00;5/24/24, 9:10 AM;$112.50;$875.00;-50.0;
10;_trend_(1,716,555,900,000,0.9997,0.5,0.3334,0.1665,0.0833,0.9994,0.5001,0.3337,0.1664,0.0834,53.4884,-12.6662,1.75,5.6158,0.0003,-0.0002);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:10 AM;;$887.50;0.0;
11;_trend_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:15 AM;$75.00;$950.00;-50.0;
12;_trend_(1,716,556,200,000,1,0.4998,0.3333,0.1665,0.0834,1.0003,0.4996,0.3335,0.1664,0.0834,51.1628,-13.5346,4.2268,2.4767,0,0.0001);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:15 AM;;$962.50;0.0;
13;_trend_(SellClose);Sell to Close;-1;-50.0;$5,301.25;5/24/24, 9:20 AM;$112.50;$1,012.50;-50.0;
14;_trend_(1,716,556,500,000,1,0.5,0.3332,0.1666,0.0834,1,0.5,0.3332,0.1665,0.0834,51.1628,-12.8278,1.5382,-2.6886,-0.0001,-0);Buy to Open;1;50.0;$5,299.00;5/24/24, 9:20 AM;;$1,075.00;0.0;
15;_trend_(SellClose);Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:25 AM;$112.50;$862.50;-50.0;
16;_trend_(1,716,556,800,000,1,0.5,0.3333,0.1667,0.0834,1,0.5002,0.3333,0.1666,0.0834,53.4884,-10.6114,1.5526,0.0144,-0.0005,0.0002);Buy to Open;1;50.0;$5,298.25;5/24/24, 9:25 AM;;$1,187.50;0.0;
17;_trend_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:30 AM;$325.00;$1,212.50;-50.0;
18;_trend_(1,716,557,100,000,1.0008,0.5004,0.3336,0.1668,0.0835,1.0008,0.5005,0.3337,0.1667,0.0835,91.1111,19.3617,-10.3778,-11.9304,-0.0005,-0.0002);Buy to Open;1;50.0;$5,299.25;5/24/24, 9:30 AM;;$1,512.50;0.0;
19;_trend_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:35 AM;$300.00;$1,687.50;-50.0;
20;_trend_(1,716,557,400,000,1.0001,0.5005,0.3337,0.1668,0.0834,0.9992,0.5004,0.3338,0.1668,0.0833,93.3333,22.8762,-8.597,1.7808,0.0005,0.0005);Buy to Open;1;50.0;$5,299.75;5/24/24, 9:35 AM;;$1,812.50;0.0;
21;_trend_(SellClose);Sell to Close;-1;-50.0;$5,307.00;5/24/24, 9:40 AM;$262.50;$1,912.50;-50.0;
22;_trend_(1,716,557,700,000,0.9994,0.4998,0.3335,0.1667,0.0833,0.9993,0.4993,0.3335,0.1669,0.0832,45.7143,-7.9095,-5.0398,3.5571,0.001,-0.0009);Buy to Open;1;50.0;$5,301.75;5/24/24, 9:40 AM;;$2,075.00;0.0;
23;_trend_(SellClose);Sell to Close;-1;-50.0;$5,305.75;5/24/24, 9:45 AM;$237.50;$2,350.00;-50.0;
24;_trend_(1,716,558,000,000,1.0005,0.5,0.3333,0.1668,0.0834,1.0011,0.4995,0.3331,0.1669,0.0833,77.1429,14.6302,-3.264,1.7758,-0.0007,0.0009);Buy to Open;1;50.0;$5,301.00;5/24/24, 9:45 AM;;$2,312.50;0.0;
25;_trend_(SellClose);Sell to Close;-1;-50.0;$5,306.50;5/24/24, 9:50 AM;$412.50;$2,862.50;-50.0;
26;_trend_(1,716,558,300,000,0.9991,0.4998,0.333,0.1667,0.0833,0.9986,0.5,0.3327,0.1667,0.0833,22.8571,-21.102,-15.2244,-11.9604,-0.0002,0.0004);Buy to Open;1;50.0;$5,298.25;5/24/24, 9:50 AM;;$2,725.00;0.0;
27;_trend_(SellClose);Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:55 AM;$287.50;$2,825.00;-50.0;
28;_trend_(1,716,558,600,000,0.9991,0.4991,0.3329,0.1665,0.0833,1,0.4991,0.3328,0.1665,0.0833,6.1224,-55.2089,-6.1728,9.0516,0.0002,-0.0005);Buy to Open;1;50.0;$5,294.75;5/24/24, 9:55 AM;;$3,012.50;0.0;
29;_trend_(SellClose);Sell to Close;-1;-50.0;$5,299.25;5/24/24, 10:00 AM;$187.50;$2,750.00;-50.0;
30;_trend_(1,716,558,900,000,1.0006,0.4998,0.3329,0.1665,0.0833,1.0015,0.5,0.3329,0.1663,0.0833,30.6122,-28.5871,-0.6757,5.4971,-0.0005,0.0003);Buy to Open;1;50.0;$5,295.50;5/24/24, 10:00 AM;;$3,200.00;0.0;
31;_trend_(SellClose);Sell to Close;-1;-50.0;$5,309.50;5/24/24, 10:05 AM;$575.00;$3,450.00;-50.0;
32;_trend_(1,716,559,200,000,1.0011,0.5008,0.3336,0.1666,0.0834,1.0006,0.5017,0.3339,0.1665,0.0833,66.1017,6.774,-13.6657,-12.99,-0.0003,0.0006);Buy to Open;1;50.0;$5,298.00;5/24/24, 10:05 AM;;$3,775.00;0.0;
33;_trend_(SellClose);Sell to Close;-1;-50.0;$5,307.75;5/24/24, 10:10 AM;$287.50;$3,962.50;-50.0;
