FT,FullK,diffKD,OB,OS,vol,s15,s30,s60,ToD,Inertias,percBB,spreadRSI,ADX,RSI,Wpercent,acc,bull15,bear15,bull30,bear30,bull60,bear60
1647468000000,79.717,-6.7632,0,0,1140,-5.5,-5.5,11.75,1080,1497.4036,28.9978,-2.2548,49.1078,63.3014,-47.2527,-32,in,in,in,in,in,in
1647468300000,79.803,-3.4779,0,0,452,-4.75,-4.25,10,1085,660.6635,19.2279,-7.8056,48.4048,63.681,-49.3976,-30,in,in,in,in,in,in
1647468600000,73.8693,-3.9271,0,0,689,-6.5,-12,5.5,1090,1253.4815,-40.5508,-5.3392,47.2769,59.9599,-68.4211,-41,in,in,in,in,in,in
1647468900000,64,-8.5574,0,0,523,-2.75,-8.25,-2.75,1095,1153.3865,-36.0233,-8.3967,46.0769,59.2729,-96.4286,-32.25,in,in,in,in,in,in
1647469200000,54.4118,-9.6819,0,0,844,-5.5,-10,-9.25,1100,2169.7014,-37.8638,-6.4055,44.3061,56.4506,-96.875,-34.75,in,in,in,in,in,in
1647469500000,35.8696,-15.5575,0,0,1031,-1.75,-8.25,-8.25,1105,2872.3118,-15.4007,-5.9751,42.2703,57.2827,-85.5072,-20,in,in,in,in,in,in
1647469800000,30.7692,-9.581,0,0,828,-2.25,-5,-10.5,1110,2472.8305,-13.4615,-2.9355,40.0698,55.7338,-86.3014,-22,in,in,in,in,in,in
1647470100000,30.1205,-2.1326,0,0,299,1,-4.5,-8.5,1115,926.1989,7.3121,-5.8675,38.0528,57.308,-79.4521,-18.75,in,in,in,in,in,in
1647470400000,22.3684,-5.3843,0,0,408,0,-1.75,-13.75,1120,1355.0537,9.6153,-6.3011,36.5362,56.8667,-80,-19.75,in,in,in,in,in,in
1647470700000,21.9178,-2.8844,0,0,183,1.75,-0.75,-9,1125,665.6961,22.3273,-7.7755,35.0438,57.5793,-75,-6.5,in,in,in,in,in,in
1647471000000,23.2877,0.763,0,0,236,0.75,1.5,-8.5,1130,1033.5396,32.8403,-6.698,33.6757,57.9582,-71.1864,1,in,in,in,in,in,in
1647471300000,23.2877,0.4566,0,0,291,0.75,0.75,-7.5,1135,1694.5663,42.3304,-6.6395,32.5033,57.9582,-67.3077,-0.25,in,in,in,in,in,in
1647471600000,21.9178,-0.9132,0,0,902,0,1.75,-3.5,1140,5082.0404,42.3249,0.1048,32.2063,57.3487,-54.2857,6.75,in,in,in,in,in,in
1647471900000,8.2192,-9.589,0,1,541,-2.5,-2,-6.75,1145,2757.065,-60.4634,-4.0652,31.2942,51.4464,-82.3529,2.25,in,in,in,in,in,in
1647472200000,8.3333,-4.4901,0,1,821,-3.5,-2.5,-4.25,1150,3600.2164,-54.6797,-3.5429,29.6157,50.3165,-80.6452,9.75,in,in,in,in,in,in
