FT,ToD,DoW,DIR,MOVE
1080,3,0,dn,nm
1085,3,0,up,nm
1090,3,0,dn,nm
1095,3,0,dn,nm
1100,3,0,dn,nm
1105,3,0,up,nm
1110,3,0,dn,nm
1115,3,0,up,nm
1120,3,0,dn,nm
1125,3,0,up,nm
1130,3,0,dn,nm
1135,3,0,dn,nm
1140,3,0,dn,nm
1145,3,0,dn,nm
1150,3,0,dn,nm
1155,3,0,up,nm
1160,3,0,up,nm
1165,3,0,dn,nm
1170,3,0,up,nm
1175,3,0,dn,mv
1180,3,0,dn,mv
1185,3,0,dn,nm
1190,3,0,dn,nm
1195,3,0,dn,nm
1200,3,0,up,nm
1205,3,0,dn,nm
1210,3,0,dn,nm
1215,3,0,dn,nm
1220,3,0,up,mv
1225,3,0,dn,mv
1230,3,0,dn,nm
1235,3,0,dn,mv
1240,3,0,dn,nm
1245,3,0,up,mv
1250,3,0,dn,nm
1255,3,0,up,nm
1260,3,0,dn,nm
1265,3,0,dn,mv
1270,3,0,dn,mv
1275,3,0,up,nm
1280,3,0,up,mv
1285,3,0,dn,mv
1290,3,0,dn,nm
1295,3,0,dn,mv
1300,3,0,up,mv
1305,3,0,up,nm
1310,3,0,up,mv
1315,3,0,dn,nm
1320,3,0,dn,nm
1325,3,0,dn,nm
1330,3,0,up,nm
1335,3,0,dn,nm
1340,3,0,dn,mv
1345,3,0,up,mv
1350,3,0,dn,mv
1355,3,0,dn,mv
1360,3,0,dn,mv
1365,3,0,dn,mv
1370,3,0,dn,mv
1375,3,0,dn,mv
1380,3,0,dn,mv
1385,3,0,dn,mv
1390,3,0,dn,mv
1395,3,0,dn,nm
1400,3,0,up,nm
1405,3,0,dn,nm
1410,3,0,up,nm
1415,3,0,dn,nm
1420,3,0,dn,nm
1425,3,0,up,nm
1430,3,0,up,nm
1435,3,0,dn,nm
0,3,0,dn,nm
5,3,0,dn,mv
10,3,0,up,mv
15,3,0,up,mv
20,3,0,up,nm
25,3,0,up,nm
30,3,0,dn,nm
35,3,0,up,nm
40,3,0,dn,nm
45,3,0,dn,nm
50,3,0,dn,mv
55,3,0,up,nm
60,3,0,dn,nm
65,3,0,up,mv
70,3,0,dn,mv
75,3,0,dn,mv
80,3,0,dn,mv
85,3,0,dn,mv
90,3,0,dn,nm
95,3,0,dn,nm
100,3,0,up,mv
105,3,0,up,mv
110,3,0,dn,mv
115,3,0,dn,nm
120,3,0,up,nm
125,3,0,dn,mv
130,3,0,dn,mv
135,3,0,up,mv
140,3,0,up,mv
145,3,0,up,nm
150,3,0,up,nm
155,3,0,dn,nm
160,3,0,dn,nm
165,3,0,up,nm
170,3,0,dn,mv
175,3,0,dn,nm
180,3,0,up,mv
185,3,0,dn,mv
190,3,0,up,mv
195,3,0,up,mv
200,3,0,dn,mv
205,3,0,dn,mv
210,3,0,dn,mv
215,3,0,up,mv
220,3,0,up,mv
225,3,0,up,mv
230,3,0,dn,nm
235,3,0,up,mv
240,3,0,up,mv
245,3,0,dn,nm
250,3,0,dn,mv
255,3,0,dn,nm
260,3,0,up,nm
265,3,0,up,mv
270,3,0,dn,nm
275,3,0,up,nm
280,3,0,dn,mv
285,3,0,dn,nm
