FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff,FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60,FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728252000000,0.1596,0.0776,0.0561,0.0201,0.0093,0.1639,0.082,0.0719,0.0216,-0.0126,83.6735,9.4378,-4.5481,-10.2653,-0.0259,0.0248,1728252000000,5017,6176.0,4438.0,3881.3333,3245.5,-18.7662,13.0464,29.2597,54.5833,-116.3397,-96.8531,0.0018,0.0007,0.0007,0.0003,0.0002,1728252000000,1080,1,0,up,up,1.75,2.5,nm,nm,0.4739,0.7543
1728252300000,0.0301,0.0949,0.0618,0.0252,0.0093,-0.1295,0.0906,0.0733,0.0316,-0.0126,92.3077,11.2434,1.916,6.4641,-0.0208,0.0057,1728252300000,1096,3056.5,4482.6667,3913.5,2962.5833,-64.142,-75.5503,-71.9944,-63.0053,-34.3997,-9.5341,0.0016,0.0018,0.0008,0.0004,0.0002,1728252300000,1085,1,0,up,dn,1.0,-1.25,nm,nm,0.2733,0.3196
1728252600000,0.0172,0.0237,0.069,0.0323,0.0108,-0.0129,-0.054,0.0733,0.0431,-0.0116,100.0,12.7787,2.2063,0.2902,-0.0219,0.0223,1728252600000,876,986.0,2329.6667,3259.8333,2631.5,-11.1562,-62.3981,-73.1275,-66.711,-39.87,-39.2638,0.0011,0.0014,0.0017,0.0006,0.0002,1728252600000,1090,1,0,dn,dn,-0.25,0.0,nm,nm,0.0728,0.0
1728252900000,-0.0043,0.0065,0.0144,0.0352,0.0122,-0.0215,-0.0884,-0.0417,0.046,-0.0065,98.0769,11.307,3.1101,0.9038,-0.0027,-0.0056,1728252900000,986,931.0,986.0,2712.0,2538.1667,5.9076,0.0,-63.6431,-61.1531,-31.4285,-69.6776,-0.0003,0.0004,0.0008,0.0008,0.0003,1728252900000,1095,1,0,dn,dn,-2.0,-4.0,mv,mv,0.6062,0.9081
1728253200000,-0.0344,-0.0194,-0.0072,0.0273,0.009,-0.0301,-0.0431,-0.069,0.0367,-0.0029,81.1321,5.7617,0.74,-2.3701,0.0063,-0.0075,1728253200000,549,767.5,803.6667,2643.1667,2454.5833,-28.4691,-31.6881,-79.2295,-77.6337,-25.7309,-29.1156,-0.0036,-0.0015,-0.0005,0.0006,0.0002,1728253200000,1100,1,0,up,dn,2.25,-0.5,mv,nm,0.6212,0.1126
1728253500000,0.0388,0.0022,0.0,0.0345,0.0122,0.0732,-0.0043,-0.069,0.0446,0.0011,98.1132,9.9991,1.8141,1.0742,-0.0224,0.0205,1728253500000,375,462.0,636.6667,1483.1667,2380.0,-18.8312,-41.0995,-74.7163,-84.2437,-20.7613,-7.6833,0.006,0.0003,0.0,0.0013,0.0003,1728253500000,1105,1,0,dn,dn,-4.25,-2.5,mv,nm,1.2041,0.5615
1728253800000,-0.0732,-0.0172,-0.023,-0.0043,0.0079,-0.1119,0.0021,-0.0373,-0.0244,0.0061,64.8148,-0.9434,-7.3083,-9.1225,0.038,-0.0219,1728253800000,1474,924.5,799.3333,892.6667,2387.0,59.4375,84.4037,65.1232,-38.2488,-49.566,75.4145,-0.0029,-0.0011,-0.0017,-0.0003,0.0002,1728253800000,1110,1,0,up,up,1.5,1.0,nm,nm,0.6612,0.2165
1728254100000,0.0258,-0.0237,-0.0029,-0.005,0.0101,0.099,-0.0258,0.0043,-0.0302,0.0072,75.9259,2.0198,0.3858,7.6942,0.0046,0.031,1728254100000,724,1099.0,857.6667,830.6667,2372.0833,-34.1219,-15.5849,-12.8411,-69.4783,8.7062,-27.7347,0.0021,-0.0013,-0.0002,-0.0004,0.0002,1728254100000,1115,1,0,up,dn,0.25,-1.25,nm,nm,0.1119,0.2698
1728254400000,0.0043,0.0151,-0.0143,-0.0072,0.0126,-0.0215,0.0323,-0.0143,-0.0395,0.0162,77.7778,1.712,3.9286,3.5428,-0.0113,0.0006,1728254400000,416,570.0,871.3333,754.0,2006.9167,-27.0175,-52.2571,-44.8276,-79.2717,15.668,-34.4451,0.0006,0.0015,-0.001,-0.0006,0.0004,1728254400000,1120,1,0,dn,dn,-0.75,-0.25,nm,nm,0.3444,0.0532
1728254700000,-0.0129,-0.0043,0.0057,-0.0086,0.0133,-0.0172,0.0194,0.0287,-0.0438,0.0158,71.6981,-1.1092,3.9947,0.0661,0.0176,-0.013,1728254700000,392,404.0,510.6667,655.0,1683.5,-2.9703,-23.2376,-40.1527,-76.7152,14.2568,26.0238,-0.0019,-0.0006,0.0007,-0.0008,0.0005,1728254700000,1125,1,0,dn,up,-0.75,3.25,nm,mv,0.3441,0.6918
