FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,vpm5,vpm10,vpm15,vpm30,vpm60,ToD,DoW,MO,Dr3_Model,Dr3,Dc1,Dc3,Dr1,Mc1,Mc3,Mr1,Mr3
1728253500000,0.0388,0.0022,0.0,0.0345,0.0122,0.0732,-0.0043,-0.069,0.0446,0.0011,98.1132,9.9991,1.8141,1.0742,375.0,462.0,636.6667,1483.1667,2380.0,-18.8312,-41.0995,-74.7163,-84.2437,0.006,0.0003,0.0,0.0013,0.0003,1105.0,1.0,0.0,2.084353,-2.5,dn,dn,-4.25,mv,nm,1.2041,0.5615
1728253800000,-0.0732,-0.0172,-0.023,-0.0043,0.0079,-0.1119,0.0021,-0.0373,-0.0244,0.0061,64.8148,-0.9434,-7.3083,-9.1225,1474.0,924.5,799.3333,892.6667,2387.0,59.4375,84.4037,65.1232,-38.2488,-0.0029,-0.0011,-0.0017,-0.0003,0.0002,1110.0,1.0,0.0,0.025369257,1.0,up,up,1.5,nm,nm,0.6612,0.2165
1728254100000,0.0258,-0.0237,-0.0029,-0.005,0.0101,0.099,-0.0258,0.0043,-0.0302,0.0072,75.9259,2.0198,0.3858,7.6942,724.0,1099.0,857.6667,830.6667,2372.0833,-34.1219,-15.5849,-12.8411,-69.4783,0.0021,-0.0013,-0.0002,-0.0004,0.0002,1115.0,1.0,0.0,7.009391,-1.25,up,dn,0.25,nm,nm,0.1119,0.2698
1728254400000,0.0043,0.0151,-0.0143,-0.0072,0.0126,-0.0215,0.0323,-0.0143,-0.0395,0.0162,77.7778,1.712,3.9286,3.5428,416.0,570.0,871.3333,754.0,2006.9167,-27.0175,-52.2571,-44.8276,-79.2717,0.0006,0.0015,-0.001,-0.0006,0.0004,1120.0,1.0,0.0,6.4501467,-0.25,dn,dn,-0.75,nm,nm,0.3444,0.0532
1728254700000,-0.0129,-0.0043,0.0057,-0.0086,0.0133,-0.0172,0.0194,0.0287,-0.0438,0.0158,71.6981,-1.1092,3.9947,0.0661,392.0,404.0,510.6667,655.0,1683.5,-2.9703,-23.2376,-40.1527,-76.7152,-0.0019,-0.0006,0.0007,-0.0008,0.0005,1125.0,1.0,0.0,3.973774,3.25,dn,up,-0.75,nm,mv,0.3441,0.6918
1728255000000,-0.0129,-0.0129,-0.0072,-0.005,0.0111,-0.0,-0.028,-0.0043,-0.0323,0.0155,66.0377,-3.8261,2.1992,-1.7956,464.0,428.0,424.0,640.8333,1642.0,8.4112,9.434,-27.5943,-71.7418,-0.0016,-0.0018,-0.001,-0.0005,0.0004,1130.0,1.0,0.0,2.640829,3.0,up,up,1.25,nm,mv,0.5999,0.6378
1728255300000,0.0215,0.0043,-0.0014,-0.0079,0.0133,0.0345,0.0086,0.0129,-0.0424,0.0194,61.7647,-2.1065,1.9696,-0.2295,321.0,392.5,392.3333,631.8333,1057.5,-18.2166,-18.1818,-49.1955,-69.6454,0.0039,0.0006,-0.0002,-0.0007,0.0007,1135.0,1.0,0.0,2.6736097,2.25,up,up,2.75,mv,nm,1.4426,0.4797
1728255600000,0.0474,0.0345,0.0187,0.0122,0.0039,0.0258,0.0474,0.0129,0.0165,-0.0054,90.9091,4.1134,-1.4977,-3.4673,922.0,621.5,569.0,539.8333,716.25,48.3508,62.0387,70.7935,28.726,0.003,0.0032,0.0019,0.0013,0.0003,1140.0,1.0,0.0,4.5301294,-1.25,dn,dn,-1.0,nm,nm,0.7925,0.2661
1728255900000,-0.0172,0.0151,0.0172,0.005,0.0,-0.0646,0.0108,0.0244,0.01,-0.0093,72.7273,1.8519,1.7185,3.2162,492.0,707.0,578.3333,501.1667,665.9167,-30.4102,-14.928,-1.8291,-26.1169,-0.002,0.0012,0.0017,0.0006,0.0,1145.0,1.0,0.0,3.6456804,-2.75,up,dn,0.5,nm,mv,0.3726,0.5877
1728256200000,0.0086,-0.0043,0.0129,0.0057,-0.0007,0.0258,-0.0388,0.0144,0.0129,-0.0115,81.8182,3.2326,2.9662,1.2477,258.0,375.0,557.3333,474.8333,614.4167,-31.2,-53.7081,-45.6651,-58.009,0.0019,-0.0007,0.0013,0.0007,-0.0001,1150.0,1.0,0.0,2.817284,-2.75,dn,dn,-0.75,nm,mv,0.5582,0.6011
