FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff,FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60,FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728277200000,0.0017,0.014,0.0006,0.0035,0.0006,-0.0245,0.0148,-0.0058,0.0058,0.0039,76.3158,10.9968,3.476,0.0,0.0006,0.0081,1728277200000,3,4.0,36.0,38.8333,217.4167,-25.0,-91.6667,-92.2747,-98.6202,-55.0158,-76.3868,0.0033,0.02,0.0001,0.0005,0.0,1728277200000,60,1,0,dn,dn,-0.07,-0.21,nm,mv,0.6715,1.3603
1728277500000,-0.0122,-0.0052,0.0052,0.0029,0.002,-0.014,-0.0052,0.0047,0.0017,0.0065,57.8947,4.4667,-0.6457,-4.1216,-0.0019,-0.0311,1728277500000,21,12.0,9.6667,23.1667,193.5833,75.0,117.2414,-9.3525,-89.152,-66.0078,-95.1932,-0.0033,-0.0025,0.0031,0.0007,0.0001,1728277500000,65,1,0,dn,dn,-0.11,-0.19,mv,mv,1.0307,1.2682
1728277800000,-0.0192,-0.0157,-0.0099,-0.0009,0.0004,-0.007,-0.0297,-0.018,-0.0026,0.0063,22.8571,-4.55,3.2303,3.8759,0.0098,0.0279,1728277800000,1,11.0,8.3333,22.5,151.9167,-90.9091,-88.0,-95.5556,-99.3417,-57.1208,-119.2197,-0.11,-0.0082,-0.0068,-0.0002,0.0,1728277800000,70,1,0,dn,dn,-0.03,-0.08,nm,nm,0.2573,0.5411
1728278100000,-0.0052,-0.0122,-0.0122,-0.0058,0.0007,0.014,-0.007,-0.0128,-0.0131,0.0036,3.2258,-7.2468,2.2329,-0.9974,0.0123,0.0114,1728278100000,23,12.0,15.0,25.5,144.1667,91.6667,53.3333,-9.8039,-84.0462,-46.2991,-5.6373,-0.0013,-0.0058,-0.0047,-0.0013,0.0,1728278100000,75,1,0,dn,dn,-0.05,-0.35,nm,mv,0.516,2.2603
1728278400000,-0.0087,-0.007,-0.0111,-0.0029,-0.0007,-0.0035,0.0087,-0.0163,-0.0044,0.0052,0.0,-10.8871,1.193,-1.0398,-0.0053,-0.0185,1728278400000,131,77.0,51.6667,30.6667,117.5,70.1299,153.5484,327.1739,11.4894,276.6772,255.1739,-0.0004,-0.0005,-0.0012,-0.0005,-0.0,1728278400000,80,1,0,dn,dn,0.0,-0.19,nm,mv,0.0,1.1985
1728278700000,0.0,-0.0044,-0.0047,-0.0073,-0.0015,0.0087,0.0079,0.0052,-0.0116,0.0032,20.4545,-10.2151,-0.9871,-2.1802,-0.007,-0.0297,1728278700000,444,287.5,199.3333,103.8333,154.3333,54.4348,122.7425,327.6083,187.689,285.0056,317.8941,0.0,-0.0001,-0.0001,-0.0004,-0.0001,1728278700000,85,1,0,dn,dn,-0.3,-0.24,mv,mv,7.318,1.629
1728279000000,-0.0524,-0.0262,-0.0204,-0.0163,-0.0064,-0.0524,-0.0192,-0.0082,-0.0198,-0.0054,0.0,-20.3629,-4.1558,-3.1687,0.0219,-0.0268,1728279000000,254,349.0,276.3333,145.6667,92.25,-27.2206,-8.082,74.3707,175.3388,-28.8457,4.864,-0.0012,-0.0004,-0.0004,-0.0006,-0.0004,1728279000000,90,1,0,up,up,0.11,0.14,mv,nm,1.1175,0.8661
1728279300000,0.0192,-0.0166,-0.0111,-0.0111,-0.0041,0.0716,-0.0122,-0.0,-0.014,-0.0017,16.9231,-11.4958,-5.1846,-1.0288,-0.0028,0.0439,1728279300000,56,155.0,251.3333,151.5,87.3333,-63.871,-77.7188,-63.0363,-35.8779,-51.7625,-61.703,0.002,-0.0006,-0.0003,-0.0004,-0.0003,1728279300000,95,1,0,dn,dn,-0.05,0.0,nm,nm,0.4005,0.0
1728279600000,-0.0087,0.0052,-0.014,-0.0093,-0.0051,-0.028,0.0314,-0.0093,-0.0084,-0.0035,9.2308,-13.7053,2.6125,7.7971,0.0064,-0.0012,1728279600000,50,53.0,120.0,159.6667,91.0833,-5.6604,-58.3333,-68.6848,-45.1052,-23.4612,-43.021,-0.001,0.0006,-0.0007,-0.0003,-0.0003,1728279600000,100,1,0,up,up,0.08,0.01,nm,nm,0.6498,0.0686
1728279900000,0.014,0.0026,0.0082,-0.0061,-0.006,0.0227,0.0192,0.0285,-0.0003,-0.0065,25.0,-6.1011,-5.1083,-7.7208,-0.0187,-0.0338,1728279900000,34,42.0,46.6667,161.5,93.5,-19.0476,-27.1429,-78.9474,-63.6364,-28.2747,-75.6416,0.0024,0.0004,0.001,-0.0002,-0.0004,1728279900000,105,1,0,dn,dn,-0.03,-0.24,nm,mv,0.2255,1.6333
1728280200000,-0.0052,0.0044,0.0,-0.0055,-0.0042,-0.0192,-0.0009,0.0111,-0.0026,-0.0013,19.6429,-7.2387,2.2771,7.3855,-0.0088,-0.0084,1728280200000,100,67.0,61.3333,156.3333,93.5,49.2537,63.0435,-36.0341,6.9519,20.8286,-58.4341,-0.0003,0.0004,0.0,-0.0002,-0.0003,1728280200000,110,1,0,dn,dn,-0.04,-0.11,nm,nm,0.3011,0.7486
1728280500000,-0.007,-0.0061,0.0006,-0.0067,-0.007,-0.0017,-0.0087,0.0146,0.0006,-0.0044,12.5,-7.8479,1.9348,-0.3423,0.0117,0.007,1728280500000,22,61.0,52.0,86.0,94.9167,-63.9344,-57.6923,-74.4186,-76.8218,-76.9799,-89.9742,-0.0018,-0.0006,0.0001,-0.0004,-0.0004,1728280500000,115,1,0,dn,up,-0.17,0.15,mv,mv,1.287,1.0282
1728280800000,-0.0297,-0.0183,-0.014,-0.0029,-0.0096,-0.0227,-0.0227,-0.0221,0.0134,-0.0102,0.0,-10.1285,-1.4493,-3.3841,0.0297,0.0111,1728280800000,116,69.0,79.3333,63.0,104.3333,68.1159,46.2185,84.127,11.1821,9.2235,-78.373,-0.0015,-0.0015,-0.001,-0.0003,-0.0005,1728280800000,120,1,0,up,up,0.1,0.17,mv,mv,1.0875,1.1666
1728281100000,0.0175,-0.0061,-0.0064,-0.0032,-0.0071,0.0472,-0.0,-0.0064,0.0079,-0.0092,20.8333,-1.6914,4.229,5.6782,-0.0057,0.0308,1728281100000,2,59.0,46.6667,54.0,102.75,-96.6102,-95.7143,-96.2963,-98.0535,-133.8194,-79.1088,0.05,-0.0006,-0.0008,-0.0003,-0.0004,1728281100000,125,1,0,up,dn,0.22,-0.17,mv,mv,2.4524,1.1809
1728281400000,0.0385,0.028,0.0087,0.0047,-0.0023,0.021,0.0463,0.0082,0.014,-0.0028,68.0851,12.8297,3.0285,-1.2005,-0.0197,-0.0112,1728281400000,1,1.5,39.6667,45.8333,102.75,-33.3333,-97.479,-97.8182,-99.0268,-134.3587,-102.2265,0.22,0.1067,0.0013,0.0006,-0.0001,1728281400000,130,1,0,dn,dn,-0.15,-0.27,mv,mv,1.2118,1.7805
1728281700000,-0.0262,0.0061,0.0099,-0.002,-0.0041,-0.0647,0.0122,0.0239,0.0041,-0.0048,38.6364,3.1558,-7.7109,-10.7394,-0.002,-0.0245,1728281700000,6,3.5,3.0,41.1667,101.3333,71.4286,100.0,-85.4251,-94.0789,-85.9192,-73.0068,-0.025,0.01,0.0189,-0.0003,-0.0002,1728281700000,135,1,0,dn,up,-0.24,0.26,mv,mv,1.7607,1.6668
1728282600000,-0.0419,-0.0341,-0.0099,-0.0082,-0.0068,-0.0157,-0.062,-0.0035,-0.0026,-0.0061,30.4348,3.6302,-7.4915,0.2194,0.002,0.0147,1728282600000,1775,890.5,594.0,320.3333,238.3333,99.3262,198.8215,454.1103,644.7552,373.3127,401.6423,-0.0001,-0.0002,-0.0001,-0.0001,-0.0002,1728282600000,150,1,0,up,up,0.12,0.17,mv,mv,0.7444,1.0827
1728282900000,0.021,-0.0105,-0.0157,-0.0035,-0.0051,0.0629,-0.0166,-0.0245,0.0032,-0.0036,47.8261,9.8643,2.1772,9.6687,-0.0163,-0.0235,1728282900000,2,888.5,594.3333,317.0,201.5,-99.7749,-99.6635,-99.3691,-99.0074,-88.3368,-69.0119,0.06,-0.0001,-0.0002,-0.0001,-0.0001,1728282900000,155,1,0,up,dn,0.38,-0.1,mv,nm,2.1976,0.6461
1728284100000,0.0664,0.0437,0.0151,0.0125,0.0048,0.0454,0.0778,0.0052,0.0154,0.0112,100.0,27.9904,1.8349,-0.3423,-0.0289,0.0574,1728284100000,100,51.0,625.6667,314.3333,188.6667,96.0784,-84.017,-68.1866,-46.9965,-64.2463,-145.9644,0.0038,0.0049,0.0001,0.0002,0.0001,1728284100000,175,1,0,dn,dn,-0.33,-0.88,mv,mv,1.5659,5.0755
1728284400000,-0.0576,0.0044,0.0099,0.0,-0.0016,-0.1241,0.0149,0.0198,0.0032,0.0025,53.5211,8.2168,0.3087,-1.5262,0.0037,-0.0129,1728284400000,114,107.0,72.0,333.0,193.5,6.5421,58.3333,-65.7658,-41.0853,-155.4161,-177.8412,-0.0029,0.0002,0.0008,0.0,-0.0,1728284400000,180,1,0,dn,dn,-0.15,-0.83,mv,mv,0.5837,4.6479
1728285000000,-0.0262,-0.0419,-0.0058,-0.0108,-0.0031,0.0314,-0.0856,0.0099,-0.0154,0.002,32.3944,-0.981,0.77,0.4613,-0.0161,-0.0023,1728285000000,23,68.5,79.0,336.6667,191.25,-66.4234,-70.8861,-93.1683,-87.9739,-96.084,-148.2662,-0.0065,-0.0035,-0.0004,-0.0002,-0.0001,1728285000000,190,1,0,dn,dn,-0.4,-0.8,mv,mv,1.6621,4.5151
1728285300000,-0.0699,-0.0481,-0.0512,-0.0181,-0.01,-0.0437,-0.0524,-0.0664,-0.016,-0.0041,0.0,-13.136,-0.6662,-1.4362,0.0206,-0.0044,1728285300000,981,502.0,372.6667,499.1667,270.1667,95.4183,163.2379,96.5275,263.1092,68.3643,63.309,-0.0004,-0.0005,-0.0008,-0.0002,-0.0002,1728285300000,195,1,0,dn,dn,-0.28,-0.29,mv,mv,1.0296,1.1339
1728285600000,-0.049,-0.0594,-0.0484,-0.0192,-0.0137,0.0209,-0.0175,-0.0583,-0.0111,-0.0095,0.0,-12.4765,2.173,2.8392,0.0067,-0.0031,1728285600000,518,749.5,507.3333,289.6667,305.0,-30.8873,2.1025,78.8262,69.8361,21.074,30.1498,-0.0005,-0.0005,-0.0005,-0.0004,-0.0003,1728285600000,200,1,0,dn,dn,-0.12,-0.51,mv,mv,0.4353,1.6739
1728285900000,-0.021,-0.035,-0.0466,-0.0262,-0.0149,0.028,0.0131,-0.0408,-0.0227,-0.0079,7.2464,-8.3,3.8273,1.6543,-0.0448,-0.0174,1728285900000,68,293.0,522.3333,300.6667,308.8333,-76.7918,-86.9815,-77.3836,-77.9817,-100.0817,-133.6372,-0.0018,-0.0007,-0.0005,-0.0005,-0.0003,1728285900000,205,1,0,up,dn,0.11,-0.39,mv,mv,0.4295,1.1498
1728286200000,0.0193,-0.0009,-0.0169,-0.0341,-0.0108,0.0403,0.0586,0.0343,-0.0466,-0.0012,15.2174,-4.509,4.1673,0.3401,0.0302,0.0105,1728286200000,302,185.0,296.0,334.3333,324.3333,63.2432,2.027,-9.671,-6.8859,-17.7378,1.7991,0.0004,-0.0,-0.0003,-0.0006,-0.0002,1728286200000,210,1,0,dn,dn,-0.5,-0.05,mv,nm,2.9867,0.148
