high,low,close,volume,time
5534.25,5533.5,5533.5,602,1719435540
5536,5532.5,5535,604,1719439200
5535.75,5534.5,5535.5,204,1719439260
5536,5535,5535.25,84,1719439320
5535.5,5533,5533,233,1719439380
5534.25,5532.75,5533.25,233,1719439440
5533.5,5533,5533.5,56,1719439500
5534,5533.5,5533.75,46,1719439560
5534,5533.75,5533.75,33,1719439620
5534,5533.75,5533.75,26,1719439680
5534,5533.25,5533.25,50,1719439740
5534.75,5533,5533.75,204,1719439800
5535,5533.5,5534.25,185,1719439860
5534.25,5533.25,5533.25,75,1719439920
5534,5533.5,5533.75,86,1719439980
5534,5533.25,5533.25,57,1719440040
5533.25,5533,5533,25,1719440100
5533.5,5533,5533.5,24,1719440160
5533.5,5533,5533.5,47,1719440220
5533.5,5533,5533.5,25,1719440280
5533.75,5533.25,5533.25,34,1719440340
5533.75,5533.25,5533.25,42,1719440400
5533.5,5533,5533,45,1719440460
5533.25,5533.25,5533.25,20,1719440520
5534,5533.25,5534,65,1719440580
5533.75,5531.5,5531.75,632,1719440640
5532,5531.25,5531.25,64,1719440700
5532.25,5531,5531.75,168,1719440760
5532.5,5531.75,5532,72,1719440820
5532,5531.5,5531.5,27,1719440880
5531.25,5530.75,5531,51,1719440940
5532,5531,5531.25,158,1719441000
5532,5531.5,5531.75,50,1719441060
5532,5531.5,5532,25,1719441120
5531.75,5531,5531.5,48,1719441180
5531.5,5531,5531,57,1719441240
5531,5529.25,5530,221,1719441300
5530,5528.75,5529,310,1719441360
5529.25,5528.75,5529.25,45,1719441420
5529.25,5529,5529.25,27,1719441480
5529.75,5529,5529.75,202,1719441540
5529.75,5529,5529.25,155,1719441600
5530.25,5529.25,5529.5,95,1719441660
5529.75,5529.25,5529.5,109,1719441720
5529.5,5529.25,5529.25,61,1719441780
5529.25,5528,5528.5,250,1719441840
5529,5528,5528.75,182,1719441900
5529.5,5528.5,5528.75,115,1719441960
5529.5,5528.75,5529.5,38,1719442020
5529.5,5529,5529.5,58,1719442080
5530,5529.75,5530,88,1719442140
5529.75,5529,5529.25,83,1719442200
5529.5,5529.25,5529.5,63,1719442260
5529.75,5529.25,5529.25,14,1719442320
5529.5,5529.25,5529.5,7,1719442380
5529.75,5529.25,5529.5,23,1719442440
5529.75,5529.25,5529.25,55,1719442500
5529.5,5529.25,5529.5,10,1719442560
5529.5,5529.25,5529.25,18,1719442620
5529.25,5529.25,5529.25,45,1719442680
5529.5,5529.25,5529.5,47,1719442740
5529.25,5528.75,5529,176,1719442800
5529.25,5528.75,5528.75,25,1719442860
5529.25,5528.75,5529.25,71,1719442920
5529.5,5528.75,5528.75,32,1719442980
5528.75,5528.25,5528.75,103,1719443040
5529,5526.5,5526.75,383,1719443100
5527.25,5526.5,5526.5,223,1719443160
5527,5526.25,5526.75,123,1719443220
5527,5526.5,5527,41,1719443280
5527,5526.75,5526.75,42,1719443340
5527,5526.5,5526.5,57,1719443400
5527.25,5526.75,5527,62,1719443460
5527,5526.25,5526.5,74,1719443520
5526.75,5526.5,5526.5,18,1719443580
5526.75,5526.25,5526.5,72,1719443640
5527,5526.25,5526.75,121,1719443700
5527.25,5526.25,5526.25,150,1719443760
5526.5,5525,5525.25,376,1719443820
5525.5,5524.5,5525.25,242,1719443880
5525.5,5524.75,5525.25,88,1719443940
5525.25,5524.5,5524.75,90,1719444000
5525,5524,5524.25,217,1719444060
5524.5,5523.25,5523.75,232,1719444120
5524.5,5524,5524,65,1719444180
5524.25,5523.75,5524.25,36,1719444240
5524.25,5524,5524.25,9,1719444300
5525,5524.25,5524.5,80,1719444360
5525,5524.25,5525,52,1719444420
5525,5524.5,5524.75,41,1719444480
5524.75,5524.5,5524.75,22,1719444540
5524.75,5524,5524.25,96,1719444600
5524.5,5524,5524,56,1719444660
5524.25,5523.75,5524,64,1719444720
5524,5523.5,5523.5,44,1719444780
5524,5523.25,5523.5,69,1719444840
5523.75,5523.25,5523.5,85,1719444900
5523.75,5523.25,5523.5,52,1719444960
5524,5523.25,5523.75,104,1719445020
5524.5,5523.75,5524,101,1719445080
5524.25,5523.5,5524,143,1719445140
5524,5523.5,5523.5,75,1719445200
5523.75,5523.25,5523.25,74,1719445260
5524,5523,5524,98,1719445320
5524,5523.75,5524,34,1719445380
5524.5,5524,5524.5,78,1719445440
5524.5,5524,5524.25,87,1719445500
5524.75,5524.25,5524.75,64,1719445560
5525.25,5524.75,5525.25,54,1719445620
5525.25,5525,5525.25,38,1719445680
5525.5,5525.25,5525.5,25,1719445740
5525.75,5525.25,5525.75,150,1719445800
5526,5525.25,5525.5,94,1719445860
5525.75,5525.25,5525.5,51,1719445920
5525.25,5524.75,5525,54,1719445980
5525,5524.75,5524.75,17,1719446040
5524.75,5524.5,5524.75,29,1719446100
5524.75,5524.5,5524.75,19,1719446160
5525,5524.75,5524.75,12,1719446220
5525.25,5525,5525.25,29,1719446280
5525.5,5525,5525.25,47,1719446340
5525.25,5524,5524.75,240,1719446400
5525,5524,5524.5,238,1719446460
5524.75,5523.25,5523.5,278,1719446520
5524.75,5523.5,5524.75,128,1719446580
5525.25,5524.75,5525,112,1719446640
5525,5524.25,5524.25,88,1719446700
5524.25,5524,5524.25,50,1719446760
5524.25,5523.5,5523.5,109,1719446820
5523.75,5523.25,5523.5,116,1719446880
5524,5523.5,5523.75,67,1719446940
5524,5523.75,5524,51,1719447000
5524,5523.5,5523.5,52,1719447060
5523.75,5523.5,5523.5,40,1719447120
5523.75,5523.25,5523.75,79,1719447180
5523.5,5523.5,5523.5,15,1719447240
5523.5,5522.5,5523.5,321,1719447300
5523.75,5523.25,5523.5,99,1719447360
5524.25,5523.25,5524.25,70,1719447420
5524.25,5523.5,5523.5,56,1719447480
5523.75,5523.25,5523.25,95,1719447540
5523.75,5523.5,5523.5,68,1719447600
5523.5,5522.75,5523.25,99,1719447660
5523.5,5523,5523.5,62,1719447720
5524,5523.25,5524,63,1719447780
5524.25,5523.75,5524,64,1719447840
5524,5523.75,5523.75,41,1719447900
5523.75,5523.25,5523.5,73,1719447960
5523.25,5523,5523,26,1719448020
5523.75,5523,5523.25,45,1719448080
5523.5,5523,5523,47,1719448140
5523.5,5523,5523.5,95,1719448200
5523.5,5522.75,5523,70,1719448260
5523.25,5522.75,5523.25,109,1719448320
5523.5,5523,5523,60,1719448380
5523.5,5523.25,5523.5,61,1719448440
5523.5,5522.75,5522.75,70,1719448500
5522.75,5522.5,5522.75,38,1719448560
5523,5522.75,5523,52,1719448620
5522.75,5521.5,5521.75,387,1719448680
5521.75,5518.5,5519,939,1719448740
5520,5519,5519.5,205,1719448800
5519.75,5518,5518.25,474,1719448860
5519.25,5518,5519,158,1719448920
5520,5519,5519.75,147,1719448980
5520.25,5519.75,5520,148,1719449040
5519.75,5518.5,5518.5,167,1719449100
5518.75,5515.75,5517,977,1719449160
5517.75,5516.75,5516.75,108,1719449220
5517.25,5517,5517.25,92,1719449280
5518,5517,5517.75,121,1719449340
5518.25,5517.5,5517.75,112,1719449400
5518.25,5517.25,5517.75,283,1719449460
5518.75,5517.75,5518.5,137,1719449520
5518.5,5517.5,5517.5,182,1719449580
5518.5,5517.75,5518.5,61,1719449640
5518.75,5518.5,5518.5,119,1719449700
5519,5518.5,5518.75,166,1719449760
5520,5518.75,5520,140,1719449820
5520.5,5519.5,5520.25,122,1719449880
5520.25,5519.75,5520,48,1719449940
5520.75,5519.5,5520.75,224,1719450000
5521.5,5520.25,5520.75,232,1719450060
5520.5,5519.75,5520.25,167,1719450120
5521.25,5520.25,5521,187,1719450180
5521.25,5520,5520.25,140,1719450240
5520.5,5520,5520.5,85,1719450300
5520.75,5520.25,5520.75,73,1719450360
5521.5,5521,5521.25,74,1719450420
5521.25,5520.75,5521.25,92,1719450480
5521,5520.75,5520.75,33,1719450540
5521,5520.75,5521,142,1719450600
5521.75,5520.75,5521.5,115,1719450660
5521.5,5521,5521.25,125,1719450720
5521.25,5521,5521.25,42,1719450780
5521.25,5521,5521,50,1719450840
5521,5520.5,5521,64,1719450900
5521.25,5521,5521.25,51,1719450960
5521.25,5521,5521.25,51,1719451020
5521.5,5521,5521.25,71,1719451080
5521.25,5520.75,5521.25,46,1719451140
5521.5,5521.25,5521.5,61,1719451200
5521.75,5520.75,5521.25,101,1719451260
5521.25,5520.25,5520.5,117,1719451320
5520.75,5519.75,5520.5,229,1719451380
5520.75,5520.5,5520.75,78,1719451440
5521,5520.75,5521,83,1719451500
5522.75,5521.25,5522.25,262,1719451560
5522.5,5522,5522.5,49,1719451620
5523.75,5522.5,5523.25,405,1719451680
5523.25,5522.75,5522.75,104,1719451740
5524,5522.75,5523.75,214,1719451800
5524.5,5523.75,5524,266,1719451860
5524.5,5523.75,5524.25,199,1719451920
5524.5,5524,5524.5,123,1719451980
5524.75,5524.25,5524.25,153,1719452040
5524.25,5523.5,5523.75,206,1719452100
5523.75,5523,5523.75,199,1719452160
5524.5,5523.75,5523.75,118,1719452220
5524,5523.75,5524,50,1719452280
5524.25,5523.5,5523.75,57,1719452340
5524,5523.5,5523.75,77,1719452400
5524.25,5524,5524.25,50,1719452460
5524,5523.5,5523.75,85,1719452520
5524,5523.5,5523.75,93,1719452580
5523.75,5523.5,5523.5,80,1719452640
5524.25,5523.75,5524.25,100,1719452700
5524.5,5523.75,5524.5,80,1719452760
5525,5524.5,5524.5,133,1719452820
5524.5,5524,5524,86,1719452880
5523.75,5523.5,5523.75,44,1719452940
5524,5523.5,5524,42,1719453000
5524.25,5523.75,5523.75,75,1719453060
5524,5523.5,5524,50,1719453120
5524.25,5523.75,5524,39,1719453180
5524.25,5523.75,5524.25,42,1719453240
5524.5,5524,5524.5,65,1719453300
5524.75,5524.5,5524.5,54,1719453360
5524.5,5524.25,5524.5,51,1719453420
5525,5524.25,5525,47,1719453480
5525,5524.5,5524.5,172,1719453540
5525,5524.5,5525,102,1719453600
5525,5524.75,5524.75,74,1719453660
5525,5524.75,5525,52,1719453720
5525.75,5524.75,5525.5,175,1719453780
5526.25,5525.5,5526.25,168,1719453840
5526.25,5525.75,5525.75,158,1719453900
5525.75,5525.5,5525.5,65,1719453960
5525.75,5525.25,5525.5,56,1719454020
5526.25,5525.5,5526,113,1719454080
5526,5526,5526,35,1719454140
5526.25,5525.75,5526,59,1719454200
5526.25,5525.75,5526.25,57,1719454260
5526.5,5526,5526.5,89,1719454320
5527.5,5526.5,5527,217,1719454380
5527,5526.5,5526.75,74,1719454440
5527,5526,5526.5,136,1719454500
5526.5,5526,5526.25,45,1719454560
5526.5,5526.25,5526.25,36,1719454620
5526,5526,5526,48,1719454680
5526,5525.75,5525.75,42,1719454740
5525.75,5525.5,5525.75,74,1719454800
5525.75,5525.25,5525.5,58,1719454860
5525.5,5525.25,5525.5,65,1719454920
5525.75,5525.5,5525.75,59,1719454980
5526.25,5525.75,5526.25,28,1719455040
5526.25,5526,5526,36,1719455100
5526.25,5526,5526.25,18,1719455160
5526.25,5526,5526,42,1719455220
5526,5525.75,5525.75,21,1719455280
5525.75,5525.75,5525.75,18,1719455340
5525.75,5525.25,5525.25,62,1719455400
5525.5,5525,5525.25,99,1719455460
5525.5,5525.25,5525.5,30,1719455520
5525.5,5525.25,5525.5,55,1719455580
5525.5,5525,5525.25,41,1719455640
5525.25,5525,5525,17,1719455700
5525,5524.5,5524.75,92,1719455760
5524.75,5524.25,5524.75,49,1719455820
5525,5524.75,5525,20,1719455880
5524.75,5524.5,5524.5,44,1719455940
5524.75,5524.5,5524.5,18,1719456000
5524.75,5524.25,5524.25,40,1719456060
5524.5,5524.25,5524.25,41,1719456120
5524.75,5524.25,5524.75,30,1719456180
5524.5,5524.5,5524.5,16,1719456240
5524.75,5524.25,5524.75,50,1719456300
5525.25,5525,5525.25,42,1719456360
5525.5,5525,5525.5,36,1719456420
5525.75,5525.5,5525.5,46,1719456480
5525.5,5525.25,5525.25,10,1719456540
5525.5,5525.25,5525.5,17,1719456600
5525.75,5525.5,5525.75,6,1719456660
5526,5525.5,5525.5,72,1719456720
5525.75,5524.25,5524.75,334,1719456780
5525,5524.5,5525,50,1719456840
5525,5524.75,5524.75,42,1719456900
5524.75,5524.5,5524.5,18,1719456960
5525,5524.5,5525,58,1719457020
5525,5524.75,5525,24,1719457080
5525,5524.5,5525,34,1719457140
5525,5524.75,5525,40,1719457200
5524.75,5524.5,5524.5,56,1719457260
5524.5,5524.5,5524.5,27,1719457320
5524.5,5523.75,5524,154,1719457380
5524.5,5524.25,5524.5,27,1719457440
5524.25,5524.25,5524.25,32,1719457500
5524.75,5524.25,5524.75,24,1719457560
5524.75,5524.75,5524.75,8,1719457620
5524.75,5524.5,5524.5,115,1719457680
5524.5,5524.5,5524.5,26,1719457740
5524.75,5524.5,5524.75,43,1719457800
5525,5524.25,5524.25,49,1719457860
5524.75,5524.25,5524.5,59,1719457920
5524.25,5524.25,5524.25,17,1719457980
5524.25,5524,5524.25,68,1719458040
5524.25,5524.25,5524.25,17,1719458100
5524.25,5524.25,5524.25,17,1719458160
5524.5,5524.25,5524.5,27,1719458220
5524.5,5524.25,5524.5,24,1719458280
5524.75,5524.5,5524.5,19,1719458340
5524.75,5524.25,5524.5,29,1719458400
5524.5,5524.25,5524.5,13,1719458460
5524.5,5524.5,5524.5,11,1719458520
5525,5524.75,5524.75,41,1719458580
5525.25,5524.75,5525,139,1719458640
5525,5525,5525,18,1719458700
5525.25,5525,5525.25,28,1719458760
5525.5,5525.25,5525.5,20,1719458820
5525.5,5525.25,5525.25,52,1719458880
5525.25,5524.75,5525.25,29,1719458940
5525.25,5525,5525.25,37,1719459000
5525.5,5525.25,5525.25,29,1719459060
5525.25,5525.25,5525.25,28,1719459120
5525.75,5525,5525.5,46,1719459180
5525.75,5525.25,5525.25,45,1719459240
5525.5,5525.25,5525.5,7,1719459300
5525.5,5525,5525,37,1719459360
5525.5,5524.75,5525.5,58,1719459420
5525.5,5525,5525.25,49,1719459480
5525.25,5525,5525,30,1719459540
