Strategy report
Symbol: SPY
Work Time: 9/23/24, 10:05 PM - 9/27/24, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.62;9/23/24, 10:05 PM;$0.17;($0.08);-1.0;
2;DATA2_15m_4class(1,727,154,000,000|100|1.2821|1|0|69|0.14|0.62|0.78|60|102.2603|141.2169|5.9909|20.0855|74.3548|-0|0.87|_4up);Buy to Open;1.0;$569.45;9/23/24, 10:05 PM;;$0.17;0.0;
3;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.70;9/23/24, 10:10 PM;$0.02;($0.03);-1.0;
4;DATA2_15m_4class(1,727,154,300,000|100|1.2821|1|0|97|0.25|0.62|0.88|65|135.1106|135.1381|2.0181|22.4652|76.1709|-0|0.86|_4up);Buy to Open;1.0;$569.68;9/23/24, 10:10 PM;;$0.19;0.0;
5;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.90;9/23/24, 10:15 PM;$0.13;$0.20;-1.0;
6;DATA2_15m_4class(1,727,154,600,000|100|0|1|0|12|0.45|0.53|0.9|70|90.0292|144.1445|4.0385|25.3744|80.028|-0|0.83|_1dn);Buy to Open;1.0;$569.77;9/23/24, 10:15 PM;;$0.32;0.0;
7;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.89;9/23/24, 10:20 PM;$0.00;$0.32;-1.0;
8;DATA2_15m_4class(1,727,154,900,000|99.1667|-0.5556|1|0|1|0.21|0.41|0.97|75|7.7753|125.2776|1.0239|28.0412|79.3276|-1.0204|0.48|_1dn);Buy to Open;1.0;$569.89;9/23/24, 10:20 PM;;$0.32;0.0;
9;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.89;9/23/24, 10:25 PM;$0.25;$0.55;-1.0;
10;DATA2_15m_4class(1,727,155,200,000|99.1667|-0.2778|1|0|3|0.12|0.44|0.89|80|23.1166|113.1885|16.0435|27.838|79.3276|-1.0309|0.23|_2dnR);Buy to Open;1.0;$569.64;9/23/24, 10:25 PM;;$0.57;0.0;
11;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.66;9/23/24, 10:40 PM;$0.00;$0.50;-1.0;
12;DATA2_15m_4class(1,727,155,500,000|80|-12.7778|1|0|2|-0.23|0.21|0.66|85|18.5844|73.6521|-1.3916|27.6518|63.9969|-24.7423|0.05|_4up);Buy to Open;1.0;$569.66;9/23/24, 10:40 PM;;$0.57;0.0;
13;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.73;9/23/24, 10:45 PM;$0.00;$0.50;-1.0;
14;DATA2_15m_4class(1,727,156,400,000|84.8214|-3.1746|1|0|100|0.09|0.05|0.73|100|794.9577|78.1415|-1.0732|27.8718|66.1678|-17.5258|-0.19|_4up);Buy to Open;1.0;$569.73;9/23/24, 10:45 PM;;$0.57;0.0;
15;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.80;9/23/24, 10:50 PM;$0.00;$0.44;-1.0;
16;DATA2_15m_4class(1,727,156,700,000|91.0714|5.7738|1|0|50|0.14|0.03|0.72|105|508.6363|86.5959|-0.7961|28.4473|68.2558|-12.1951|0.01|_3upR);Buy to Open;1.0;$569.80;9/23/24, 10:50 PM;;$0.57;0.0;
17;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.93;9/23/24, 10:55 PM;$0.03;$0.56;-1.0;
18;DATA2_15m_4class(1,727,157,000,000|100|8.0357|1|0|18|0.2|0.04|0.56|110|176.8426|113.0656|0.2951|29.6016|71.7839|-0|-0.31|_2dnR);Buy to Open;1.0;$569.90;9/23/24, 10:55 PM;;$0.60;0.0;
19;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.94;9/23/24, 11:00 PM;$0.00;$0.58;-1.0;
20;DATA2_15m_4class(1,727,157,300,000|100|2.9762|1|0|300|0.14|0.3|0.46|115|1,084.5793|108.1143|-0.4257|30.7058|72.0446|-0|-0.35|_2dnR);Buy to Open;1.0;$569.94;9/23/24, 11:00 PM;;$0.60;0.0;
21;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.96;9/23/24, 11:10 PM;$0.06;$0.68;-1.0;
22;DATA2_15m_4class(1,727,157,600,000|100|0|1|0|302|0.06|0.3|0.51|120|669.1978|106.2923|2.881|31.2401|72.5971|-0|-0.41|_3upR);Buy to Open;1.0;$569.90;9/23/24, 11:10 PM;;$0.66;0.0;
23;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.95;9/23/24, 11:15 PM;$0.07;$0.67;-1.0;
24;DATA2_15m_4class(1,727,158,200,000|92.233|-5.178|1|0|195|-0.06|0.15|0.43|130|345.6384|74.2673|3.4648|31.485|66.8336|-15.6863|-0.23|_4up);Buy to Open;1.0;$569.88;9/23/24, 11:15 PM;;$0.73;0.0;
25;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.94;9/23/24, 11:25 PM;$0.00;$0.70;-1.0;
26;DATA2_15m_4class(1,727,158,500,000|98.0583|1.2945|1|0|2|0.01|0.14|0.26|135|3.9451|94.774|0.6856|31.7095|68.8566|-6.25|-0.41|_4up);Buy to Open;1.0;$569.94;9/23/24, 11:25 PM;;$0.73;0.0;
27;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$569.97;9/23/24, 11:30 PM;$0.06;$0.63;-1.0;
28;DATA2_15m_4class(1,727,159,100,000|100|3.2362|1|0|3|0.07|0.07|0.2|145|6.256|102.0517|4.0682|31.9153|69.8593|-0|-0.6|_4up);Buy to Open;1.0;$569.91;9/23/24, 11:30 PM;;$0.79;0.0;
29;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$570.07;9/23/24, 11:35 PM;$0.17;$0.73;-1.0;
30;DATA2_15m_4class(1,727,159,400,000|100|0.6472|1|0|183|0.13|0.13|0.18|150|317.7198|135.0214|8.191|32.7738|73.0184|-0|-0.58|_4up);Buy to Open;1.0;$569.90;9/23/24, 11:35 PM;;$0.96;0.0;
31;DATA2_15m_4class(SellClose);Sell to Close;-1.0;$570.13;9/23/24, 11:40 PM;$0.06;$0.90;-1.0;
