Strategy report
Symbol: /ES:XCME
Work Time: 9/16/24, 3:05 PM - 9/20/24, 8:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DATA(SellClose);Sell to Close;-1;-50.0;$5,696.75;9/16/24, 3:05 PM;$125.00;($37.50);-50.0;
2;DATA(1,726,524,000,000|28.2051|3.5182|0|0|686|-0.25|-0.25|-0.75|1,080|2,639.1937|20.0185|0.6165|14.5331|49.403|-62.5|0.25|up|in|up|in|in|in);Buy to Open;1;50.0;$5,694.25;9/16/24, 3:05 PM;;$125.00;0.0;
3;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.75;9/16/24, 3:10 PM;$112.50;$125.00;-50.0;
4;DATA(1,726,524,300,000|38.2353|10.1056|0|0|336|2.5|0.75|-0.25|1,085|1,284.4032|109.4803|-1.0166|14.401|55.3682|-18.75|0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,695.50;9/16/24, 3:10 PM;;$237.50;0.0;
5;DATA(SellClose);Sell to Close;-1;-50.0;$5,698.25;9/16/24, 3:15 PM;$62.50;$175.00;-50.0;
6;DATA(1,726,524,600,000|41.1765|5.3042|0|0|322|3.5|1.75|1.5|1,090|1,294.5027|111.2213|-5.192|14.6731|56.1735|-12.5|3.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,697.00;9/16/24, 3:15 PM;;$300.00;0.0;
7;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.25;9/16/24, 3:20 PM;$137.50;$300.00;-50.0;
8;DATA(1,726,524,900,000|61.7647|14.7059|0|0|513|4|3.5|2.75|1,095|2,059.4708|153.4325|0.8732|16.2352|61.4805|-12.5|5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,697.50;9/16/24, 3:20 PM;;$437.50;0.0;
9;DATA(SellClose);Sell to Close;-1;-50.0;$5,701.00;9/16/24, 3:25 PM;$100.00;$537.50;-50.0;
10;DATA(1,726,525,200,000|70.5882|12.7451|0|0|419|2.75|5.25|2.25|1,100|1,696.5993|152.2104|-1.8094|18.0697|63.5444|-11.1111|8|in|in|in|in|in|in);Buy to Open;1;50.0;$5,699.00;9/16/24, 3:25 PM;;$537.50;0.0;
11;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.50;9/16/24, 3:30 PM;$87.50;$575.00;-50.0;
12;DATA(1,726,525,500,000|67.8571|1.1204|0|0|340|1.25|4.75|1.25|1,105|2,223.7328|107.8355|-3.2828|19.4552|57.9035|-29.6296|7|in|in|in|in|in|in);Buy to Open;1;50.0;$5,698.75;9/16/24, 3:30 PM;;$625.00;0.0;
13;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.25;9/16/24, 3:35 PM;$75.00;$612.50;-50.0;
14;DATA(1,726,525,800,000|81.4815|8.1725|0|0|226|0|4.25|3.75|1,110|1,793.309|115.722|-4.8794|20.7252|60.2152|-18.5185|4.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,698.75;9/16/24, 3:35 PM;;$700.00;0.0;
15;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.75;9/16/24, 3:40 PM;$50.00;$737.50;-50.0;
16;DATA(1,726,526,100,000|92.5926|11.9489|1|0|178|0.25|3|3.75|1,115|1,524.0939|120.4669|-6.4043|22.2032|62.4638|-7.4074|4|in|in|in|in|in|in);Buy to Open;1;50.0;$5,699.75;9/16/24, 3:40 PM;;$750.00;0.0;
17;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.75;9/16/24, 3:45 PM;$75.00;$825.00;-50.0;
18;DATA(1,726,526,400,000|85.1852|-1.2346|1|0|241|1.25|2.25|4|1,120|2,150.3012|99.227|-2.6119|22.875|59.9976|-14.8148|2.5|in|in|in|dn|in|in);Buy to Open;1;50.0;$5,699.25;9/16/24, 3:45 PM;;$825.00;0.0;
19;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.50;9/16/24, 3:50 PM;$87.50;$850.00;-50.0;
20;DATA(1,726,526,700,000|74.0741|-9.8765|0|0|229|-0.5|-0.5|3.25|1,125|2,397.7401|75.1644|-0.8358|22.8325|56.3565|-25.9259|0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,698.75;9/16/24, 3:50 PM;;$912.50;0.0;
21;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.50;9/16/24, 3:55 PM;$75.00;$1,000.00;-50.0;
22;DATA(1,726,527,000,000|85.1852|3.7037|1|0|234|-0.75|-0.25|5|1,130|2,763.1548|87.5666|-1.9491|22.7934|59.0665|-14.8148|2.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,699.00;9/16/24, 3:55 PM;;$987.50;0.0;
23;DATA(SellClose);Sell to Close;-1;-50.0;$5,699.75;9/16/24, 4:00 PM;$75.00;$1,025.00;-50.0;
24;DATA(1,726,527,300,000|66.6667|-8.642|0|0|234|-1.25|0|4.5|1,135|2,980.6839|40.5789|-2.3363|21.7613|53.0745|-33.3333|2.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,698.25;9/16/24, 4:00 PM;;$1,062.50;0.0;
25;DATA(SellClose);Sell to Close;-1;-50.0;$5,700.25;9/16/24, 4:05 PM;$75.00;$1,162.50;-50.0;
