Strategy report
Symbol: /MES:XCME
Work Time: 3/2/25, 6:01 PM - 3/3/25, 10:26 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,974.25;3/2/25, 6:01 PM;$47.50;$5.00;-5.0;
2;dataCol_V6(5,974.25|5,964.75|5,971|2,526|1,740,956,400);Buy to Open;1;5.0;$5,964.75;3/2/25, 6:01 PM;;$47.50;0.0;
3;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,974.25;3/2/25, 6:02 PM;$20.00;$61.25;-5.0;
4;dataCol_V6(5,974.25|5,970.25|5,973.25|968|1,740,956,460);Buy to Open;1;5.0;$5,970.25;3/2/25, 6:02 PM;;$67.50;0.0;
5;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,973.75;3/2/25, 6:03 PM;$15.00;$67.50;-5.0;
6;dataCol_V6(5,973.75|5,970.75|5,971.5|735|1,740,956,520);Buy to Open;1;5.0;$5,970.75;3/2/25, 6:03 PM;;$82.50;0.0;
7;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,974.00;3/2/25, 6:04 PM;$11.25;$72.50;-5.0;
8;dataCol_V6(5,974|5,971.75|5,973.75|589|1,740,956,580);Buy to Open;1;5.0;$5,971.75;3/2/25, 6:04 PM;;$93.75;0.0;
9;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,976.50;3/2/25, 6:05 PM;$25.00;$102.50;-5.0;
10;dataCol_V6(5,976.5|5,971.5|5,976|1,161|1,740,956,640);Buy to Open;1;5.0;$5,971.50;3/2/25, 6:05 PM;;$118.75;0.0;
11;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.25;3/2/25, 6:06 PM;$17.50;$123.75;-5.0;
12;dataCol_V6(5,978.25|5,974.75|5,974.75|1,421|1,740,956,700);Buy to Open;1;5.0;$5,974.75;3/2/25, 6:06 PM;;$136.25;0.0;
13;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,977.25;3/2/25, 6:07 PM;$13.75;$138.75;-5.0;
14;dataCol_V6(5,977.25|5,974.5|5,977.25|424|1,740,956,760);Buy to Open;1;5.0;$5,974.50;3/2/25, 6:07 PM;;$150.00;0.0;
15;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,977.75;3/2/25, 6:08 PM;$7.50;$136.25;-5.0;
16;dataCol_V6(5,977.75|5,976.25|5,976.75|444|1,740,956,820);Buy to Open;1;5.0;$5,976.25;3/2/25, 6:08 PM;;$157.50;0.0;
17;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,980.50;3/2/25, 6:09 PM;$26.25;$143.75;-5.0;
18;dataCol_V6(5,980.5|5,975.25|5,980.5|947|1,740,956,880);Buy to Open;1;5.0;$5,975.25;3/2/25, 6:09 PM;;$183.75;0.0;
19;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.50;3/2/25, 6:10 PM;$23.75;$196.25;-5.0;
20;dataCol_V6(5,983.5|5,978.75|5,983.25|2,034|1,740,956,940);Buy to Open;1;5.0;$5,978.75;3/2/25, 6:10 PM;;$207.50;0.0;
21;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.00;3/2/25, 6:11 PM;$13.75;$218.75;-5.0;
22;dataCol_V6(5,983|5,980.25|5,981|1,079|1,740,957,000);Buy to Open;1;5.0;$5,980.25;3/2/25, 6:11 PM;;$221.25;0.0;
23;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,981.75;3/2/25, 6:12 PM;$7.50;$221.25;-5.0;
24;dataCol_V6(5,981.75|5,980.25|5,980.75|515|1,740,957,060);Buy to Open;1;5.0;$5,980.25;3/2/25, 6:12 PM;;$228.75;0.0;
25;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.00;3/2/25, 6:13 PM;$12.50;$225.00;-5.0;
26;dataCol_V6(5,983|5,980.5|5,981.75|614|1,740,957,120);Buy to Open;1;5.0;$5,980.50;3/2/25, 6:13 PM;;$241.25;0.0;
27;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,984.50;3/2/25, 6:14 PM;$13.75;$245.00;-5.0;
28;dataCol_V6(5,984.5|5,981.75|5,983.75|718|1,740,957,180);Buy to Open;1;5.0;$5,981.75;3/2/25, 6:14 PM;;$255.00;0.0;
29;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,984.25;3/2/25, 6:15 PM;$6.25;$261.25;-5.0;
30;dataCol_V6(5,984.25|5,983|5,983.75|272|1,740,957,240);Buy to Open;1;5.0;$5,983.00;3/2/25, 6:15 PM;;$261.25;0.0;
31;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.75;3/2/25, 6:16 PM;$5.00;$266.25;-5.0;
32;dataCol_V6(5,983.75|5,982.75|5,983|463|1,740,957,300);Buy to Open;1;5.0;$5,982.75;3/2/25, 6:16 PM;;$266.25;0.0;
33;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.50;3/2/25, 6:17 PM;$5.00;$275.00;-5.0;
34;dataCol_V6(5,983.5|5,982.5|5,982.75|275|1,740,957,360);Buy to Open;1;5.0;$5,982.50;3/2/25, 6:17 PM;;$271.25;0.0;
35;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.00;3/2/25, 6:18 PM;$7.50;$280.00;-5.0;
36;dataCol_V6(5,983|5,981.5|5,981.75|431|1,740,957,420);Buy to Open;1;5.0;$5,981.50;3/2/25, 6:18 PM;;$278.75;0.0;
37;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,983.00;3/2/25, 6:19 PM;$10.00;$287.50;-5.0;
38;dataCol_V6(5,983|5,981|5,981.25|407|1,740,957,480);Buy to Open;1;5.0;$5,981.00;3/2/25, 6:19 PM;;$288.75;0.0;
39;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,982.00;3/2/25, 6:20 PM;$5.00;$292.50;-5.0;
40;dataCol_V6(5,982|5,981|5,981.25|207|1,740,957,540);Buy to Open;1;5.0;$5,981.00;3/2/25, 6:20 PM;;$293.75;0.0;
41;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,981.75;3/2/25, 6:21 PM;$6.25;$300.00;-5.0;
42;dataCol_V6(5,981.75|5,980.5|5,981.25|356|1,740,957,600);Buy to Open;1;5.0;$5,980.50;3/2/25, 6:21 PM;;$300.00;0.0;
43;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,981.50;3/2/25, 6:22 PM;$5.00;$316.25;-5.0;
44;dataCol_V6(5,981.5|5,980.5|5,980.5|280|1,740,957,660);Buy to Open;1;5.0;$5,980.50;3/2/25, 6:22 PM;;$305.00;0.0;
45;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,981.25;3/2/25, 6:23 PM;$16.25;$313.75;-5.0;
46;dataCol_V6(5,981.25|5,978|5,978.25|586|1,740,957,720);Buy to Open;1;5.0;$5,978.00;3/2/25, 6:23 PM;;$321.25;0.0;
47;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,979.50;3/2/25, 6:24 PM;$10.00;$320.00;-5.0;
48;dataCol_V6(5,979.5|5,977.5|5,979.5|462|1,740,957,780);Buy to Open;1;5.0;$5,977.50;3/2/25, 6:24 PM;;$331.25;0.0;
49;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,980.25;3/2/25, 6:25 PM;$5.00;$340.00;-5.0;
50;dataCol_V6(5,980.25|5,979.25|5,979.75|333|1,740,957,840);Buy to Open;1;5.0;$5,979.25;3/2/25, 6:25 PM;;$336.25;0.0;
51;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,980.00;3/2/25, 6:26 PM;$10.00;$345.00;-5.0;
52;dataCol_V6(5,980|5,978|5,978.5|131|1,740,957,900);Buy to Open;1;5.0;$5,978.00;3/2/25, 6:26 PM;;$346.25;0.0;
53;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.50;3/2/25, 6:27 PM;$10.00;$333.75;-5.0;
54;dataCol_V6(5,978.5|5,976.5|5,978.25|490|1,740,957,960);Buy to Open;1;5.0;$5,976.50;3/2/25, 6:27 PM;;$356.25;0.0;
