high,low,close,volume,time
6158.25,6152.75,6156.75,1264,1740006000
6157.75,6156.5,6156.75,206,1740006060
6157.5,6156.75,6157.25,216,1740006120
6157.25,6156.75,6157,74,1740006180
6157,6156.5,6156.75,70,1740006240
6157,6156,6156.5,102,1740006300
6157,6156.5,6156.5,83,1740006360
6156.5,6156,6156.25,61,1740006420
6156.75,6156.25,6156.5,73,1740006480
6156.75,6156,6156,141,1740006540
6157.5,6156.25,6157,143,1740006600
6157,6156,6156.25,70,1740006660
6156.5,6156.25,6156.5,31,1740006720
6157,6156.25,6156.5,44,1740006780
6157.25,6156.5,6157,62,1740006840
6157.25,6156.75,6156.75,57,1740006900
6157.25,6156.75,6157,77,1740006960
6157,6156.5,6157,36,1740007020
6157.5,6156.75,6157.25,114,1740007080
6157.25,6157,6157,70,1740007140
6157,6156.75,6156.75,9,1740007200
6156.75,6156.5,6156.75,55,1740007260
6157.25,6156.5,6156.5,65,1740007320
6156.5,6155.5,6156,119,1740007380
6156,6155.5,6155.5,69,1740007440
6155.5,6154.75,6155,200,1740007500
6155.5,6154.5,6154.75,226,1740007560
6155.25,6154.25,6155,168,1740007620
6155.5,6154.5,6155,116,1740007680
6155,6154.75,6154.75,31,1740007740
6155.5,6154.75,6155.25,62,1740007800
6156,6155.5,6155.75,131,1740007860
6155.75,6155.25,6155.25,47,1740007920
6155.5,6155,6155.5,37,1740007980
6155.75,6155.25,6155.25,28,1740008040
6155.75,6155.25,6155.75,62,1740008100
6156.5,6156,6156,130,1740008160
6156,6155.25,6155.5,39,1740008220
6155.25,6154.5,6154.75,77,1740008280
6155,6154.25,6154.75,133,1740008340
6154.75,6154.25,6154.5,74,1740008400
6154.75,6154.25,6154.5,23,1740008460
6155,6154.5,6155,44,1740008520
6155.25,6154.25,6154.25,63,1740008580
6154.75,6154.25,6154.5,30,1740008640
6154.5,6153.5,6153.5,271,1740008700
6153.5,6152.25,6152.75,452,1740008760
6152.75,6152.5,6152.75,98,1740008820
6153.25,6152.5,6153,121,1740008880
6154.25,6153,6153.75,115,1740008940
6154,6153.25,6153.75,93,1740009000
6154.25,6153.5,6153.75,116,1740009060
6154.5,6153.75,6154.5,82,1740009120
6154.5,6153.75,6154,59,1740009180
6154.25,6154,6154,16,1740009240
6154.25,6153.75,6153.75,32,1740009300
6154.5,6153.75,6154.25,60,1740009360
6155.25,6154.25,6155.25,45,1740009420
6155.5,6155,6155,95,1740009480
6155.5,6155,6155.25,31,1740009540
6155,6152.75,6154,520,1740009600
6154.75,6153.75,6154.75,109,1740009660
6154.5,6154,6154.5,105,1740009720
6155.25,6154.25,6155.25,139,1740009780
6155.25,6154.5,6155.25,63,1740009840
6155.5,6155,6155.25,114,1740009900
6155.75,6155,6155.25,129,1740009960
6155.5,6154.75,6155,78,1740010020
6155.25,6154.5,6155.25,48,1740010080
6155.25,6155,6155.25,31,1740010140
6155.25,6154.75,6155.25,55,1740010200
6155.25,6155,6155,56,1740010260
6155,6154.25,6154.5,97,1740010320
6154.75,6154.25,6154.75,52,1740010380
6154.75,6154.25,6154.5,70,1740010440
6154.5,6154,6154.5,52,1740010500
6154.25,6153.75,6153.75,39,1740010560
6153.75,6153,6153.75,94,1740010620
6153.75,6153.25,6153.5,35,1740010680
6153.5,6153.25,6153.25,71,1740010740
6153.5,6153,6153.25,74,1740010800
6153.5,6153,6153.25,39,1740010860
6153.5,6153,6153.25,39,1740010920
6153.75,6153,6153.5,117,1740010980
6153.75,6153.25,6153.25,50,1740011040
6153.25,6151.5,6151.75,331,1740011100
6152.25,6151.75,6152.25,157,1740011160
6152.5,6152,6152.25,133,1740011220
6152.75,6152,6152.25,82,1740011280
6153,6152.25,6153,85,1740011340
6153.5,6152.5,6153,116,1740011400
6152.75,6152.25,6152.25,69,1740011460
6152.5,6151.5,6152,142,1740011520
6152.25,6151.5,6151.75,122,1740011580
6152.25,6151.5,6152,58,1740011640
