high,low,close,volume,time
6141.5,6141.25,6141.25,5,1739760660
6141.5,6141.5,6141.5,3,1739760720
6141.5,6141.25,6141.5,24,1739760780
6141.75,6141.5,6141.5,29,1739760840
6141.75,6141.5,6141.75,9,1739760900
6142,6141.75,6141.75,41,1739760960
6142,6141.75,6141.75,30,1739761020
6141.75,6141.5,6141.75,47,1739761080
6141.75,6141.75,6141.75,1,1739761140
6142.25,6141.75,6142,93,1739761200
6141.75,6141.25,6141.5,96,1739761260
6141.75,6141.5,6141.5,24,1739761320
6141.75,6141.5,6141.5,29,1739761380
6141.75,6141.5,6141.75,32,1739761440
6142,6141.75,6141.75,5,1739761500
6142,6141.5,6141.75,57,1739761560
6142,6141.75,6141.75,38,1739761620
6142,6141.75,6141.75,47,1739761680
6141.75,6141.5,6141.75,23,1739761740
6141.75,6141.5,6141.75,20,1739761800
6141.75,6141.5,6141.75,33,1739761860
6141.75,6141.5,6141.75,19,1739761920
6142,6141.75,6142,51,1739761980
6142.25,6142,6142,27,1739762040
6142.25,6142,6142,43,1739762100
6142.25,6142,6142,19,1739762160
6142,6141.75,6141.75,5,1739762220
6142.25,6142,6142.25,71,1739762280
6142.25,6142,6142,7,1739762340
6142.25,6141.75,6142.25,60,1739762400
6142.25,6141.75,6142.25,55,1739762460
6142.25,6142,6142.25,20,1739762520
6142.25,6142,6142,20,1739762580
6142,6141.75,6142,35,1739762640
6142,6141.5,6141.75,30,1739762700
6141.75,6141.5,6141.75,29,1739762760
6142,6141.75,6141.75,53,1739762820
6142,6141.75,6141.75,15,1739762880
6142,6141.5,6141.75,35,1739762940
6142,6141.5,6141.75,14,1739763000
6141.5,6141,6141.25,91,1739763060
6141.25,6141,6141.25,12,1739763120
6141.25,6140.25,6140.5,141,1739763180
6140.75,6140.25,6140.5,83,1739763240
6140.5,6140.25,6140.5,41,1739763300
6141,6140.5,6140.75,49,1739763360
6140.75,6140.25,6140.75,66,1739763420
6140.75,6140.5,6140.5,45,1739763480
6140.5,6140.5,6140.5,37,1739763540
6140.5,6140.25,6140.5,45,1739763600
6140.5,6140.5,6140.5,7,1739763660
6140.75,6140.5,6140.5,13,1739763720
6140.75,6140.75,6140.75,1,1739763780
6141,6140.5,6140.75,37,1739763840
6141.25,6140.75,6141,67,1739763900
6141.25,6140.75,6141.25,98,1739763960
6141.25,6141.25,6141.25,21,1739764020
6141.5,6141.25,6141.25,13,1739764080
6141.25,6141,6141.25,22,1739764140
6141.5,6141.25,6141.25,6,1739764200
6141.5,6141.25,6141.5,4,1739764260
6141.75,6141.25,6141.75,60,1739764320
6141.75,6141.75,6141.75,5,1739764380
6141.75,6141.5,6141.75,4,1739764440
6142,6141.75,6142,53,1739764500
6142.25,6141.75,6142,39,1739764560
6142.25,6142,6142.25,20,1739764620
6142.25,6142,6142.25,32,1739764680
6142.25,6141.75,6142,59,1739764740
6142.25,6141.5,6141.5,69,1739764800
6141.75,6141.25,6141.5,59,1739764860
6141.25,6140.75,6140.75,47,1739764920
6141,6140.75,6141,24,1739764980
6141.25,6140.75,6141,31,1739765040
6141.25,6140.75,6141,35,1739765100
6141,6140.75,6140.75,11,1739765160
6140.75,6140.25,6140.5,70,1739765220
6141,6140.5,6140.75,38,1739765280
6141,6140.5,6141,32,1739765340
6141,6140.5,6141,39,1739765400
6141,6140.75,6141,16,1739765460
6141,6140.75,6140.75,68,1739765520
6141,6140.5,6141,16,1739765580
6141,6141,6141,9,1739765640
6141.25,6141,6141.25,16,1739765700
6141.25,6140.75,6141,48,1739765760
6141.25,6140.75,6141.25,32,1739765820
6141.25,6141.25,6141.25,3,1739765880
6141.25,6141,6141.25,36,1739765940
6141.25,6141.25,6141.25,2,1739766000
6141.25,6141,6141.25,23,1739766060
6141.5,6141.25,6141.25,22,1739766120
6141.25,6141.25,6141.25,5,1739766180
6141.25,6141,6141.25,5,1739766240
6141.25,6141,6141,51,1739766300
6141,6140.75,6140.75,56,1739766360
6141.25,6140.75,6141,27,1739766420
6141.5,6141.25,6141.5,24,1739766480
6141.5,6141.25,6141.5,6,1739766540
6142.25,6141.25,6142,107,1739766600
6142.75,6142,6142.5,155,1739766660
6142.75,6142.5,6142.5,32,1739766720
6143.25,6142.75,6143.25,118,1739766780
6143.5,6143,6143.5,42,1739766840
6143.5,6143.25,6143.5,42,1739766900
6143.5,6143.25,6143.5,49,1739766960
6143.75,6143.25,6143.75,36,1739767020
6143.75,6143.5,6143.5,33,1739767080
6143.75,6143.25,6143.5,23,1739767140
6143.75,6143.25,6143.5,114,1739767200
6143.5,6143.25,6143.25,24,1739767260
6143.25,6143,6143.25,31,1739767320
6143.5,6143,6143.25,23,1739767380
6143.5,6143.25,6143.5,12,1739767440
6143.5,6143.25,6143.25,22,1739767500
6143.75,6143.25,6143.75,17,1739767560
6143.75,6143.5,6143.75,30,1739767620
6143.75,6143.5,6143.75,27,1739767680
6143.75,6143.5,6143.5,13,1739767740
6144.25,6143.75,6144.25,118,1739767800
6144,6144,6144,63,1739767860
6144,6144,6144,29,1739767920
6144.5,6144,6144,131,1739767980
6144.75,6144.25,6144.75,108,1739768040
6144.75,6144.5,6144.5,35,1739768100
6144.75,6144.25,6144.75,62,1739768160
6144.75,6144.5,6144.75,7,1739768220
6144.75,6144.5,6144.5,49,1739768280
6144.75,6144.25,6144.75,40,1739768340
6144.75,6144.25,6144.5,50,1739768400
6145,6144.25,6145,133,1739768460
6145,6144.5,6144.75,121,1739768520
6145,6144.75,6144.75,88,1739768580
6145,6144.5,6145,47,1739768640
6145,6144.5,6144.75,73,1739768700
6144.75,6144,6144.5,85,1739768760
6144.75,6144,6144.75,127,1739768820
6145,6144.5,6144.75,60,1739768880
6144.75,6144.5,6144.75,29,1739768940
6145.5,6144.5,6145.5,150,1739769000
6145.5,6145.25,6145.25,67,1739769060
6145.5,6145,6145.25,26,1739769120
6145.5,6145,6145.25,33,1739769180
6145.5,6145.25,6145.5,11,1739769240
6146.5,6145.25,6146.25,237,1739769300
6146.25,6145.75,6146,70,1739769360
6146,6145.75,6146,18,1739769420
6146,6145.75,6146,41,1739769480
6146,6145.75,6146,25,1739769540
6146,6146,6146,43,1739769600
6146,6145.5,6145.75,43,1739769660
6146.25,6145.75,6146.25,32,1739769720
6146.25,6146,6146,71,1739769780
6146.25,6146,6146,74,1739769840
6146,6145.75,6145.75,36,1739769900
