high,low,close,volume,time
4882.25,4882.0,4882.0,10,1705899480
4882.25,4882.25,4882.25,28,1705899540
4882.5,4881.75,4881.75,72,1705899600
4882.0,4881.5,4881.5,79,1705899660
4882.0,4881.5,4882.0,95,1705899720
4882.0,4881.75,4882.0,95,1705899780
4882.0,4881.75,4882.0,24,1705899840
4881.75,4881.25,4881.5,62,1705899900
4881.5,4881.0,4881.0,75,1705899960
4881.75,4881.0,4881.75,193,1705900020
4882.0,4881.75,4882.0,40,1705900080
4882.25,4881.75,4882.25,78,1705900140
4882.25,4882.0,4882.0,20,1705900200
4882.0,4881.75,4881.75,54,1705900260
4882.0,4881.75,4882.0,13,1705900320
4882.0,4881.75,4881.75,16,1705900380
4882.0,4881.75,4882.0,68,1705900440
4882.0,4881.5,4881.5,45,1705900500
4881.5,4881.25,4881.25,20,1705900560
4881.75,4881.5,4881.75,87,1705900620
4882.0,4881.25,4881.25,81,1705900680
4881.75,4881.5,4881.5,52,1705900740
4881.75,4881.25,4881.75,77,1705900800
4882.0,4881.5,4881.5,39,1705900860
4881.75,4881.5,4881.5,96,1705900920
4881.5,4881.25,4881.5,48,1705900980
4881.5,4881.25,4881.5,55,1705901040
4881.75,4881.25,4881.5,120,1705901100
4881.25,4881.25,4881.25,46,1705901160
4881.25,4880.75,4881.0,79,1705901220
4881.5,4881.0,4881.5,48,1705901280
4881.5,4880.5,4880.75,275,1705901340
4880.5,4880.0,4880.5,227,1705901400
4881.25,4880.5,4881.25,127,1705901460
4881.25,4881.0,4881.25,114,1705901520
4881.25,4881.0,4881.25,23,1705901580
4881.5,4881.25,4881.5,71,1705901640
4881.75,4881.5,4881.5,109,1705901700
4881.75,4881.5,4881.75,50,1705901760
4882.0,4881.5,4881.5,51,1705901820
4881.75,4881.25,4881.25,56,1705901880
4881.25,4880.75,4880.75,90,1705901940
4881.25,4880.75,4881.0,100,1705902000
4881.25,4881.0,4881.0,102,1705902060
4881.25,4881.0,4881.0,65,1705902120
4881.5,4880.75,4881.5,60,1705902180
4881.5,4881.0,4881.0,42,1705902240
4881.25,4880.75,4881.0,71,1705902300
4881.25,4881.0,4881.25,32,1705902360
4881.25,4881.0,4881.25,65,1705902420
4881.25,4881.0,4881.25,42,1705902480
4881.0,4880.5,4880.75,87,1705902540
4880.75,4880.25,4880.25,118,1705902600
4880.0,4879.75,4879.75,113,1705902660
4879.75,4879.5,4879.5,146,1705902720
4880.0,4879.5,4880.0,51,1705902780
4880.0,4879.5,4879.5,51,1705902840
4879.75,4879.0,4879.0,145,1705902900
4879.5,4878.75,4879.5,314,1705902960
4879.5,4879.0,4879.0,96,1705903020
4879.25,4879.0,4879.25,70,1705903080
4879.75,4879.0,4879.5,72,1705903140
4880.0,4879.5,4880.0,115,1705903200
4880.5,4880.0,4880.0,132,1705903260
4880.75,4880.25,4880.75,301,1705903320
4881.0,4880.5,4881.0,163,1705903380
4881.5,4881.0,4881.25,147,1705903440
4881.5,4881.0,4881.0,256,1705903500
4881.25,4880.0,4881.0,218,1705903560
4881.0,4880.75,4881.0,134,1705903620
4881.0,4880.75,4880.75,128,1705903680
4881.0,4880.5,4880.75,85,1705903740
4881.25,4880.75,4881.0,79,1705903800
4881.0,4880.5,4880.75,156,1705903860
