fullTime,FullK,diffKD,OB,OS,vol,s15,s30,s60,ToD,perc30,perc60,percD,RSI,Wpercent,acc,bull15,bear15,bull30,bear30,bull60,bear60
1715119200000,5.1282,-6.7664,0,1,1092,-3.5,-4,-3,1080,-0.2857,-0.1,0.3265,39.6805,-91.6667,-6,in,in,in,in,in,in
1715119500000,6.6667,-2.8205,0,1,973,-2.75,-5.5,-6,1085,-0.6429,-0.35,0.2755,36.5516,-90,-7.25,in,in,in,in,in,in
1715119800000,17.7778,7.9202,0,1,355,-1.5,-4,-5.25,1090,-0.2857,-0.1,0.3265,41.5771,-72.4138,-8.5,in,in,in,in,in,in
1715120100000,20,5.1852,0,1,260,0.25,-3.25,-3.5,1095,-0.2143,-0.05,0.3367,42.5696,-67.8571,-2,in,in,in,in,in,in
1715120400000,28.9474,6.7057,0,0,384,2,-0.75,-4,1100,-0.0714,0.05,0.3571,44.6221,-59.2593,1.75,in,in,in,in,in,in
1715120700000,50,17.0175,0,0,364,2,0.25,-2.25,1105,0.2143,0.25,0.398,48.628,-42.3077,-2,in,in,in,in,in,in
1715121000000,66.6667,18.1287,0,0,625,2.75,3,-1,1110,1.25,0.5,0.449,53.2404,-23.0769,2,in,in,in,in,in,in
1715121300000,66.6667,5.5556,0,0,450,2,4.25,-1.25,1115,1.25,0.5,0.449,53.2404,-23.0769,5,in,in,in,in,in,in
1715121600000,65.5172,-0.7663,0,0,559,0.75,3,-1.25,1120,1.1875,0.45,0.4388,52.1265,-24,4,in,in,in,in,in,in
1715121900000,75,5.9387,0,0,600,0.25,3,-0.25,1125,1.3125,0.55,0.4592,54.2165,-8.6957,3,in,in,in,in,in,in
1715122200000,88.8889,12.4202,0,0,370,0.75,3,2.5,1130,1.5,0.7,0.4898,57.2691,-4,6.5,in,in,in,in,in,in
1715122500000,96.1538,9.4729,1,0,384,1.5,2.25,2.75,1135,1.5625,0.75,0.5,58.2807,-0,4.75,in,in,in,in,in,in
1715122800000,80.7692,-7.8348,1,0,701,0,0.25,3.25,1140,0.6,0.84,0.4592,52.8242,-19.2308,4.25,in,in,in,in,in,in
1715123100000,96.5517,5.3935,1,0,678,1,1.75,6.25,1145,1.3,1.12,0.5306,59.9777,-3.7037,7.5,in,in,in,in,in,in
1715123400000,86.6667,-1.3292,1,0,550,0.5,1.75,4.75,1150,1.1,1.04,0.5102,57.2709,-17.3913,5.75,in,in,in,in,in,in
1715123700000,93.3333,1.1494,1,0,482,1.75,1.75,4.75,1155,1.3,1.12,0.5306,59.2758,-9.5238,5,in,in,in,in,in,in
1715124000000,93.3333,2.2222,1,0,265,0,1,4,1160,1.3,1.12,0.5306,59.2758,-11.1111,1.75,in,in,in,in,in,in
1715124300000,80,-8.8889,1,0,331,-0.5,0,2,1165,0.9,0.96,0.4898,53.3208,-40,-0.25,in,in,in,in,in,in
1715124600000,70,-11.1111,0,0,162,-1.75,0,0.25,1170,0.1,0.84,0.4592,49.2709,-69.2308,-3,in,in,in,in,in,in
1715124900000,75,0,0,0,392,-1.25,-1.25,0.5,1175,0.3,0.92,0.4796,51.9264,-53.8462,-5.5,in,in,in,in,in,in
1715125200000,65.2174,-4.8551,0,0,98,-0.25,-1,0.75,1180,0.2,0.88,0.4694,50.4849,-61.5385,-3.75,in,in,in,in,in,in
1715125500000,61.9048,-5.4693,0,0,107,0.25,-1.5,0.25,1185,0.2,0.88,0.4694,50.4849,-66.6667,-4.5,in,in,in,in,in,in
1715125800000,66.6667,2.0704,0,0,168,0.25,-1,0,1190,0.4,0.96,0.4898,53.5538,-50,-4.25,in,in,in,in,in,in
1715126100000,53.3333,-7.3016,0,0,141,0.25,0,-0.25,1195,0.3,0.92,0.4796,51.8025,-58.3333,-2.75,in,in,in,in,in,in
1715126400000,50,-6.6667,0,0,778,0.5,0.75,0.75,1200,0.6667,0.5,0.4898,53.4627,-53.8462,0.5,in,in,in,in,in,in
1715126700000,57.1429,3.6508,0,0,297,0,0.5,-0.75,1205,0.7778,0.5833,0.5,55.1481,-46.1538,-1.5,in,in,in,in,in,in
1715127000000,64.2857,7.1429,0,0,352,0.5,1,0,1210,0.8889,0.6667,0.5102,56.8528,-38.4615,-0.75,in,in,in,in,in,in
1715127300000,76.9231,10.8059,0,0,356,1,1.5,0,1215,1.1111,0.8333,0.5306,60.1568,-23.0769,-0.25,in,in,in,in,in,in
1715127600000,69.2308,-0.9158,0,0,432,0.5,0.5,-0.25,1220,1,0.75,0.5204,57.7449,-30.7692,-0.25,in,in,in,in,in,in
1715127900000,46.1538,-17.9487,0,0,674,-0.5,0,0.25,1225,0.6667,0.5,0.4898,51.0468,-53.8462,0.5,in,in,in,in,in,in
1715128200000,30.7692,-17.9487,0,0,724,-1.5,-0.5,0.25,1230,0.1,0.3333,0.4694,47.0756,-69.2308,-0.5,in,in,in,in,in,in
1715128500000,38.4615,0,0,0,758,-1,-0.5,0,1235,0.2,0.4167,0.4796,49.23,-72.7273,0.75,in,in,in,in,in,in
1715128800000,23.0769,-7.6923,0,0,331,-1,-1.25,-0.25,1240,0,0.25,0.4592,45.2143,-90.9091,-0.25,in,in,in,in,in,in
1715129100000,23.0769,-5.1282,0,0,232,-0.25,-1.75,-0.25,1245,0,0.25,0.4592,45.2143,-83.3333,-0.25,in,in,in,in,in,in
1715129400000,30.7692,5.1282,0,0,271,-0.25,-1.25,-0.75,1250,0.1,0.3333,0.4694,47.7504,-75,-0.25,in,in,in,in,in,in
1715129700000,53.8462,17.9487,0,0,269,0.75,0,0.25,1255,0.4,0.5833,0.5,54.6246,-50,0.5,in,in,in,in,in,in
